# event_ticker=KXATPMATCH-25AUG13KHAZVE
# final_score=7-5 3-0 RET
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Karen Khachanov
# kalshi_date=2025-08-13
timestamp,Alexander Zverev,Karen Khachanov
2025-08-14T15:02:00Z,99.00,
2025-08-14T15:16:00Z,99.00,
2025-08-14T15:30:00Z,99.00,
2025-08-14T15:40:00Z,99.00,
2025-08-14T15:53:00Z,99.00,
2025-08-14T16:20:00Z,99.00,
2025-08-14T16:36:00Z,99.00,
2025-08-14T16:51:00Z,99.00,
2025-08-14T17:02:00Z,99.00,
2025-08-14T17:23:00Z,99.00,
2025-08-14T17:24:00Z,99.00,
2025-08-14T17:55:00Z,99.00,
2025-08-14T18:45:00Z,99.00,
2025-08-14T19:46:00Z,99.00,
2025-08-14T20:41:00Z,99.00,
2025-08-14T20:51:00Z,99.00,
2025-08-14T21:20:00Z,99.00,
2025-08-14T22:45:00Z,99.00,1.00
2025-08-14T22:53:00Z,99.00,1.00
2025-08-15T01:48:00Z,99.00,1.00
2025-08-15T02:15:00Z,99.00,1.00
2025-08-15T02:24:00Z,99.00,1.00
