# event_ticker=KXATPCHALLENGERMATCH-26MAY14DJESMI
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Laslo Djere
# fav_player=Colton Smith
# dog_player=Laslo Djere
# kalshi_date=2026-05-14
timestamp,Laslo Djere,Colton Smith
2026-05-13T22:42:00Z,82.00,
2026-05-13T22:48:00Z,82.00,21.00
2026-05-13T23:25:00Z,80.00,21.00
2026-05-13T23:42:00Z,80.00,21.00
2026-05-13T23:54:00Z,80.00,21.00
2026-05-14T00:42:00Z,80.00,21.00
2026-05-14T00:49:00Z,80.00,21.00
2026-05-14T02:03:00Z,80.00,21.00
2026-05-14T03:05:00Z,80.00,23.00
2026-05-14T03:27:00Z,80.00,23.00
2026-05-14T03:40:00Z,80.00,23.00
2026-05-14T03:55:00Z,80.00,23.00
2026-05-14T03:56:00Z,80.00,23.00
2026-05-14T04:21:00Z,80.00,23.00
2026-05-14T04:54:00Z,80.00,23.00
2026-05-14T05:07:00Z,78.00,23.00
2026-05-14T05:17:00Z,78.00,23.00
2026-05-14T05:33:00Z,78.00,22.00
2026-05-14T06:27:00Z,79.00,22.00
2026-05-14T06:29:00Z,79.00,22.00
2026-05-14T09:19:00Z,79.00,22.00
2026-05-14T09:29:00Z,79.00,22.00
2026-05-14T09:44:00Z,79.00,22.00
2026-05-14T09:59:00Z,79.00,22.00
2026-05-14T10:06:00Z,79.00,21.00
2026-05-14T10:11:00Z,80.00,21.00
2026-05-14T10:12:00Z,78.00,22.00
2026-05-14T10:13:00Z,79.00,22.00
2026-05-14T10:14:00Z,79.08,23.00
2026-05-14T10:15:00Z,78.00,20.00
2026-05-14T10:17:00Z,77.00,23.09
2026-05-14T10:18:00Z,77.00,20.84
2026-05-14T10:19:00Z,77.00,21.00
2026-05-14T10:20:00Z,83.00,16.33
2026-05-14T10:22:00Z,83.00,18.38
2026-05-14T10:24:00Z,79.83,20.00
2026-05-14T10:25:00Z,81.28,20.00
2026-05-14T10:26:00Z,81.28,19.00
2026-05-14T10:27:00Z,83.00,16.36
2026-05-14T10:28:00Z,83.00,16.94
2026-05-14T10:29:00Z,87.00,16.94
2026-05-14T10:31:00Z,87.00,12.40
2026-05-14T10:32:00Z,89.00,11.00
2026-05-14T10:34:00Z,89.00,10.00
2026-05-14T10:35:00Z,92.00,9.00
2026-05-14T10:36:00Z,92.00,6.90
2026-05-14T10:37:00Z,92.00,7.00
2026-05-14T10:38:00Z,92.00,9.23
