# event_ticker=KXATPMATCH-25JUL17DEJGRI
# final_score=4-6 7-6(3) 6-3
# score_resolution=4-6 7-6 6-3
# match_winner=Jesper de Jong
# fav_player=Jesper De Jong
# dog_player=Tallon Griekspoor
# kalshi_date=2025-07-17
timestamp,Jesper De Jong,Tallon Griekspoor
2025-07-17T21:38:00Z,43.00,
2025-07-17T23:18:00Z,43.00,
2025-07-17T23:34:00Z,43.00,
2025-07-18T00:01:00Z,43.00,58.00
2025-07-18T00:25:00Z,43.00,58.00
2025-07-18T00:40:00Z,43.00,58.00
2025-07-18T01:32:00Z,43.00,58.00
2025-07-18T02:10:00Z,43.00,58.00
2025-07-18T02:20:00Z,43.00,58.55
2025-07-18T02:23:00Z,43.00,59.00
2025-07-18T02:25:00Z,43.00,60.00
2025-07-18T02:29:00Z,43.00,60.00
2025-07-18T03:15:00Z,42.00,60.00
2025-07-18T03:26:00Z,42.00,60.00
2025-07-18T04:12:00Z,42.00,60.00
2025-07-18T04:17:00Z,42.00,60.00
2025-07-18T04:18:00Z,42.00,60.00
2025-07-18T04:49:00Z,39.00,62.55
2025-07-18T04:50:00Z,37.92,65.15
2025-07-18T04:51:00Z,38.00,64.99
2025-07-18T04:52:00Z,38.00,64.99
2025-07-18T04:54:00Z,38.00,64.99
2025-07-18T04:57:00Z,38.00,64.99
2025-07-18T05:03:00Z,38.00,62.00
2025-07-18T05:08:00Z,38.00,62.00
2025-07-18T05:09:00Z,38.00,62.00
2025-07-18T05:15:00Z,38.00,61.84
2025-07-18T05:19:00Z,38.00,61.99
2025-07-18T05:20:00Z,38.00,59.00
2025-07-18T05:21:00Z,38.00,62.79
2025-07-18T05:22:00Z,38.00,62.79
2025-07-18T05:23:00Z,38.00,62.79
2025-07-18T05:24:00Z,39.00,62.79
2025-07-18T05:25:00Z,39.00,62.79
2025-07-18T05:27:00Z,38.59,62.79
2025-07-18T05:29:00Z,38.59,62.00
2025-07-18T05:30:00Z,38.59,60.00
2025-07-18T05:44:00Z,38.59,62.00
2025-07-18T05:47:00Z,38.59,62.00
2025-07-18T06:03:00Z,39.00,62.00
2025-07-18T06:04:00Z,39.00,62.00
2025-07-18T06:10:00Z,39.00,61.00
2025-07-18T06:12:00Z,39.00,61.00
2025-07-18T06:31:00Z,39.00,61.00
2025-07-18T06:33:00Z,39.00,61.00
2025-07-18T06:35:00Z,39.00,61.00
2025-07-18T06:37:00Z,39.00,61.00
2025-07-18T06:39:00Z,39.00,61.00
2025-07-18T06:40:00Z,39.00,61.00
2025-07-18T06:47:00Z,39.00,61.00
2025-07-18T06:50:00Z,39.00,61.00
2025-07-18T06:52:00Z,39.00,61.00
2025-07-18T06:54:00Z,39.00,61.00
2025-07-18T06:59:00Z,39.00,61.00
2025-07-18T07:00:00Z,39.00,61.42
2025-07-18T12:01:00Z,95.00,61.42
