# event_ticker=KXATPCHALLENGERMATCH-26JUN07HENDON
# final_score=6-2 3-6 7-6(6)
# score_resolution=2-6 6-3 6-7
# match_winner=Philip Henning
# fav_player=Alexander Donski
# dog_player=Philip Henning
# kalshi_date=2026-06-07
timestamp,Philip Henning,Alexander Donski
2026-06-06T22:24:00Z,,19.00
2026-06-06T22:25:00Z,,18.00
2026-06-06T22:28:00Z,,19.00
2026-06-06T22:29:00Z,82.00,19.00
2026-06-06T22:30:00Z,82.00,19.00
2026-06-06T22:32:00Z,82.00,19.00
2026-06-06T22:36:00Z,82.00,19.00
2026-06-06T22:39:00Z,82.00,19.00
2026-06-06T22:54:00Z,82.00,19.00
2026-06-06T23:54:00Z,83.00,19.00
2026-06-07T00:43:00Z,83.00,18.00
2026-06-07T01:06:00Z,83.00,18.00
2026-06-07T01:22:00Z,83.00,18.00
2026-06-07T01:34:00Z,83.00,18.00
2026-06-07T02:04:00Z,83.00,18.00
2026-06-07T02:05:00Z,83.00,18.00
2026-06-07T02:56:00Z,83.00,18.00
2026-06-07T03:09:00Z,83.00,17.00
2026-06-07T03:19:00Z,83.00,18.00
2026-06-07T03:20:00Z,83.00,18.00
2026-06-07T03:21:00Z,83.00,18.00
2026-06-07T03:25:00Z,83.00,18.00
2026-06-07T03:45:00Z,83.00,18.00
2026-06-07T03:50:00Z,83.00,18.00
2026-06-07T04:28:00Z,83.00,18.72
2026-06-07T04:29:00Z,83.00,19.00
2026-06-07T04:30:00Z,83.00,18.05
2026-06-07T04:31:00Z,83.00,18.41
2026-06-07T04:33:00Z,83.00,18.41
2026-06-07T04:41:00Z,83.00,18.00
2026-06-07T04:55:00Z,83.00,18.00
2026-06-07T05:04:00Z,83.00,18.00
2026-06-07T05:07:00Z,83.00,18.00
2026-06-07T05:19:00Z,83.00,18.00
2026-06-07T05:33:00Z,83.00,18.00
2026-06-07T05:49:00Z,83.00,18.00
2026-06-07T05:53:00Z,83.00,18.00
2026-06-07T05:54:00Z,83.00,19.00
2026-06-07T06:39:00Z,83.00,19.00
2026-06-07T06:58:00Z,83.00,18.28
2026-06-07T07:16:00Z,83.00,20.22
2026-06-07T07:22:00Z,81.00,20.22
2026-06-07T07:50:00Z,82.00,18.00
2026-06-07T08:15:00Z,82.00,18.00
2026-06-07T08:17:00Z,82.00,18.00
2026-06-07T08:33:00Z,85.00,18.00
2026-06-07T09:03:00Z,85.00,16.15
2026-06-07T09:05:00Z,85.00,16.00
2026-06-07T09:08:00Z,85.00,16.00
2026-06-07T09:10:00Z,85.00,16.00
2026-06-07T09:17:00Z,85.00,17.00
2026-06-07T09:21:00Z,85.00,17.00
2026-06-07T09:24:00Z,85.00,17.61
2026-06-07T09:32:00Z,85.00,17.00
2026-06-07T09:33:00Z,85.00,17.00
2026-06-07T09:52:00Z,84.00,17.00
2026-06-07T09:53:00Z,84.00,16.40
2026-06-07T09:54:00Z,84.00,16.00
2026-06-07T09:55:00Z,84.00,16.00
2026-06-07T10:02:00Z,84.00,17.03
2026-06-07T10:08:00Z,86.00,17.03
2026-06-07T10:09:00Z,86.00,19.60
2026-06-07T10:11:00Z,83.08,22.31
2026-06-07T10:12:00Z,83.08,17.00
2026-06-07T10:13:00Z,83.08,18.46
2026-06-07T10:14:00Z,81.00,19.39
2026-06-07T10:15:00Z,81.00,21.00
2026-06-07T10:16:00Z,84.00,18.00
2026-06-07T10:17:00Z,84.01,17.74
2026-06-07T10:18:00Z,87.96,13.00
2026-06-07T10:19:00Z,91.01,10.00
2026-06-07T10:20:00Z,92.00,9.00
2026-06-07T10:21:00Z,93.78,8.00
2026-06-07T10:23:00Z,93.00,8.00
2026-06-07T10:24:00Z,93.00,8.00
2026-06-07T10:25:00Z,93.00,8.00
2026-06-07T10:26:00Z,93.00,8.00
2026-06-07T10:29:00Z,93.00,7.00
2026-06-07T10:30:00Z,93.00,8.00
2026-06-07T10:31:00Z,93.00,8.00
2026-06-07T10:32:00Z,94.76,5.33
2026-06-07T10:33:00Z,96.00,6.00
2026-06-07T10:35:00Z,95.00,5.00
2026-06-07T10:36:00Z,95.00,6.00
2026-06-07T10:37:00Z,95.00,6.00
2026-06-07T10:38:00Z,95.00,8.00
2026-06-07T10:39:00Z,95.00,5.00
2026-06-07T10:40:00Z,94.00,6.56
2026-06-07T10:41:00Z,94.00,7.00
2026-06-07T10:42:00Z,94.00,6.71
2026-06-07T10:43:00Z,95.00,6.94
2026-06-07T10:44:00Z,95.00,6.94
2026-06-07T10:45:00Z,96.00,4.08
2026-06-07T10:46:00Z,96.00,5.00
2026-06-07T10:47:00Z,94.00,5.94
2026-06-07T10:48:00Z,94.00,8.00
