# event_ticker=KXATPMATCH-25OCT21COLROY
# final_score=6-4 7-6(5)
# score_resolution=4-6 6-7
# match_winner=Valentin Royer
# fav_player=Raphael Collignon
# dog_player=Valentin Royer
# kalshi_date=2025-10-21
timestamp,Raphael Collignon,Valentin Royer
2025-10-21T11:50:00Z,98.00,4.00
2025-10-21T12:08:00Z,98.00,5.00
2025-10-21T12:22:00Z,48.00,5.00
2025-10-21T12:25:00Z,48.00,5.00
2025-10-21T12:30:00Z,48.00,5.00
2025-10-21T12:32:00Z,48.00,5.00
2025-10-21T12:35:00Z,48.00,5.00
2025-10-21T12:40:00Z,48.00,5.00
2025-10-21T12:44:00Z,48.66,5.00
2025-10-21T12:45:00Z,49.00,53.00
2025-10-21T12:46:00Z,49.00,53.00
2025-10-21T12:47:00Z,49.00,49.00
2025-10-21T12:50:00Z,52.00,49.00
2025-10-21T12:52:00Z,50.00,49.00
2025-10-21T12:54:00Z,50.00,51.00
2025-10-21T12:55:00Z,50.00,51.00
2025-10-21T13:03:00Z,50.00,51.00
2025-10-21T13:04:00Z,50.00,51.00
2025-10-21T13:05:00Z,50.00,51.00
2025-10-21T13:06:00Z,50.00,51.00
2025-10-21T13:08:00Z,50.00,50.00
2025-10-21T13:09:00Z,50.00,50.00
2025-10-21T13:10:00Z,50.00,50.00
2025-10-21T13:12:00Z,50.28,50.00
2025-10-21T13:15:00Z,51.00,50.00
2025-10-21T13:18:00Z,50.00,51.00
2025-10-21T13:22:00Z,50.00,50.00
2025-10-21T13:23:00Z,50.00,50.00
2025-10-21T13:26:00Z,50.00,50.00
2025-10-21T13:30:00Z,56.00,50.00
2025-10-21T13:35:00Z,53.00,50.00
2025-10-21T13:36:00Z,51.00,50.00
2025-10-21T13:37:00Z,55.41,51.20
2025-10-21T13:38:00Z,56.00,51.20
2025-10-21T13:39:00Z,52.00,59.47
2025-10-21T13:40:00Z,52.00,51.00
2025-10-21T13:41:00Z,54.00,49.00
2025-10-21T13:42:00Z,54.11,49.00
2025-10-21T13:43:00Z,55.00,46.00
2025-10-21T13:44:00Z,55.00,46.05
2025-10-21T13:45:00Z,55.25,46.05
2025-10-21T13:46:00Z,56.09,49.00
2025-10-21T13:47:00Z,56.09,46.00
2025-10-21T13:48:00Z,51.85,50.00
2025-10-21T13:49:00Z,45.00,55.00
2025-10-21T13:50:00Z,44.48,58.41
2025-10-21T13:51:00Z,36.00,69.15
2025-10-21T13:52:00Z,36.55,65.97
2025-10-21T13:53:00Z,41.66,61.00
2025-10-21T13:54:00Z,42.95,62.76
2025-10-21T13:55:00Z,46.79,54.19
2025-10-21T13:56:00Z,51.44,50.00
2025-10-21T13:57:00Z,55.30,45.06
2025-10-21T13:58:00Z,66.71,44.07
2025-10-21T13:59:00Z,58.97,45.91
2025-10-21T14:00:00Z,57.87,46.87
2025-10-21T14:01:00Z,55.47,49.26
