# event_ticker=KXATPMATCH-25JUL27NAVBER
# final_score=6-1 7-6(4)
# score_resolution=6-1 7-6
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Zizou Bergs
# kalshi_date=2025-07-27
timestamp,Emilio Nava,Zizou Bergs
2025-07-27T18:38:00Z,,63.00
2025-07-27T18:57:00Z,,63.00
2025-07-27T19:07:00Z,,63.00
2025-07-27T19:40:00Z,,61.00
2025-07-27T20:09:00Z,50.00,61.00
2025-07-27T20:58:00Z,50.00,61.00
2025-07-27T21:42:00Z,51.00,61.00
2025-07-27T21:46:00Z,51.00,61.00
2025-07-27T21:55:00Z,44.00,61.00
2025-07-27T22:22:00Z,44.00,62.00
2025-07-27T22:28:00Z,44.00,61.00
2025-07-27T22:31:00Z,58.00,61.00
2025-07-27T22:34:00Z,58.00,61.00
2025-07-27T22:35:00Z,59.00,61.00
2025-07-27T22:38:00Z,45.00,61.00
2025-07-27T22:39:00Z,50.00,63.59
2025-07-27T22:40:00Z,39.00,90.00
2025-07-27T22:48:00Z,39.00,57.00
2025-07-27T22:49:00Z,66.60,37.60
2025-07-27T22:50:00Z,69.63,32.93
2025-07-27T22:51:00Z,67.00,28.00
2025-07-27T22:52:00Z,71.00,31.54
2025-07-27T22:53:00Z,71.00,34.51
2025-07-27T22:54:00Z,67.00,34.51
2025-07-27T22:56:00Z,65.00,34.51
2025-07-27T22:57:00Z,66.26,34.51
2025-07-27T22:59:00Z,65.29,34.51
2025-07-27T23:00:00Z,66.96,34.51
2025-07-27T23:01:00Z,75.00,26.19
2025-07-27T23:02:00Z,69.48,26.19
2025-07-27T23:03:00Z,76.89,26.19
2025-07-27T23:04:00Z,79.00,26.19
2025-07-27T23:05:00Z,75.10,26.00
2025-07-27T23:06:00Z,77.43,25.29
2025-07-27T23:07:00Z,79.24,22.00
2025-07-27T23:08:00Z,80.00,21.81
2025-07-27T23:09:00Z,81.59,20.00
2025-07-27T23:10:00Z,84.19,20.00
2025-07-27T23:11:00Z,84.19,19.00
2025-07-27T23:12:00Z,86.11,16.00
2025-07-27T23:14:00Z,77.75,19.00
2025-07-27T23:15:00Z,86.59,19.47
2025-07-27T23:16:00Z,83.74,20.00
2025-07-27T23:18:00Z,83.74,16.08
2025-07-27T23:20:00Z,84.53,22.23
2025-07-27T23:21:00Z,84.53,18.56
2025-07-27T23:22:00Z,86.00,18.56
2025-07-27T23:23:00Z,86.00,16.00
2025-07-27T23:24:00Z,86.00,16.00
2025-07-27T23:25:00Z,86.00,15.00
2025-07-27T23:26:00Z,86.00,16.31
2025-07-27T23:28:00Z,89.95,16.31
2025-07-27T23:29:00Z,89.95,21.00
2025-07-27T23:30:00Z,89.95,24.00
2025-07-27T23:31:00Z,76.00,27.02
2025-07-27T23:32:00Z,76.00,32.04
2025-07-27T23:33:00Z,75.00,34.00
2025-07-27T23:34:00Z,73.00,34.00
2025-07-27T23:35:00Z,81.61,22.40
2025-07-27T23:36:00Z,73.00,36.70
2025-07-27T23:37:00Z,78.94,36.70
2025-07-27T23:38:00Z,78.94,32.86
2025-07-27T23:39:00Z,81.97,19.95
2025-07-27T23:40:00Z,81.97,16.06
2025-07-27T23:41:00Z,81.97,22.80
2025-07-27T23:42:00Z,75.00,24.78
2025-07-27T23:43:00Z,88.00,19.00
2025-07-27T23:44:00Z,89.37,17.00
2025-07-27T23:45:00Z,84.00,20.09
2025-07-27T23:46:00Z,83.00,22.14
2025-07-27T23:47:00Z,83.00,23.00
2025-07-27T23:48:00Z,83.00,22.00
2025-07-27T23:49:00Z,87.11,22.00
2025-07-27T23:50:00Z,84.57,19.00
2025-07-27T23:51:00Z,84.81,22.97
2025-07-27T23:52:00Z,78.95,24.79
2025-07-27T23:53:00Z,77.09,25.62
2025-07-27T23:54:00Z,76.19,24.00
2025-07-27T23:55:00Z,76.19,22.00
2025-07-27T23:56:00Z,82.00,18.00
2025-07-27T23:57:00Z,80.99,18.00
2025-07-27T23:58:00Z,81.00,23.35
2025-07-27T23:59:00Z,84.73,17.69
2025-07-28T00:00:00Z,83.32,8.82
2025-07-28T00:01:00Z,87.90,15.82
2025-07-28T00:02:00Z,93.68,12.14
2025-07-28T00:03:00Z,95.61,3.69
2025-07-28T00:04:00Z,98.99,1.00
2025-07-28T00:05:00Z,99.00,1.00
