# event_ticker=KXATPMATCH-25SEP25ALCBAE
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Carlos Alcaraz
# fav_player=Sebastian Baez
# dog_player=Carlos Alcaraz
# kalshi_date=2025-09-25
timestamp,Sebastian Baez,Carlos Alcaraz
2025-09-24T23:14:00Z,4.00,
2025-09-24T23:44:00Z,4.00,95.00
2025-09-24T23:55:00Z,4.00,95.00
2025-09-24T23:56:00Z,4.00,95.00
2025-09-25T00:43:00Z,4.00,95.00
2025-09-25T00:57:00Z,3.23,95.00
2025-09-25T01:01:00Z,4.00,95.00
2025-09-25T02:16:00Z,4.00,95.00
2025-09-25T02:21:00Z,4.00,97.00
2025-09-25T02:58:00Z,4.00,97.00
2025-09-25T03:12:00Z,4.00,97.00
2025-09-25T03:31:00Z,4.00,97.00
2025-09-25T03:37:00Z,4.00,97.00
2025-09-25T04:02:00Z,4.00,97.00
2025-09-25T04:43:00Z,4.00,97.00
2025-09-25T04:45:00Z,4.00,97.00
2025-09-25T04:54:00Z,4.00,97.00
2025-09-25T05:04:00Z,4.00,97.00
2025-09-25T05:05:00Z,4.00,97.00
2025-09-25T05:14:00Z,4.00,97.00
2025-09-25T05:15:00Z,4.00,97.00
2025-09-25T05:18:00Z,4.00,97.00
2025-09-25T05:24:00Z,4.00,97.00
2025-09-25T05:25:00Z,4.00,97.15
2025-09-25T05:35:00Z,4.00,97.00
2025-09-25T05:43:00Z,4.00,97.00
2025-09-25T05:53:00Z,4.00,97.00
2025-09-25T06:00:00Z,4.00,97.00
2025-09-25T06:12:00Z,4.00,97.00
2025-09-25T06:19:00Z,4.00,97.00
2025-09-25T06:20:00Z,4.00,97.00
2025-09-25T06:21:00Z,4.00,97.00
2025-09-25T06:22:00Z,4.05,97.00
2025-09-25T06:31:00Z,4.00,97.00
2025-09-25T06:32:00Z,4.00,97.00
2025-09-25T06:34:00Z,4.64,97.00
2025-09-25T06:43:00Z,5.00,97.00
2025-09-25T06:47:00Z,5.00,97.00
2025-09-25T06:48:00Z,5.00,97.00
