# event_ticker=KXATPCHALLENGERMATCH-26APR27TUNRIG
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Tung-Lin Wu
# fav_player=Rigele TE
# dog_player=Tung-Lin Wu
# kalshi_date=2026-04-27
timestamp,Tung-Lin Wu,Rigele TE
2026-04-28T22:31:00Z,85.00,
2026-04-28T22:34:00Z,85.00,15.00
2026-04-28T22:55:00Z,85.00,17.00
2026-04-29T00:02:00Z,85.00,17.00
2026-04-29T01:38:00Z,86.00,17.00
2026-04-29T01:51:00Z,86.00,18.00
2026-04-29T02:03:00Z,82.00,18.00
2026-04-29T02:26:00Z,82.00,17.00
2026-04-29T02:31:00Z,86.00,17.00
2026-04-29T02:34:00Z,86.00,17.00
2026-04-29T02:55:00Z,86.00,17.00
2026-04-29T03:01:00Z,86.00,17.00
2026-04-29T03:26:00Z,85.00,17.00
2026-04-29T03:51:00Z,85.00,16.00
2026-04-29T04:04:00Z,85.00,16.00
2026-04-29T04:25:00Z,85.00,17.00
2026-04-29T04:29:00Z,85.00,17.00
2026-04-29T04:43:00Z,85.00,17.00
2026-04-29T04:47:00Z,83.05,17.00
2026-04-29T04:58:00Z,85.00,17.00
2026-04-29T05:06:00Z,85.00,17.00
2026-04-29T05:46:00Z,85.00,14.60
2026-04-29T06:53:00Z,85.00,14.60
2026-04-29T07:09:00Z,85.82,14.60
2026-04-29T08:37:00Z,86.00,14.60
2026-04-29T09:52:00Z,86.00,16.00
2026-04-29T10:11:00Z,85.00,16.00
2026-04-29T10:12:00Z,85.00,14.59
2026-04-29T10:14:00Z,90.00,14.59
2026-04-29T10:15:00Z,90.00,12.00
2026-04-29T10:16:00Z,85.07,14.25
2026-04-29T10:17:00Z,85.07,17.66
2026-04-29T10:18:00Z,85.07,18.00
2026-04-29T10:20:00Z,78.54,23.20
2026-04-29T10:21:00Z,82.28,20.84
2026-04-29T10:22:00Z,85.02,15.00
2026-04-29T10:23:00Z,90.00,15.00
2026-04-29T10:24:00Z,90.00,13.00
2026-04-29T10:25:00Z,90.00,14.00
2026-04-29T10:26:00Z,91.00,9.03
2026-04-29T10:27:00Z,91.00,11.00
2026-04-29T10:29:00Z,92.04,6.00
2026-04-29T10:31:00Z,92.04,10.48
2026-04-29T10:32:00Z,92.04,11.00
2026-04-29T10:33:00Z,92.04,11.00
2026-04-29T10:35:00Z,92.00,11.00
2026-04-29T10:36:00Z,92.19,9.00
2026-04-29T10:37:00Z,94.32,7.00
2026-04-29T10:38:00Z,94.32,8.55
2026-04-29T10:39:00Z,94.32,9.00
2026-04-29T10:40:00Z,90.12,10.26
2026-04-29T10:41:00Z,90.12,10.00
2026-04-29T10:43:00Z,95.00,6.00
2026-04-29T10:44:00Z,95.00,7.00
2026-04-29T10:45:00Z,95.00,7.00
2026-04-29T10:46:00Z,94.00,6.34
2026-04-29T10:47:00Z,94.00,6.96
2026-04-29T10:49:00Z,95.00,7.00
2026-04-29T10:50:00Z,92.59,9.00
2026-04-29T10:51:00Z,95.00,7.91
2026-04-29T10:52:00Z,95.00,7.67
2026-04-29T10:53:00Z,94.07,6.78
2026-04-29T10:54:00Z,95.03,5.19
2026-04-29T10:55:00Z,96.00,4.06
2026-04-29T10:56:00Z,95.78,7.06
2026-04-29T10:57:00Z,95.00,8.15
2026-04-29T10:58:00Z,95.00,9.10
2026-04-29T10:59:00Z,94.21,7.08
2026-04-29T11:00:00Z,96.83,4.90
2026-04-29T11:01:00Z,96.83,2.40
2026-04-29T11:02:00Z,97.00,4.33
2026-04-29T11:03:00Z,97.00,5.00
2026-04-29T11:04:00Z,97.00,2.83
2026-04-29T11:05:00Z,98.17,3.81
2026-04-29T11:06:00Z,98.00,2.00
2026-04-29T11:07:00Z,98.00,3.23
2026-04-29T11:08:00Z,98.00,3.00
2026-04-29T11:09:00Z,99.00,1.53
2026-04-29T11:10:00Z,99.00,1.01
2026-04-29T11:11:00Z,99.00,3.00
2026-04-29T11:12:00Z,99.00,3.00
2026-04-29T11:13:00Z,99.00,1.00
2026-04-29T11:14:00Z,99.00,1.00
2026-04-29T11:15:00Z,99.00,1.00
2026-04-29T11:18:00Z,99.00,1.00
