# event_ticker=KXATPCHALLENGERMATCH-26APR30SAISAC
# final_score=6-7(7) 7-5 6-4
# score_resolution=6-7 7-5 6-4
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Vitaliy Sachko
# kalshi_date=2026-04-30
timestamp,Nikolas Sanchez Izquierdo,Vitaliy Sachko
2026-04-30T05:15:00Z,,59.00
2026-04-30T05:35:00Z,,59.00
2026-04-30T06:04:00Z,,58.00
2026-04-30T06:58:00Z,,59.00
2026-04-30T09:25:00Z,,59.00
2026-04-30T10:31:00Z,,59.00
2026-04-30T10:40:00Z,,59.00
2026-04-30T10:44:00Z,42.00,59.00
2026-04-30T10:48:00Z,42.00,59.00
2026-04-30T10:57:00Z,42.00,59.00
2026-04-30T10:59:00Z,42.00,59.00
2026-04-30T11:08:00Z,42.00,59.00
2026-04-30T11:28:00Z,42.00,59.00
2026-04-30T11:34:00Z,42.00,60.00
2026-04-30T11:39:00Z,42.00,60.17
2026-04-30T11:43:00Z,39.00,63.95
2026-04-30T11:44:00Z,42.00,60.00
2026-04-30T11:45:00Z,41.00,59.93
2026-04-30T11:46:00Z,38.00,60.89
2026-04-30T11:47:00Z,38.00,60.00
2026-04-30T11:48:00Z,38.00,58.00
2026-04-30T11:49:00Z,38.00,55.00
2026-04-30T11:51:00Z,38.00,60.00
2026-04-30T11:52:00Z,38.00,57.46
2026-04-30T11:53:00Z,38.00,51.00
2026-04-30T11:54:00Z,48.00,50.00
2026-04-30T11:55:00Z,49.00,50.08
2026-04-30T11:56:00Z,50.80,49.00
2026-04-30T11:57:00Z,50.80,53.00
2026-04-30T11:58:00Z,50.80,48.00
2026-04-30T11:59:00Z,52.76,55.00
2026-04-30T12:01:00Z,49.00,51.00
2026-04-30T12:02:00Z,48.00,52.00
2026-04-30T12:04:00Z,49.96,52.00
2026-04-30T12:07:00Z,53.00,42.07
2026-04-30T12:08:00Z,53.00,39.95
2026-04-30T12:12:00Z,55.00,51.83
2026-04-30T12:13:00Z,55.00,52.00
2026-04-30T12:14:00Z,55.00,52.00
2026-04-30T12:16:00Z,48.00,52.00
2026-04-30T12:17:00Z,48.00,47.00
2026-04-30T12:18:00Z,53.02,47.00
2026-04-30T12:19:00Z,48.00,54.00
2026-04-30T12:20:00Z,48.00,54.72
2026-04-30T12:22:00Z,48.00,61.06
2026-04-30T12:23:00Z,48.00,65.82
2026-04-30T12:26:00Z,33.00,68.13
2026-04-30T12:28:00Z,27.59,74.92
2026-04-30T12:29:00Z,28.77,75.00
2026-04-30T12:30:00Z,30.00,73.02
2026-04-30T12:31:00Z,30.00,75.00
2026-04-30T12:32:00Z,28.00,75.00
2026-04-30T12:33:00Z,28.00,71.00
2026-04-30T12:35:00Z,28.00,71.00
2026-04-30T12:36:00Z,26.00,71.00
2026-04-30T12:37:00Z,35.81,65.06
2026-04-30T12:38:00Z,44.47,57.03
2026-04-30T12:39:00Z,48.00,52.06
2026-04-30T12:40:00Z,48.00,49.67
2026-04-30T12:41:00Z,54.40,46.03
2026-04-30T12:42:00Z,55.00,46.01
2026-04-30T12:43:00Z,51.29,50.01
2026-04-30T12:44:00Z,51.29,51.75
2026-04-30T12:45:00Z,52.90,47.32
2026-04-30T12:46:00Z,53.00,52.66
2026-04-30T12:47:00Z,42.30,57.83
2026-04-30T12:48:00Z,34.85,64.39
2026-04-30T12:49:00Z,39.60,63.33
2026-04-30T12:50:00Z,50.81,55.52
2026-04-30T12:51:00Z,54.74,47.34
2026-04-30T12:52:00Z,55.00,46.95
2026-04-30T12:53:00Z,56.78,44.58
2026-04-30T12:54:00Z,56.37,43.71
2026-04-30T12:55:00Z,60.00,45.72
2026-04-30T12:56:00Z,60.17,37.25
2026-04-30T12:57:00Z,60.71,41.73
2026-04-30T12:58:00Z,63.67,43.71
2026-04-30T12:59:00Z,52.20,46.65
2026-04-30T13:00:00Z,47.38,55.42
2026-04-30T13:01:00Z,46.32,57.62
2026-04-30T13:02:00Z,41.61,61.42
2026-04-30T13:03:00Z,51.89,50.45
2026-04-30T13:04:00Z,57.04,42.88
2026-04-30T13:05:00Z,62.94,38.63
2026-04-30T13:06:00Z,58.66,42.21
2026-04-30T13:07:00Z,55.54,44.29
2026-04-30T13:08:00Z,66.95,33.50
2026-04-30T13:09:00Z,66.51,37.09
2026-04-30T13:10:00Z,53.19,42.39
2026-04-30T13:11:00Z,44.56,56.62
2026-04-30T13:12:00Z,32.40,68.57
2026-04-30T13:13:00Z,43.39,61.93
2026-04-30T13:14:00Z,23.66,73.76
2026-04-30T13:15:00Z,22.12,77.62
2026-04-30T13:16:00Z,23.20,77.41
2026-04-30T13:17:00Z,23.75,77.00
2026-04-30T13:18:00Z,24.22,76.99
2026-04-30T13:19:00Z,23.81,76.18
2026-04-30T13:20:00Z,22.05,77.89
2026-04-30T13:21:00Z,20.96,81.58
2026-04-30T13:22:00Z,17.73,82.16
2026-04-30T13:23:00Z,20.00,79.91
2026-04-30T13:24:00Z,21.64,80.41
2026-04-30T13:25:00Z,22.35,77.16
2026-04-30T13:26:00Z,23.21,78.20
2026-04-30T13:27:00Z,21.10,80.26
2026-04-30T13:28:00Z,18.88,81.37
2026-04-30T13:29:00Z,19.00,82.20
2026-04-30T13:30:00Z,19.00,82.28
2026-04-30T13:31:00Z,15.25,82.32
2026-04-30T13:32:00Z,18.00,83.88
2026-04-30T13:33:00Z,19.08,81.35
2026-04-30T13:34:00Z,16.25,84.38
2026-04-30T13:35:00Z,18.20,81.19
2026-04-30T13:36:00Z,19.30,81.87
2026-04-30T13:37:00Z,21.77,79.52
2026-04-30T13:38:00Z,22.93,77.02
2026-04-30T13:39:00Z,25.43,80.58
2026-04-30T13:40:00Z,19.67,81.62
2026-04-30T13:41:00Z,21.33,82.87
2026-04-30T13:42:00Z,23.05,81.67
2026-04-30T13:43:00Z,31.30,82.81
2026-04-30T13:44:00Z,28.23,70.36
2026-04-30T13:45:00Z,29.18,84.07
2026-04-30T13:46:00Z,24.22,78.89
2026-04-30T13:47:00Z,23.87,78.07
2026-04-30T13:48:00Z,24.74,75.55
2026-04-30T13:49:00Z,26.98,73.52
2026-04-30T13:50:00Z,32.37,72.90
2026-04-30T13:51:00Z,29.26,74.57
2026-04-30T13:52:00Z,24.97,75.65
2026-04-30T13:53:00Z,25.56,74.46
2026-04-30T13:54:00Z,22.89,77.75
2026-04-30T13:55:00Z,24.50,76.51
2026-04-30T13:56:00Z,27.81,72.84
2026-04-30T13:57:00Z,29.89,71.93
2026-04-30T13:58:00Z,29.92,71.05
2026-04-30T13:59:00Z,26.65,73.37
2026-04-30T14:00:00Z,24.63,75.39
2026-04-30T14:01:00Z,24.25,76.68
2026-04-30T14:02:00Z,23.73,75.92
2026-04-30T14:03:00Z,22.77,77.87
2026-04-30T14:04:00Z,18.02,80.67
2026-04-30T14:05:00Z,22.93,74.58
2026-04-30T14:06:00Z,25.81,72.04
2026-04-30T14:07:00Z,28.83,69.99
2026-04-30T14:08:00Z,29.72,66.83
2026-04-30T14:09:00Z,40.48,59.33
2026-04-30T14:10:00Z,50.38,50.18
2026-04-30T14:11:00Z,52.40,48.09
2026-04-30T14:12:00Z,50.73,48.68
2026-04-30T14:13:00Z,57.91,44.46
2026-04-30T14:14:00Z,60.07,39.92
2026-04-30T14:15:00Z,60.31,40.97
2026-04-30T14:16:00Z,59.01,41.03
2026-04-30T14:17:00Z,59.70,42.00
