# event_ticker=KXATPCHALLENGERMATCH-26APR13TRODEL
# final_score=7-6(1) 3-6 6-1
# score_resolution=7-6 3-6 6-1
# match_winner=James Trotter
# fav_player=James Kent Trotter
# dog_player=Jake Delaney
# kalshi_date=2026-04-13
timestamp,James Kent Trotter,Jake Delaney
2026-04-13T15:16:00Z,77.00,
2026-04-13T18:02:00Z,73.00,
2026-04-13T18:40:00Z,73.00,
2026-04-13T18:55:00Z,73.00,
2026-04-13T18:58:00Z,73.00,
2026-04-13T19:22:00Z,73.00,
2026-04-13T20:26:00Z,73.00,
2026-04-13T20:44:00Z,73.00,
2026-04-13T21:16:00Z,73.00,
2026-04-13T21:21:00Z,73.00,
2026-04-13T21:26:00Z,73.00,
2026-04-13T22:21:00Z,73.00,26.00
2026-04-13T22:28:00Z,73.00,26.00
2026-04-13T22:35:00Z,73.00,26.00
2026-04-13T22:37:00Z,73.00,26.00
2026-04-13T23:07:00Z,74.00,26.00
2026-04-13T23:19:00Z,75.00,26.00
2026-04-13T23:20:00Z,75.00,26.00
2026-04-13T23:35:00Z,75.00,26.00
2026-04-13T23:38:00Z,75.00,26.00
2026-04-13T23:50:00Z,75.00,26.00
2026-04-13T23:58:00Z,75.00,26.00
2026-04-13T23:59:00Z,75.00,26.00
2026-04-14T00:05:00Z,75.00,26.00
2026-04-14T00:08:00Z,75.00,26.00
2026-04-14T00:19:00Z,75.00,26.00
2026-04-14T01:30:00Z,75.00,26.00
2026-04-14T01:37:00Z,75.00,26.00
2026-04-14T01:41:00Z,75.00,26.00
2026-04-14T01:42:00Z,75.00,26.00
2026-04-14T01:52:00Z,75.00,26.00
2026-04-14T01:53:00Z,75.00,26.00
2026-04-14T01:54:00Z,75.00,26.00
2026-04-14T01:57:00Z,75.00,26.00
2026-04-14T02:00:00Z,75.00,26.00
2026-04-14T02:01:00Z,76.00,26.00
2026-04-14T02:04:00Z,76.00,26.00
2026-04-14T02:07:00Z,76.00,26.00
2026-04-14T02:08:00Z,76.00,26.00
2026-04-14T02:09:00Z,78.00,26.00
2026-04-14T02:10:00Z,78.00,25.00
2026-04-14T02:11:00Z,78.00,23.00
2026-04-14T02:12:00Z,81.00,21.88
2026-04-14T02:13:00Z,83.49,19.23
2026-04-14T02:14:00Z,84.00,15.00
2026-04-14T02:15:00Z,84.00,19.52
2026-04-14T02:16:00Z,79.00,21.87
2026-04-14T02:17:00Z,79.00,22.84
2026-04-14T02:18:00Z,75.00,26.66
2026-04-14T02:19:00Z,78.02,21.92
2026-04-14T02:20:00Z,78.23,23.21
2026-04-14T02:21:00Z,78.23,22.65
2026-04-14T02:22:00Z,77.04,21.00
2026-04-14T02:23:00Z,80.00,23.14
2026-04-14T02:24:00Z,82.20,18.33
2026-04-14T02:25:00Z,81.00,18.33
2026-04-14T02:26:00Z,82.00,17.50
