# event_ticker=KXATPMATCH-26FEB22MARRIN
# final_score=3-6 6-3 6-4
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Fabian Marozsan
# kalshi_date=2026-02-22
timestamp,Arthur Rinderknech,Fabian Marozsan
2026-02-24T00:43:00Z,38.00,
2026-02-24T01:35:00Z,38.00,63.00
2026-02-24T02:31:00Z,38.00,63.00
2026-02-24T02:37:00Z,38.00,63.00
2026-02-24T03:24:00Z,38.00,62.00
2026-02-24T03:36:00Z,38.00,62.00
2026-02-24T03:51:00Z,38.00,63.00
2026-02-24T03:55:00Z,38.00,63.00
2026-02-24T04:51:00Z,38.00,63.00
2026-02-24T04:57:00Z,38.00,63.00
2026-02-24T04:58:00Z,38.00,63.00
2026-02-24T04:59:00Z,38.00,63.00
2026-02-24T05:03:00Z,38.00,63.00
2026-02-24T05:16:00Z,38.00,63.00
2026-02-24T05:20:00Z,38.00,63.00
2026-02-24T05:32:00Z,38.00,63.00
2026-02-24T05:39:00Z,38.00,63.00
2026-02-24T05:52:00Z,38.00,63.00
2026-02-24T05:57:00Z,38.00,63.00
2026-02-24T05:58:00Z,38.00,63.00
2026-02-24T05:59:00Z,38.00,63.00
2026-02-24T06:06:00Z,38.00,63.00
2026-02-24T06:10:00Z,38.00,63.00
2026-02-24T06:16:00Z,38.00,63.00
2026-02-24T06:19:00Z,38.00,63.13
2026-02-24T06:20:00Z,38.00,64.00
2026-02-24T06:24:00Z,38.00,63.00
2026-02-24T06:25:00Z,38.00,63.00
2026-02-24T06:29:00Z,38.00,63.00
2026-02-24T06:30:00Z,38.00,63.00
2026-02-24T06:31:00Z,38.00,62.00
2026-02-24T06:35:00Z,38.00,62.00
2026-02-24T06:38:00Z,38.00,63.00
2026-02-24T06:39:00Z,38.00,63.00
2026-02-24T06:43:00Z,38.00,62.00
2026-02-24T06:44:00Z,38.00,62.00
2026-02-24T06:49:00Z,38.00,63.00
2026-02-24T06:50:00Z,38.00,63.00
2026-02-24T06:52:00Z,38.00,63.00
2026-02-24T06:59:00Z,38.00,63.00
2026-02-24T07:01:00Z,38.00,63.00
2026-02-24T07:13:00Z,38.00,63.00
2026-02-24T07:22:00Z,38.34,63.00
