# event_ticker=KXATPCHALLENGERMATCH-26MAY19MONSAN
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Thiago Monteiro
# fav_player=Alejo Sanchez Quilez
# dog_player=Thiago Monteiro
# kalshi_date=2026-05-19
timestamp,Thiago Monteiro,Alejo Sanchez Quilez
2026-05-18T22:43:00Z,62.38,39.00
2026-05-18T22:44:00Z,62.00,39.00
2026-05-19T00:08:00Z,56.00,44.00
2026-05-19T05:14:00Z,56.00,41.00
2026-05-19T06:55:00Z,58.00,41.00
2026-05-19T07:48:00Z,58.00,43.00
2026-05-19T08:25:00Z,58.00,43.00
2026-05-19T09:04:00Z,58.00,43.00
2026-05-19T09:11:00Z,58.00,43.00
2026-05-19T10:20:00Z,58.00,43.00
2026-05-19T10:22:00Z,58.00,45.00
2026-05-19T10:26:00Z,58.00,45.00
2026-05-19T10:39:00Z,58.00,45.00
2026-05-19T10:40:00Z,58.00,46.00
2026-05-19T10:41:00Z,49.00,46.00
2026-05-19T10:42:00Z,53.99,51.33
2026-05-19T10:43:00Z,53.99,48.00
2026-05-19T10:44:00Z,56.98,48.00
2026-05-19T10:46:00Z,56.00,46.00
2026-05-19T10:49:00Z,53.00,46.00
2026-05-19T10:52:00Z,53.00,50.00
2026-05-19T10:56:00Z,59.00,50.00
2026-05-19T10:57:00Z,56.00,50.00
2026-05-19T10:58:00Z,57.00,37.00
2026-05-19T10:59:00Z,72.82,30.93
2026-05-19T11:00:00Z,73.00,30.93
2026-05-19T11:02:00Z,72.00,30.93
2026-05-19T11:03:00Z,69.00,30.93
2026-05-19T11:04:00Z,58.72,42.00
2026-05-19T11:05:00Z,55.00,45.00
2026-05-19T11:07:00Z,55.00,46.00
2026-05-19T11:08:00Z,52.00,46.00
2026-05-19T11:09:00Z,52.00,50.00
2026-05-19T11:10:00Z,51.39,50.00
2026-05-19T11:12:00Z,59.00,42.91
2026-05-19T11:13:00Z,59.00,43.69
2026-05-19T11:14:00Z,68.08,35.37
2026-05-19T11:15:00Z,68.76,34.00
2026-05-19T11:16:00Z,66.50,35.20
2026-05-19T11:17:00Z,59.38,39.85
2026-05-19T11:18:00Z,64.41,34.49
2026-05-19T11:19:00Z,73.86,34.49
2026-05-19T11:20:00Z,73.86,23.00
2026-05-19T11:22:00Z,78.36,24.60
2026-05-19T11:27:00Z,78.36,18.00
2026-05-19T11:28:00Z,83.00,18.00
2026-05-19T11:31:00Z,82.00,17.00
2026-05-19T11:33:00Z,82.00,21.32
2026-05-19T11:34:00Z,79.00,21.32
2026-05-19T11:37:00Z,80.03,21.32
2026-05-19T11:38:00Z,82.63,21.32
2026-05-19T11:39:00Z,82.63,15.00
2026-05-19T11:40:00Z,86.43,12.41
2026-05-19T11:41:00Z,84.48,12.41
2026-05-19T11:42:00Z,91.00,9.00
2026-05-19T11:44:00Z,92.51,9.00
2026-05-19T11:45:00Z,94.00,6.91
2026-05-19T11:46:00Z,94.00,10.00
2026-05-19T11:47:00Z,94.94,6.41
2026-05-19T11:48:00Z,95.00,5.00
2026-05-19T11:49:00Z,96.09,4.00
2026-05-19T11:51:00Z,96.09,1.00
2026-05-19T11:52:00Z,99.00,1.04
2026-05-19T11:53:00Z,99.00,1.82
2026-05-19T11:54:00Z,99.00,1.36
2026-05-19T12:00:00Z,99.00,1.36
