# event_ticker=KXATPCHALLENGERMATCH-26APR20BARCAD
# final_score=2-6 6-1 6-2
# score_resolution=6-2 1-6 2-6
# match_winner=Gianluca Cadenasso
# fav_player=Alex Barrena
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-04-20
timestamp,Alex Barrena,Gianluca Cadenasso
2026-04-20T02:46:00Z,,60.00
2026-04-20T02:59:00Z,,56.00
2026-04-20T03:34:00Z,41.00,56.00
2026-04-20T03:35:00Z,41.00,56.00
2026-04-20T03:38:00Z,41.00,56.00
2026-04-20T03:48:00Z,41.00,56.00
2026-04-20T03:58:00Z,41.00,56.00
2026-04-20T05:23:00Z,41.00,56.00
2026-04-20T05:39:00Z,40.00,56.00
2026-04-20T06:01:00Z,40.00,62.00
2026-04-20T06:20:00Z,40.00,62.97
2026-04-20T06:48:00Z,40.00,62.97
2026-04-20T08:44:00Z,40.00,62.97
2026-04-20T09:44:00Z,40.00,63.00
2026-04-20T09:56:00Z,40.00,61.27
2026-04-20T12:39:00Z,40.00,61.27
2026-04-20T12:42:00Z,40.00,63.26
2026-04-20T12:45:00Z,40.00,63.26
2026-04-20T12:55:00Z,39.00,63.00
2026-04-20T13:02:00Z,39.00,62.00
2026-04-20T13:11:00Z,39.00,63.00
2026-04-20T13:44:00Z,39.00,63.00
2026-04-20T13:55:00Z,39.00,63.00
2026-04-20T14:01:00Z,39.00,64.90
2026-04-20T14:03:00Z,39.00,65.00
2026-04-20T14:04:00Z,39.00,65.00
2026-04-20T14:10:00Z,39.00,65.00
2026-04-20T14:23:00Z,39.00,63.74
2026-04-20T14:28:00Z,39.00,65.00
2026-04-20T14:31:00Z,39.00,64.74
2026-04-20T14:32:00Z,39.00,65.00
2026-04-20T14:33:00Z,37.00,65.00
2026-04-20T14:34:00Z,37.92,65.00
2026-04-20T14:35:00Z,37.08,65.00
2026-04-20T14:36:00Z,37.99,64.33
2026-04-20T14:37:00Z,37.63,64.33
2026-04-20T14:38:00Z,38.80,64.33
2026-04-20T14:39:00Z,34.00,64.75
2026-04-20T14:40:00Z,32.01,66.81
2026-04-20T14:41:00Z,32.03,66.81
2026-04-20T14:42:00Z,28.00,70.62
2026-04-20T14:43:00Z,33.00,70.62
2026-04-20T14:44:00Z,34.40,70.62
2026-04-20T14:45:00Z,37.00,64.00
2026-04-20T14:46:00Z,38.60,61.00
2026-04-20T14:47:00Z,36.00,61.00
2026-04-20T14:48:00Z,36.00,61.00
2026-04-20T14:49:00Z,34.00,66.47
2026-04-20T14:50:00Z,34.00,66.47
2026-04-20T14:51:00Z,35.10,65.86
2026-04-20T14:52:00Z,36.38,64.00
2026-04-20T14:53:00Z,46.99,57.91
2026-04-20T14:54:00Z,47.70,56.23
2026-04-20T14:55:00Z,52.00,60.52
2026-04-20T14:56:00Z,40.03,57.10
2026-04-20T14:57:00Z,31.75,69.92
2026-04-20T14:58:00Z,30.00,71.00
2026-04-20T14:59:00Z,31.74,70.15
2026-04-20T15:00:00Z,34.27,72.23
2026-04-20T15:01:00Z,37.00,68.31
2026-04-20T15:02:00Z,33.65,68.31
2026-04-20T15:03:00Z,38.39,63.00
2026-04-20T15:04:00Z,36.69,63.84
2026-04-20T15:05:00Z,39.23,62.00
2026-04-20T15:06:00Z,41.03,62.00
2026-04-20T15:07:00Z,42.73,57.17
2026-04-20T15:08:00Z,48.00,55.93
2026-04-20T15:09:00Z,45.97,56.84
2026-04-20T15:10:00Z,54.44,44.42
2026-04-20T15:11:00Z,57.55,42.16
2026-04-20T15:12:00Z,61.28,44.00
2026-04-20T15:13:00Z,64.69,47.86
2026-04-20T15:14:00Z,56.91,48.40
2026-04-20T15:15:00Z,61.79,41.15
2026-04-20T15:16:00Z,61.00,43.00
2026-04-20T15:17:00Z,56.32,44.00
2026-04-20T15:18:00Z,56.11,40.00
2026-04-20T15:19:00Z,59.28,40.91
2026-04-20T15:20:00Z,64.29,33.79
2026-04-20T15:21:00Z,65.11,36.69
2026-04-20T15:22:00Z,67.40,34.83
