# event_ticker=KXATPMATCH-26MAR17TABCOM
# final_score=6-4 6-2
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Francisco Comesana
# kalshi_date=2026-03-17
timestamp,Alejandro Tabilo,Francisco Comesana
2026-03-19T10:38:00Z,68.00,
2026-03-19T13:02:00Z,68.00,
2026-03-19T13:41:00Z,68.00,
2026-03-19T13:48:00Z,68.00,
2026-03-19T13:59:00Z,69.00,
2026-03-19T15:07:00Z,69.00,32.00
2026-03-19T15:10:00Z,69.00,32.00
2026-03-19T15:17:00Z,68.00,32.00
2026-03-19T15:23:00Z,68.00,32.00
2026-03-19T16:38:00Z,69.00,32.00
2026-03-19T16:39:00Z,69.00,32.00
2026-03-19T16:45:00Z,69.00,32.00
2026-03-19T17:58:00Z,68.00,32.00
2026-03-19T18:25:00Z,68.00,32.00
2026-03-19T18:26:00Z,68.00,32.00
2026-03-19T18:27:00Z,68.00,32.00
2026-03-19T18:29:00Z,68.00,32.00
2026-03-19T18:32:00Z,68.00,32.00
2026-03-19T18:47:00Z,68.00,32.00
2026-03-19T19:03:00Z,68.00,32.00
2026-03-19T19:06:00Z,68.00,32.00
2026-03-19T19:10:00Z,68.00,32.00
2026-03-19T19:28:00Z,68.00,32.00
2026-03-19T19:31:00Z,68.00,32.00
2026-03-19T19:41:00Z,68.00,32.00
2026-03-19T19:42:00Z,68.00,32.00
2026-03-19T19:44:00Z,68.00,32.00
2026-03-19T19:45:00Z,68.00,32.00
2026-03-19T19:49:00Z,68.00,32.00
2026-03-19T20:11:00Z,68.00,32.00
2026-03-19T20:12:00Z,68.00,32.00
2026-03-19T20:16:00Z,68.00,32.00
2026-03-19T20:28:00Z,68.00,32.00
2026-03-19T20:32:00Z,68.00,32.00
2026-03-19T20:33:00Z,68.00,32.00
2026-03-19T20:36:00Z,68.00,32.00
2026-03-19T20:39:00Z,68.00,32.00
2026-03-19T20:40:00Z,68.00,32.00
2026-03-19T20:44:00Z,68.00,32.00
2026-03-19T20:48:00Z,68.00,32.00
2026-03-19T20:50:00Z,68.00,32.00
2026-03-19T20:51:00Z,68.00,32.00
2026-03-19T20:52:00Z,68.00,32.00
2026-03-19T20:54:00Z,68.00,32.00
2026-03-19T20:57:00Z,68.00,32.00
2026-03-19T21:00:00Z,68.00,32.00
2026-03-19T21:06:00Z,69.00,32.00
2026-03-19T21:07:00Z,68.00,32.00
2026-03-19T21:13:00Z,68.00,32.00
2026-03-19T21:15:00Z,68.00,32.00
2026-03-19T21:20:00Z,68.00,32.00
2026-03-19T21:21:00Z,68.00,32.00
2026-03-19T21:25:00Z,68.00,32.00
2026-03-19T21:28:00Z,68.00,32.00
2026-03-19T21:29:00Z,68.00,32.00
2026-03-19T21:31:00Z,68.00,32.00
2026-03-19T21:33:00Z,68.00,33.00
2026-03-19T21:34:00Z,68.00,33.00
2026-03-19T21:35:00Z,68.00,33.00
2026-03-19T21:36:00Z,68.00,33.00
2026-03-19T21:38:00Z,68.00,33.00
2026-03-19T21:39:00Z,68.00,33.00
2026-03-19T21:41:00Z,68.00,33.00
2026-03-19T21:47:00Z,68.01,33.00
2026-03-19T21:58:00Z,69.00,33.00
2026-03-19T22:03:00Z,69.00,33.00
2026-03-19T22:04:00Z,69.00,33.00
2026-03-19T22:06:00Z,69.00,32.00
2026-03-19T22:07:00Z,69.00,32.00
2026-03-19T22:08:00Z,69.00,32.00
2026-03-19T22:10:00Z,69.00,32.00
2026-03-19T22:11:00Z,69.00,32.00
2026-03-19T22:12:00Z,69.12,32.00
2026-03-19T22:13:00Z,69.94,32.00
2026-03-19T22:14:00Z,70.00,32.00
2026-03-19T22:15:00Z,70.00,32.00
2026-03-19T22:17:00Z,70.00,32.00
2026-03-19T22:18:00Z,69.66,32.00
2026-03-19T22:20:00Z,69.00,32.00
2026-03-19T22:21:00Z,69.77,32.00
2026-03-19T22:22:00Z,69.77,32.00
2026-03-19T22:23:00Z,70.00,32.00
2026-03-19T22:24:00Z,71.00,30.25
2026-03-19T22:25:00Z,68.55,31.08
2026-03-19T22:26:00Z,68.00,33.35
2026-03-19T22:27:00Z,69.94,33.35
2026-03-19T22:28:00Z,72.54,33.00
2026-03-19T22:29:00Z,81.12,22.74
2026-03-19T22:30:00Z,81.81,17.42
2026-03-19T22:31:00Z,84.01,16.03
2026-03-19T22:32:00Z,84.04,20.59
2026-03-19T22:33:00Z,81.00,20.48
2026-03-19T22:34:00Z,82.83,18.04
2026-03-19T22:35:00Z,85.22,15.06
2026-03-19T22:36:00Z,83.36,16.64
2026-03-19T22:37:00Z,81.00,19.72
2026-03-19T22:38:00Z,81.00,20.00
