# event_ticker=KXATPMATCH-25SEP18HIJUGO
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-09-18
timestamp,Rinky Hijikata,Camilo Ugo Carabelli
2025-09-18T16:16:00Z,,36.00
2025-09-18T16:34:00Z,,37.10
2025-09-18T16:37:00Z,65.00,36.00
2025-09-18T17:03:00Z,65.00,36.00
2025-09-18T17:09:00Z,64.00,36.00
2025-09-18T17:17:00Z,64.00,36.00
2025-09-18T17:56:00Z,64.00,36.00
2025-09-18T18:12:00Z,65.00,36.00
2025-09-18T18:14:00Z,65.00,35.00
2025-09-18T18:40:00Z,65.00,36.00
2025-09-18T20:03:00Z,65.00,33.00
2025-09-18T20:32:00Z,65.00,33.00
2025-09-18T20:35:00Z,65.00,36.00
2025-09-18T20:58:00Z,65.00,36.00
2025-09-18T21:03:00Z,65.00,36.00
2025-09-18T21:05:00Z,65.00,33.00
2025-09-18T21:09:00Z,65.00,36.00
2025-09-18T21:11:00Z,65.00,36.00
2025-09-18T21:22:00Z,65.00,36.00
2025-09-18T21:29:00Z,65.00,36.00
2025-09-18T21:32:00Z,65.00,36.00
2025-09-18T21:34:00Z,65.00,36.00
2025-09-18T21:42:00Z,65.00,36.00
2025-09-18T21:53:00Z,65.00,36.00
2025-09-18T21:57:00Z,65.00,36.00
2025-09-18T22:03:00Z,65.00,36.00
2025-09-18T22:26:00Z,65.00,36.00
2025-09-18T22:33:00Z,65.00,36.00
2025-09-18T22:37:00Z,65.00,36.00
2025-09-18T22:39:00Z,65.00,33.00
2025-09-18T22:46:00Z,65.00,33.00
2025-09-18T22:48:00Z,65.43,33.00
2025-09-18T22:56:00Z,65.43,36.00
2025-09-18T22:59:00Z,65.00,36.00
2025-09-18T23:07:00Z,65.00,36.00
2025-09-18T23:20:00Z,65.00,36.00
2025-09-18T23:30:00Z,65.00,36.00
2025-09-18T23:44:00Z,65.00,36.00
2025-09-19T00:04:00Z,65.00,36.00
2025-09-19T00:11:00Z,65.00,36.00
2025-09-19T00:37:00Z,65.00,36.00
2025-09-19T00:44:00Z,65.00,36.00
2025-09-19T00:56:00Z,64.00,36.00
2025-09-19T00:58:00Z,65.00,36.00
2025-09-19T00:59:00Z,65.00,35.00
2025-09-19T01:22:00Z,65.00,35.00
2025-09-19T01:26:00Z,65.00,36.00
2025-09-19T01:37:00Z,65.00,36.00
2025-09-19T01:39:00Z,65.00,36.00
2025-09-19T01:52:00Z,65.00,36.00
2025-09-19T01:54:00Z,65.10,36.00
2025-09-19T01:55:00Z,66.00,36.00
2025-09-19T02:07:00Z,66.00,36.00
2025-09-19T02:08:00Z,66.00,36.00
2025-09-19T02:09:00Z,66.00,36.00
2025-09-19T02:12:00Z,66.00,36.00
2025-09-19T02:15:00Z,66.00,36.00
2025-09-19T02:17:00Z,66.00,36.00
2025-09-19T02:18:00Z,66.00,36.00
2025-09-19T02:20:00Z,66.00,36.00
2025-09-19T02:21:00Z,66.00,36.00
2025-09-19T02:24:00Z,66.00,36.00
2025-09-19T02:26:00Z,66.00,36.00
2025-09-19T02:29:00Z,66.00,36.00
2025-09-19T02:31:00Z,66.00,36.00
2025-09-19T02:37:00Z,66.00,36.00
2025-09-19T02:38:00Z,66.00,36.00
2025-09-19T02:39:00Z,66.00,36.00
2025-09-19T02:40:00Z,66.00,36.60
2025-09-19T02:46:00Z,66.00,36.60
2025-09-19T02:48:00Z,66.00,36.00
