# event_ticker=KXATPCHALLENGERMATCH-26APR28GEEXIL
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Michael Geerts
# fav_player=Ioannis Xilas
# dog_player=Michael Geerts
# kalshi_date=2026-04-28
timestamp,Michael Geerts,Ioannis Xilas
2026-04-28T10:04:00Z,,39.00
2026-04-28T11:42:00Z,61.00,39.00
2026-04-28T13:10:00Z,61.00,39.00
2026-04-28T13:39:00Z,61.00,39.00
2026-04-28T15:38:00Z,61.00,42.00
2026-04-28T16:31:00Z,59.00,42.00
2026-04-28T18:10:00Z,59.00,42.00
2026-04-28T18:34:00Z,59.00,42.00
2026-04-28T18:53:00Z,59.00,42.00
2026-04-28T19:09:00Z,59.00,42.00
2026-04-28T19:10:00Z,59.00,42.00
2026-04-28T19:14:00Z,59.00,42.00
2026-04-28T19:55:00Z,59.00,41.00
2026-04-28T19:59:00Z,59.00,41.00
2026-04-28T20:11:00Z,59.00,41.00
2026-04-28T20:33:00Z,59.00,42.00
2026-04-28T20:44:00Z,59.00,42.00
2026-04-28T20:45:00Z,59.00,42.00
2026-04-28T20:58:00Z,59.00,42.00
2026-04-28T21:08:00Z,59.00,42.00
2026-04-28T21:14:00Z,59.00,42.00
2026-04-28T21:15:00Z,59.00,42.00
2026-04-28T21:17:00Z,59.00,42.00
2026-04-28T21:22:00Z,60.00,42.00
2026-04-28T21:25:00Z,60.00,42.00
2026-04-28T21:26:00Z,60.00,43.40
2026-04-28T21:27:00Z,60.00,43.40
2026-04-28T21:29:00Z,60.33,43.00
2026-04-28T21:30:00Z,60.25,43.00
2026-04-28T21:32:00Z,60.25,42.00
2026-04-28T21:33:00Z,60.00,42.00
2026-04-28T21:34:00Z,61.76,42.35
2026-04-28T21:35:00Z,62.06,42.09
2026-04-28T21:36:00Z,60.97,41.53
2026-04-28T21:37:00Z,66.08,35.41
2026-04-28T21:38:00Z,66.95,35.08
2026-04-28T21:39:00Z,71.93,29.00
2026-04-28T21:40:00Z,68.35,35.68
2026-04-28T21:41:00Z,60.60,41.73
2026-04-28T21:42:00Z,61.25,39.94
2026-04-28T21:43:00Z,64.96,35.22
2026-04-28T21:44:00Z,68.80,34.24
