# event_ticker=KXATPCHALLENGERMATCH-26MAY10ROCSAF
# final_score=5-7 7-6(5) 6-2
# score_resolution=7-5 6-7 2-6
# match_winner=Roman Safiullin
# fav_player=Henrique Rocha
# dog_player=Roman Safiullin
# kalshi_date=2026-05-10
timestamp,Henrique Rocha,Roman Safiullin
2026-05-11T03:40:00Z,,55.00
2026-05-11T03:59:00Z,,57.00
2026-05-11T04:01:00Z,45.00,57.00
2026-05-11T04:44:00Z,45.00,57.00
2026-05-11T05:31:00Z,45.00,57.00
2026-05-11T05:50:00Z,45.00,57.00
2026-05-11T06:02:00Z,45.00,57.00
2026-05-11T06:17:00Z,45.00,57.00
2026-05-11T06:22:00Z,45.00,58.75
2026-05-11T06:24:00Z,45.00,59.00
2026-05-11T06:36:00Z,42.00,59.00
2026-05-11T07:09:00Z,42.00,58.00
2026-05-11T07:35:00Z,42.00,58.00
2026-05-11T07:55:00Z,42.00,58.00
2026-05-11T07:56:00Z,45.00,58.00
2026-05-11T08:37:00Z,45.00,57.00
2026-05-11T08:56:00Z,45.00,57.00
2026-05-11T09:13:00Z,44.00,57.00
2026-05-11T10:07:00Z,44.00,57.00
2026-05-11T12:28:00Z,44.00,57.00
2026-05-11T12:38:00Z,44.00,57.00
2026-05-11T12:52:00Z,44.00,57.00
2026-05-11T12:55:00Z,44.00,57.00
2026-05-11T13:16:00Z,44.00,58.00
2026-05-11T13:25:00Z,44.00,58.00
2026-05-11T13:28:00Z,44.00,58.00
2026-05-11T13:30:00Z,44.00,58.00
2026-05-11T14:00:00Z,44.00,58.00
2026-05-11T14:19:00Z,44.00,58.00
2026-05-11T14:20:00Z,44.00,58.00
2026-05-11T14:21:00Z,44.00,58.00
2026-05-11T14:34:00Z,43.11,58.00
2026-05-11T14:42:00Z,43.11,59.00
2026-05-11T14:47:00Z,43.00,59.00
2026-05-11T14:50:00Z,43.00,59.00
2026-05-11T14:51:00Z,43.17,59.00
2026-05-11T14:53:00Z,43.00,59.00
2026-05-11T14:54:00Z,43.00,59.00
2026-05-11T14:57:00Z,43.00,59.00
2026-05-11T15:00:00Z,43.00,59.00
2026-05-11T15:02:00Z,42.00,59.00
2026-05-11T15:03:00Z,42.00,59.00
2026-05-11T15:04:00Z,42.00,59.00
2026-05-11T15:05:00Z,42.00,58.00
2026-05-11T15:06:00Z,45.00,58.00
2026-05-11T15:07:00Z,46.00,55.98
2026-05-11T15:08:00Z,49.83,52.18
2026-05-11T15:09:00Z,51.71,48.52
2026-05-11T15:10:00Z,48.46,50.83
2026-05-11T15:11:00Z,45.51,57.05
2026-05-11T15:12:00Z,44.00,57.00
2026-05-11T15:13:00Z,44.93,57.00
2026-05-11T15:14:00Z,44.48,56.99
2026-05-11T15:15:00Z,45.00,55.14
2026-05-11T15:16:00Z,45.88,55.14
2026-05-11T15:17:00Z,49.36,49.41
2026-05-11T15:18:00Z,52.01,50.56
2026-05-11T15:19:00Z,50.21,52.06
2026-05-11T15:20:00Z,52.00,48.33
2026-05-11T15:21:00Z,49.11,50.64
2026-05-11T15:22:00Z,48.00,52.05
2026-05-11T15:23:00Z,45.91,57.00
2026-05-11T15:24:00Z,47.13,54.02
2026-05-11T15:25:00Z,46.55,53.12
2026-05-11T15:26:00Z,46.50,56.25
2026-05-11T15:27:00Z,46.50,54.00
2026-05-11T15:28:00Z,46.50,54.00
2026-05-11T15:29:00Z,43.03,57.36
2026-05-11T15:30:00Z,42.02,57.36
2026-05-11T15:31:00Z,42.77,58.33
2026-05-11T15:32:00Z,41.21,58.00
2026-05-11T15:33:00Z,42.13,58.00
2026-05-11T15:34:00Z,41.50,57.86
2026-05-11T15:35:00Z,40.07,58.00
2026-05-11T15:36:00Z,44.95,58.00
2026-05-11T15:37:00Z,45.19,55.63
2026-05-11T15:38:00Z,49.22,52.00
2026-05-11T15:39:00Z,53.84,47.69
2026-05-11T15:40:00Z,53.54,45.20
2026-05-11T15:41:00Z,63.51,39.17
2026-05-11T15:42:00Z,61.03,40.13
2026-05-11T15:43:00Z,51.86,49.13
2026-05-11T15:44:00Z,46.00,55.00
2026-05-11T15:45:00Z,45.64,55.00
2026-05-11T15:46:00Z,45.00,58.97
2026-05-11T15:47:00Z,43.04,58.41
2026-05-11T15:48:00Z,41.33,59.42
2026-05-11T15:49:00Z,41.35,57.22
2026-05-11T15:50:00Z,41.92,57.22
2026-05-11T15:51:00Z,37.71,61.76
2026-05-11T15:52:00Z,42.94,61.19
2026-05-11T15:53:00Z,44.43,54.05
2026-05-11T15:54:00Z,47.00,53.70
2026-05-11T15:55:00Z,48.52,52.35
2026-05-11T15:56:00Z,46.08,54.88
2026-05-11T15:57:00Z,48.49,52.81
2026-05-11T15:58:00Z,45.71,55.58
2026-05-11T15:59:00Z,47.04,52.59
2026-05-11T16:00:00Z,54.65,47.59
2026-05-11T16:01:00Z,68.41,30.42
2026-05-11T16:02:00Z,69.25,30.09
2026-05-11T16:03:00Z,69.75,31.11
2026-05-11T16:04:00Z,71.98,29.90
2026-05-11T16:05:00Z,72.67,28.85
2026-05-11T16:06:00Z,68.23,34.08
2026-05-11T16:07:00Z,62.97,34.51
2026-05-11T16:08:00Z,61.90,38.73
2026-05-11T16:09:00Z,55.28,45.00
2026-05-11T16:10:00Z,51.83,46.66
2026-05-11T16:11:00Z,50.00,49.57
2026-05-11T16:12:00Z,50.12,50.00
2026-05-11T16:13:00Z,52.99,48.84
2026-05-11T16:14:00Z,53.01,46.42
2026-05-11T16:15:00Z,54.00,47.00
2026-05-11T16:16:00Z,54.00,46.83
2026-05-11T16:17:00Z,55.26,44.85
2026-05-11T16:18:00Z,55.89,44.65
2026-05-11T16:19:00Z,58.00,46.65
2026-05-11T16:20:00Z,51.03,49.00
2026-05-11T16:21:00Z,51.83,50.71
2026-05-11T16:22:00Z,46.00,52.23
2026-05-11T16:23:00Z,52.16,49.83
2026-05-11T16:24:00Z,52.58,48.00
2026-05-11T16:25:00Z,52.80,48.88
2026-05-11T16:26:00Z,52.75,47.33
2026-05-11T16:27:00Z,65.01,33.54
2026-05-11T16:28:00Z,71.52,28.92
2026-05-11T16:29:00Z,75.40,24.61
2026-05-11T16:30:00Z,76.99,23.27
2026-05-11T16:31:00Z,76.24,24.00
2026-05-11T16:32:00Z,76.83,24.66
2026-05-11T16:33:00Z,75.31,24.20
2026-05-11T16:34:00Z,72.53,28.21
