# event_ticker=KXATPMATCH-26APR27ATMZVE
# final_score=6-3 7-6(2)
# score_resolution=6-3 7-6
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Terence Atmane
# kalshi_date=2026-04-27
timestamp,Terence Atmane,Alexander Zverev
2026-04-27T06:17:00Z,,84.00
2026-04-27T06:19:00Z,,84.00
2026-04-27T06:23:00Z,,84.00
2026-04-27T06:27:00Z,18.00,84.00
2026-04-27T06:48:00Z,18.00,84.00
2026-04-27T06:58:00Z,18.00,84.00
2026-04-27T07:01:00Z,18.00,84.00
2026-04-27T07:03:00Z,17.00,84.00
2026-04-27T07:09:00Z,17.00,84.00
2026-04-27T07:11:00Z,17.00,84.00
2026-04-27T07:13:00Z,16.00,84.00
2026-04-27T07:43:00Z,16.00,84.00
2026-04-27T07:52:00Z,16.00,84.00
2026-04-27T08:08:00Z,16.00,84.00
2026-04-27T08:49:00Z,17.00,84.00
2026-04-27T08:54:00Z,17.00,84.00
2026-04-27T08:59:00Z,17.00,84.00
2026-04-27T09:05:00Z,17.00,84.00
2026-04-27T09:08:00Z,17.00,84.00
2026-04-27T09:12:00Z,17.00,84.00
2026-04-27T09:14:00Z,17.00,84.00
2026-04-27T09:15:00Z,17.00,84.00
2026-04-27T09:18:00Z,17.00,84.00
2026-04-27T09:37:00Z,16.00,84.00
2026-04-27T09:55:00Z,17.00,84.00
2026-04-27T09:57:00Z,17.00,84.00
2026-04-27T10:01:00Z,17.00,84.00
2026-04-27T10:03:00Z,17.00,84.00
2026-04-27T10:14:00Z,17.00,84.00
2026-04-27T10:18:00Z,17.00,84.00
2026-04-27T10:23:00Z,17.00,84.00
2026-04-27T10:26:00Z,17.00,84.00
2026-04-27T10:28:00Z,17.00,84.00
2026-04-27T10:38:00Z,17.00,84.00
2026-04-27T10:39:00Z,17.00,84.00
2026-04-27T10:43:00Z,17.00,84.00
2026-04-27T10:44:00Z,17.00,84.00
2026-04-27T10:48:00Z,17.00,84.00
2026-04-27T10:53:00Z,17.00,84.00
2026-04-27T11:05:00Z,17.00,84.00
2026-04-27T11:09:00Z,17.00,84.00
2026-04-27T11:12:00Z,17.00,84.00
2026-04-27T11:23:00Z,17.00,84.00
2026-04-27T11:28:00Z,17.00,84.00
2026-04-27T11:35:00Z,17.00,84.00
2026-04-27T11:37:00Z,17.00,84.00
2026-04-27T11:47:00Z,17.00,84.00
2026-04-27T11:58:00Z,17.00,84.00
