# event_ticker=KXATPCHALLENGERMATCH-26APR14DICZAR
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Ryan Dickerson
# fav_player=Carlos Maria Zarate
# dog_player=Ryan Dickerson
# kalshi_date=2026-04-14
timestamp,Carlos Maria Zarate,Ryan Dickerson
2026-04-14T12:18:00Z,66.00,
2026-04-14T13:12:00Z,68.00,
2026-04-14T16:03:00Z,71.03,31.54
2026-04-14T16:11:00Z,68.00,31.54
2026-04-14T16:18:00Z,68.00,31.54
2026-04-14T16:45:00Z,68.00,31.54
2026-04-14T16:55:00Z,68.00,33.00
2026-04-14T17:15:00Z,69.00,33.00
2026-04-14T17:35:00Z,69.00,33.00
2026-04-14T17:51:00Z,69.00,33.00
2026-04-14T17:55:00Z,69.00,33.00
2026-04-14T18:06:00Z,69.00,32.00
2026-04-14T18:10:00Z,69.00,30.00
2026-04-14T18:11:00Z,69.00,28.00
2026-04-14T18:13:00Z,76.00,23.95
2026-04-14T18:14:00Z,75.00,23.95
2026-04-14T18:15:00Z,75.00,28.00
2026-04-14T18:16:00Z,77.76,28.00
2026-04-14T18:17:00Z,77.76,30.95
2026-04-14T18:18:00Z,71.61,30.95
2026-04-14T18:19:00Z,75.77,30.95
2026-04-14T18:20:00Z,73.72,27.86
2026-04-14T18:21:00Z,69.00,29.74
2026-04-14T18:22:00Z,67.17,33.58
2026-04-14T18:24:00Z,65.00,31.81
2026-04-14T18:25:00Z,68.78,33.00
2026-04-14T18:27:00Z,71.00,27.41
2026-04-14T18:28:00Z,66.00,27.41
2026-04-14T18:29:00Z,67.00,33.34
2026-04-14T18:30:00Z,68.10,33.34
2026-04-14T18:31:00Z,66.23,35.56
2026-04-14T18:32:00Z,64.09,37.55
2026-04-14T18:34:00Z,69.11,30.00
2026-04-14T18:35:00Z,69.11,30.00
2026-04-14T18:36:00Z,72.59,27.00
2026-04-14T18:37:00Z,72.82,27.28
2026-04-14T18:38:00Z,68.09,29.29
2026-04-14T18:39:00Z,69.67,29.00
2026-04-14T18:40:00Z,70.67,31.11
2026-04-14T18:41:00Z,72.00,28.87
2026-04-14T18:42:00Z,67.00,34.18
2026-04-14T18:43:00Z,63.23,35.74
2026-04-14T18:44:00Z,69.00,33.00
2026-04-14T18:45:00Z,66.84,35.03
2026-04-14T18:46:00Z,61.19,51.62
2026-04-14T18:47:00Z,65.06,34.08
2026-04-14T18:48:00Z,65.72,36.22
2026-04-14T18:49:00Z,69.49,30.01
2026-04-14T18:50:00Z,69.44,30.01
2026-04-14T18:51:00Z,70.00,30.00
2026-04-14T18:52:00Z,67.00,33.00
2026-04-14T18:53:00Z,65.00,36.00
2026-04-14T18:54:00Z,66.00,33.14
2026-04-14T18:55:00Z,65.83,36.44
2026-04-14T18:56:00Z,54.77,44.84
2026-04-14T18:57:00Z,51.10,49.73
2026-04-14T18:58:00Z,46.03,50.25
2026-04-14T18:59:00Z,45.99,56.00
2026-04-14T19:00:00Z,41.61,58.30
2026-04-14T19:01:00Z,43.00,61.66
2026-04-14T19:02:00Z,38.07,62.18
2026-04-14T19:03:00Z,37.22,61.12
2026-04-14T19:04:00Z,36.32,62.72
2026-04-14T19:05:00Z,36.00,63.62
2026-04-14T19:06:00Z,35.63,63.62
2026-04-14T19:07:00Z,36.00,63.09
2026-04-14T19:08:00Z,32.63,66.88
2026-04-14T19:09:00Z,32.76,73.19
2026-04-14T19:10:00Z,35.73,65.16
2026-04-14T19:11:00Z,41.90,59.00
2026-04-14T19:12:00Z,39.11,61.27
2026-04-14T19:13:00Z,37.95,63.71
2026-04-14T19:14:00Z,38.62,62.82
2026-04-14T19:15:00Z,37.61,63.88
2026-04-14T19:16:00Z,37.95,62.86
2026-04-14T19:17:00Z,36.06,66.48
2026-04-14T19:18:00Z,31.03,74.18
2026-04-14T19:19:00Z,30.56,69.44
2026-04-14T19:20:00Z,38.27,60.00
2026-04-14T19:21:00Z,41.00,59.98
2026-04-14T19:22:00Z,40.20,59.78
2026-04-14T19:23:00Z,38.21,61.11
2026-04-14T19:24:00Z,35.78,64.54
2026-04-14T19:25:00Z,38.59,64.00
2026-04-14T19:26:00Z,42.16,57.15
2026-04-14T19:27:00Z,41.01,59.00
2026-04-14T19:28:00Z,42.00,59.00
2026-04-14T19:29:00Z,38.95,60.58
2026-04-14T19:30:00Z,44.95,58.30
2026-04-14T19:31:00Z,49.34,50.54
2026-04-14T19:32:00Z,53.05,49.93
2026-04-14T19:33:00Z,44.54,54.83
2026-04-14T19:34:00Z,51.36,53.04
2026-04-14T19:35:00Z,39.33,62.53
2026-04-14T19:36:00Z,36.09,64.13
2026-04-14T19:37:00Z,38.98,65.13
2026-04-14T19:38:00Z,37.85,65.13
2026-04-14T19:39:00Z,39.92,58.73
2026-04-14T19:40:00Z,42.00,58.00
2026-04-14T19:41:00Z,43.00,57.97
2026-04-14T19:42:00Z,42.66,53.08
2026-04-14T19:43:00Z,41.00,59.09
2026-04-14T19:44:00Z,37.39,64.89
2026-04-14T19:45:00Z,40.46,61.07
2026-04-14T19:46:00Z,46.16,58.07
2026-04-14T19:47:00Z,36.01,62.00
2026-04-14T19:48:00Z,35.61,66.68
2026-04-14T19:49:00Z,18.07,82.51
2026-04-14T19:50:00Z,16.57,82.11
2026-04-14T19:51:00Z,12.44,86.05
2026-04-14T19:52:00Z,10.11,90.60
2026-04-14T19:53:00Z,9.42,93.50
2026-04-14T19:54:00Z,9.82,91.06
2026-04-14T19:55:00Z,7.03,94.07
2026-04-14T19:56:00Z,2.33,98.70
2026-04-14T19:57:00Z,2.15,97.16
2026-04-14T19:58:00Z,2.15,99.00
2026-04-14T19:59:00Z,2.15,99.00
2026-04-14T20:00:00Z,2.15,99.00
2026-04-14T20:01:00Z,2.15,99.00
2026-04-14T20:02:00Z,2.15,99.00
2026-04-14T20:03:00Z,2.15,99.00
2026-04-14T20:04:00Z,2.15,99.00
