# event_ticker=KXATPCHALLENGERMATCH-26MAR18RONCOL
# final_score=6-4 RET
# match_winner=Franco Roncadelli
# fav_player=Andrea Collarini
# dog_player=Franco Roncadelli
# kalshi_date=2026-03-18
timestamp,Andrea Collarini,Franco Roncadelli
2026-03-18T14:21:00Z,,42.00
2026-03-18T16:01:00Z,62.00,42.00
2026-03-18T16:38:00Z,62.00,42.00
2026-03-18T17:13:00Z,64.09,42.00
2026-03-18T17:14:00Z,63.00,42.00
2026-03-18T17:27:00Z,63.00,37.00
2026-03-18T17:53:00Z,66.12,37.00
2026-03-18T18:05:00Z,66.00,37.00
2026-03-18T18:11:00Z,66.00,37.00
2026-03-18T19:11:00Z,66.00,37.00
2026-03-18T19:25:00Z,66.00,37.00
2026-03-18T19:38:00Z,66.00,37.00
2026-03-18T19:49:00Z,66.00,37.00
2026-03-18T19:55:00Z,68.42,33.98
2026-03-18T19:56:00Z,68.42,34.00
2026-03-18T19:58:00Z,69.40,34.00
2026-03-18T20:00:00Z,70.00,34.00
2026-03-18T20:05:00Z,70.00,35.00
2026-03-18T20:07:00Z,70.00,35.00
2026-03-18T20:11:00Z,70.00,34.00
2026-03-18T20:20:00Z,70.00,34.00
2026-03-18T20:23:00Z,70.00,34.00
2026-03-18T20:24:00Z,70.99,31.37
2026-03-18T20:29:00Z,68.00,31.37
2026-03-18T20:30:00Z,69.14,32.00
2026-03-18T20:31:00Z,70.00,32.00
2026-03-18T20:32:00Z,70.00,32.00
2026-03-18T20:35:00Z,70.00,32.00
2026-03-18T20:37:00Z,65.00,34.00
2026-03-18T20:38:00Z,63.00,34.00
2026-03-18T20:42:00Z,63.00,36.00
2026-03-18T20:56:00Z,71.00,36.00
2026-03-18T20:57:00Z,71.00,31.00
2026-03-18T20:58:00Z,71.00,31.00
2026-03-18T20:59:00Z,71.00,31.82
2026-03-18T21:00:00Z,71.78,31.35
2026-03-18T21:01:00Z,71.00,36.00
2026-03-18T21:02:00Z,76.60,28.11
2026-03-18T21:03:00Z,74.00,28.00
2026-03-18T21:05:00Z,79.00,28.00
2026-03-18T21:06:00Z,79.00,28.00
2026-03-18T21:09:00Z,71.07,37.86
2026-03-18T21:10:00Z,71.44,38.25
2026-03-18T21:11:00Z,65.00,39.89
2026-03-18T21:12:00Z,64.20,39.00
2026-03-18T21:13:00Z,68.66,35.00
2026-03-18T21:14:00Z,75.30,31.65
2026-03-18T21:15:00Z,78.24,21.46
2026-03-18T21:16:00Z,77.20,26.44
2026-03-18T21:18:00Z,69.23,34.00
2026-03-18T21:19:00Z,68.89,33.00
2026-03-18T21:20:00Z,65.32,37.97
2026-03-18T21:21:00Z,59.11,41.22
2026-03-18T21:22:00Z,54.56,46.04
2026-03-18T21:23:00Z,54.14,48.63
2026-03-18T21:24:00Z,56.34,45.28
2026-03-18T21:25:00Z,59.61,42.09
2026-03-18T21:26:00Z,60.57,41.89
2026-03-18T21:27:00Z,61.00,40.47
2026-03-18T21:28:00Z,57.00,43.27
2026-03-18T21:29:00Z,62.86,39.69
2026-03-18T21:30:00Z,59.66,42.40
2026-03-18T21:31:00Z,57.66,44.15
2026-03-18T21:32:00Z,56.51,44.49
2026-03-18T21:33:00Z,55.21,44.12
2026-03-18T21:34:00Z,54.39,46.19
2026-03-18T21:35:00Z,58.06,45.26
2026-03-18T21:36:00Z,62.20,40.06
2026-03-18T21:37:00Z,64.80,39.02
2026-03-18T21:38:00Z,64.80,36.67
2026-03-18T21:39:00Z,69.44,32.60
2026-03-18T21:40:00Z,66.22,35.79
2026-03-18T21:41:00Z,63.17,40.32
2026-03-18T21:42:00Z,59.99,41.26
2026-03-18T21:43:00Z,57.53,43.66
2026-03-18T21:44:00Z,57.06,43.07
2026-03-18T21:45:00Z,54.44,47.66
2026-03-18T21:46:00Z,56.77,47.87
2026-03-18T21:47:00Z,58.32,47.87
2026-03-18T21:48:00Z,53.42,51.76
2026-03-18T21:49:00Z,49.91,56.32
2026-03-18T21:50:00Z,49.98,53.68
2026-03-18T21:51:00Z,50.21,50.07
2026-03-18T21:52:00Z,52.18,52.94
2026-03-18T21:53:00Z,55.93,47.99
2026-03-18T21:54:00Z,56.46,44.95
2026-03-18T21:55:00Z,56.87,42.42
2026-03-18T21:56:00Z,58.51,41.50
2026-03-18T21:57:00Z,60.59,40.39
2026-03-18T21:58:00Z,58.46,42.83
2026-03-18T21:59:00Z,57.45,43.98
2026-03-18T22:00:00Z,58.17,42.37
2026-03-18T22:01:00Z,52.90,47.63
2026-03-18T22:02:00Z,53.17,47.00
2026-03-18T22:03:00Z,77.23,37.25
2026-03-18T22:04:00Z,62.85,39.25
2026-03-18T22:05:00Z,62.35,38.71
2026-03-18T22:06:00Z,61.97,39.80
2026-03-18T22:07:00Z,59.38,44.91
2026-03-18T22:08:00Z,60.05,43.26
2026-03-18T22:09:00Z,66.56,35.18
2026-03-18T22:10:00Z,69.57,32.38
2026-03-18T22:11:00Z,63.70,36.31
2026-03-18T22:12:00Z,55.89,44.01
2026-03-18T22:13:00Z,54.00,45.98
2026-03-18T22:14:00Z,54.00,46.00
2026-03-18T22:15:00Z,54.07,49.93
2026-03-18T22:16:00Z,52.06,49.03
2026-03-18T22:17:00Z,44.36,58.34
2026-03-18T22:18:00Z,27.78,71.88
2026-03-18T22:19:00Z,28.57,73.52
2026-03-18T22:20:00Z,16.56,89.45
2026-03-18T22:21:00Z,3.97,96.54
2026-03-18T22:22:00Z,1.63,99.00
