# event_ticker=KXATPCHALLENGERMATCH-26MAY12STRALV
# final_score=6-1 5-7 6-2
# score_resolution=1-6 7-5 2-6
# match_winner=Nicolas Alvarez Varona
# fav_player=Jan-Lennard Struff
# dog_player=Nicolas Alvarez Varona
# kalshi_date=2026-05-12
timestamp,Jan-Lennard Struff,Nicolas Alvarez Varona
2026-05-11T20:55:00Z,80.00,
2026-05-11T21:03:00Z,80.00,
2026-05-11T21:19:00Z,80.00,
2026-05-11T21:37:00Z,79.00,
2026-05-11T22:08:00Z,79.00,
2026-05-11T22:30:00Z,77.00,
2026-05-11T23:26:00Z,76.00,
2026-05-12T01:57:00Z,76.00,25.00
2026-05-12T02:26:00Z,76.00,25.00
2026-05-12T04:00:00Z,76.00,25.00
2026-05-12T05:15:00Z,76.93,25.00
2026-05-12T05:20:00Z,77.00,25.00
2026-05-12T05:33:00Z,77.00,25.00
2026-05-12T05:38:00Z,77.00,25.00
2026-05-12T06:12:00Z,77.00,24.00
2026-05-12T06:26:00Z,78.00,24.00
2026-05-12T06:28:00Z,78.00,24.00
2026-05-12T07:19:00Z,76.00,24.00
2026-05-12T08:01:00Z,76.00,25.00
2026-05-12T08:11:00Z,77.00,25.00
2026-05-12T08:22:00Z,77.00,25.00
2026-05-12T08:23:00Z,77.27,25.00
2026-05-12T08:35:00Z,77.27,25.86
2026-05-12T08:39:00Z,77.27,25.00
2026-05-12T08:41:00Z,75.00,25.00
2026-05-12T08:43:00Z,72.08,29.00
2026-05-12T08:45:00Z,74.22,26.00
2026-05-12T08:46:00Z,79.00,22.00
2026-05-12T08:48:00Z,76.00,22.00
2026-05-12T08:50:00Z,83.00,19.00
2026-05-12T08:51:00Z,83.00,28.00
2026-05-12T08:52:00Z,73.00,28.00
2026-05-12T08:53:00Z,72.92,32.00
2026-05-12T08:54:00Z,72.92,35.00
2026-05-12T08:55:00Z,63.50,36.00
2026-05-12T08:56:00Z,63.50,43.92
2026-05-12T08:57:00Z,54.54,46.41
2026-05-12T08:58:00Z,54.00,46.41
2026-05-12T08:59:00Z,52.00,49.00
2026-05-12T09:00:00Z,52.00,50.00
2026-05-12T09:01:00Z,52.00,50.00
2026-05-12T09:02:00Z,51.28,50.84
2026-05-12T09:03:00Z,51.28,52.95
2026-05-12T09:04:00Z,42.00,59.45
2026-05-12T09:05:00Z,39.90,59.45
2026-05-12T09:06:00Z,37.01,63.06
2026-05-12T09:07:00Z,36.00,64.92
2026-05-12T09:09:00Z,38.40,63.15
2026-05-12T09:10:00Z,38.00,63.15
2026-05-12T09:11:00Z,39.00,63.15
2026-05-12T09:12:00Z,38.48,61.98
2026-05-12T09:13:00Z,35.00,61.98
2026-05-12T09:14:00Z,33.80,65.00
2026-05-12T09:15:00Z,37.00,65.00
2026-05-12T09:16:00Z,36.00,65.00
2026-05-12T09:17:00Z,40.00,65.00
2026-05-12T09:18:00Z,42.00,65.00
2026-05-12T09:19:00Z,38.00,67.00
2026-05-12T09:20:00Z,30.29,68.14
2026-05-12T09:21:00Z,34.29,69.24
2026-05-12T09:22:00Z,35.10,69.24
2026-05-12T09:23:00Z,36.00,63.00
2026-05-12T09:24:00Z,36.00,64.00
2026-05-12T09:25:00Z,33.00,65.00
2026-05-12T09:26:00Z,40.00,65.00
2026-05-12T09:27:00Z,42.00,61.67
2026-05-12T09:29:00Z,43.95,55.01
2026-05-12T09:30:00Z,56.31,55.01
2026-05-12T09:31:00Z,53.13,47.12
2026-05-12T09:32:00Z,40.01,47.12
2026-05-12T09:33:00Z,40.67,47.12
2026-05-12T09:34:00Z,41.86,59.00
2026-05-12T09:36:00Z,39.12,61.00
2026-05-12T09:37:00Z,39.12,61.00
2026-05-12T09:38:00Z,37.00,63.00
2026-05-12T09:39:00Z,33.00,66.00
2026-05-12T09:40:00Z,23.17,74.89
2026-05-12T09:41:00Z,16.80,84.50
2026-05-12T09:42:00Z,7.11,93.84
2026-05-12T09:43:00Z,7.00,93.00
2026-05-12T09:44:00Z,9.31,91.87
2026-05-12T09:45:00Z,17.08,84.02
