# event_ticker=KXATPMATCH-25JUL13GASTSE
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Hugo Gaston
# fav_player=Chun Hsin Tseng
# dog_player=Hugo Gaston
# kalshi_date=2025-07-13
timestamp,Chun Hsin Tseng,Hugo Gaston
2025-07-14T23:32:00Z,56.00,
2025-07-15T01:45:00Z,56.00,44.00
2025-07-15T01:51:00Z,56.00,44.00
2025-07-15T03:52:00Z,56.00,44.00
2025-07-15T04:13:00Z,56.00,44.00
2025-07-15T06:00:00Z,54.31,44.00
2025-07-15T06:30:00Z,57.00,44.00
2025-07-15T06:54:00Z,57.00,44.00
2025-07-15T06:57:00Z,57.00,44.00
2025-07-15T12:10:00Z,57.00,79.00
