# event_ticker=KXATPMATCH-26MAY08MUSMPE
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Lorenzo Musetti
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Lorenzo Musetti
# kalshi_date=2026-05-08
timestamp,Lorenzo Musetti,Giovanni Mpetshi Perricard
2026-05-08T09:03:00Z,,15.00
2026-05-08T09:15:00Z,86.00,15.00
2026-05-08T09:22:00Z,86.00,15.00
2026-05-08T09:38:00Z,86.00,15.00
2026-05-08T09:44:00Z,86.00,15.00
2026-05-08T09:52:00Z,86.00,15.00
2026-05-08T09:55:00Z,86.14,15.00
2026-05-08T10:21:00Z,86.14,15.00
2026-05-08T10:34:00Z,87.00,15.00
2026-05-08T10:42:00Z,87.00,15.00
2026-05-08T10:48:00Z,87.00,15.00
2026-05-08T11:02:00Z,87.00,15.00
2026-05-08T11:14:00Z,87.00,15.00
2026-05-08T11:35:00Z,87.00,14.00
2026-05-08T11:37:00Z,87.00,14.00
2026-05-08T11:39:00Z,87.00,14.00
2026-05-08T11:40:00Z,87.00,14.00
2026-05-08T11:42:00Z,87.00,14.00
2026-05-08T11:46:00Z,87.00,14.00
2026-05-08T11:47:00Z,87.00,14.00
2026-05-08T11:51:00Z,87.00,14.00
2026-05-08T12:03:00Z,87.00,14.00
2026-05-08T12:08:00Z,87.00,14.00
2026-05-08T12:19:00Z,87.00,14.00
2026-05-08T12:22:00Z,87.00,14.00
2026-05-08T12:24:00Z,87.00,14.00
2026-05-08T12:38:00Z,87.00,14.00
2026-05-08T12:39:00Z,87.00,14.00
2026-05-08T12:50:00Z,87.00,15.00
2026-05-08T12:59:00Z,87.00,15.00
2026-05-08T13:00:00Z,87.00,15.00
2026-05-08T13:03:00Z,86.00,15.00
2026-05-08T13:05:00Z,87.00,15.00
2026-05-08T13:07:00Z,87.00,15.00
2026-05-08T13:09:00Z,87.00,15.00
2026-05-08T13:12:00Z,87.00,15.00
2026-05-08T13:23:00Z,87.00,15.00
2026-05-08T13:27:00Z,87.00,15.00
2026-05-08T13:34:00Z,87.00,15.00
2026-05-08T13:52:00Z,87.00,15.00
2026-05-08T13:58:00Z,87.00,15.00
2026-05-08T14:01:00Z,87.00,15.00
2026-05-08T14:02:00Z,87.00,15.00
2026-05-08T14:07:00Z,87.00,15.00
2026-05-08T14:15:00Z,86.00,15.00
2026-05-08T14:16:00Z,87.00,15.00
2026-05-08T14:47:00Z,87.00,14.00
2026-05-08T14:57:00Z,87.00,14.00
2026-05-08T15:07:00Z,87.00,14.00
2026-05-08T15:13:00Z,87.00,14.00
2026-05-08T15:24:00Z,87.00,14.00
2026-05-08T15:25:00Z,87.00,14.00
2026-05-08T15:30:00Z,87.00,14.00
2026-05-08T15:33:00Z,87.00,14.00
2026-05-08T15:35:00Z,87.00,14.00
2026-05-08T15:40:00Z,87.00,14.00
2026-05-08T15:43:00Z,87.00,14.00
2026-05-08T15:45:00Z,87.00,14.00
2026-05-08T15:50:00Z,87.00,14.00
