# event_ticker=KXATPCHALLENGERMATCH-26JUN02ECHTSE
# final_score=6-4 1-6 6-3
# match_winner=Chun-Hsin Tseng
# fav_player=Chun Hsin Tseng
# dog_player=Moez Echargui
# kalshi_date=2026-06-02
timestamp,Moez Echargui,Chun Hsin Tseng
2026-06-01T23:16:00Z,22.00,
2026-06-01T23:20:00Z,22.00,
2026-06-01T23:33:00Z,22.00,80.00
2026-06-01T23:36:00Z,21.00,80.00
2026-06-01T23:37:00Z,22.00,80.00
2026-06-01T23:39:00Z,22.00,80.00
2026-06-01T23:41:00Z,22.00,80.00
2026-06-01T23:45:00Z,22.00,81.00
2026-06-01T23:48:00Z,22.00,80.00
2026-06-01T23:53:00Z,22.00,80.00
2026-06-01T23:59:00Z,22.00,80.00
2026-06-02T00:03:00Z,21.00,80.00
2026-06-02T00:06:00Z,21.00,80.00
2026-06-02T00:08:00Z,22.00,80.00
2026-06-02T00:10:00Z,22.00,80.00
2026-06-02T00:13:00Z,22.00,80.00
2026-06-02T00:14:00Z,22.00,80.00
2026-06-02T00:21:00Z,22.00,81.00
2026-06-02T00:22:00Z,22.00,81.00
2026-06-02T00:28:00Z,22.00,81.00
2026-06-02T00:36:00Z,22.00,81.00
2026-06-02T00:51:00Z,22.00,81.00
2026-06-02T01:03:00Z,22.00,81.00
2026-06-02T01:17:00Z,23.00,81.00
2026-06-02T01:20:00Z,23.00,81.00
2026-06-02T01:25:00Z,23.00,81.00
2026-06-02T01:29:00Z,23.00,81.00
2026-06-02T01:30:00Z,23.00,81.00
2026-06-02T01:52:00Z,23.00,81.00
2026-06-02T01:57:00Z,23.00,81.00
2026-06-02T01:59:00Z,23.00,81.00
2026-06-02T02:00:00Z,23.00,81.00
2026-06-02T02:02:00Z,23.00,81.00
2026-06-02T02:13:00Z,23.00,81.00
2026-06-02T02:33:00Z,23.00,81.00
2026-06-02T02:38:00Z,23.00,81.00
2026-06-02T02:39:00Z,23.00,81.00
2026-06-02T02:43:00Z,23.00,81.00
2026-06-02T02:47:00Z,23.00,81.00
2026-06-02T02:53:00Z,23.00,80.00
2026-06-02T02:58:00Z,23.00,80.00
2026-06-02T03:04:00Z,23.00,80.00
2026-06-02T03:09:00Z,23.00,80.00
2026-06-02T03:14:00Z,23.00,80.00
2026-06-02T03:19:00Z,23.00,80.00
2026-06-02T03:20:00Z,23.00,80.00
2026-06-02T03:26:00Z,23.00,80.00
2026-06-02T03:31:00Z,23.00,80.00
