# event_ticker=KXATPCHALLENGERMATCH-26APR10MORPIR
# final_score=4-6 6-3 6-4
# score_resolution=6-4 3-6 4-6
# match_winner=Zsombor Piros
# fav_player=Alejandro Moro Canas
# dog_player=Zsombor Piros
# kalshi_date=2026-04-10
timestamp,Alejandro Moro Canas,Zsombor Piros
2026-04-09T23:01:00Z,,63.00
2026-04-09T23:05:00Z,39.00,63.00
2026-04-09T23:38:00Z,39.00,63.00
2026-04-10T00:03:00Z,39.00,61.00
2026-04-10T00:23:00Z,39.00,63.00
2026-04-10T00:58:00Z,39.00,63.00
2026-04-10T01:17:00Z,39.00,63.00
2026-04-10T01:32:00Z,39.00,63.00
2026-04-10T01:44:00Z,39.00,63.00
2026-04-10T02:10:00Z,39.00,63.00
2026-04-10T02:20:00Z,39.00,63.00
2026-04-10T02:29:00Z,37.00,63.00
2026-04-10T02:44:00Z,37.00,63.00
2026-04-10T03:03:00Z,37.00,63.00
2026-04-10T03:33:00Z,37.00,63.00
2026-04-10T03:45:00Z,37.00,63.00
2026-04-10T03:54:00Z,37.00,63.00
2026-04-10T03:58:00Z,37.00,63.00
2026-04-10T04:01:00Z,37.00,62.00
2026-04-10T04:28:00Z,42.00,62.00
2026-04-10T04:47:00Z,42.00,61.00
2026-04-10T04:52:00Z,42.00,61.00
2026-04-10T05:09:00Z,42.00,61.00
2026-04-10T05:12:00Z,42.00,60.00
2026-04-10T05:16:00Z,42.00,58.10
2026-04-10T05:42:00Z,42.00,59.00
2026-04-10T06:14:00Z,42.00,60.00
2026-04-10T06:28:00Z,42.00,60.00
2026-04-10T06:39:00Z,42.00,60.00
2026-04-10T06:48:00Z,42.00,60.00
2026-04-10T06:50:00Z,41.00,60.00
2026-04-10T06:51:00Z,41.00,60.00
2026-04-10T06:52:00Z,41.00,60.00
2026-04-10T06:53:00Z,41.00,60.00
2026-04-10T07:00:00Z,41.00,60.00
2026-04-10T07:04:00Z,41.24,60.00
2026-04-10T07:08:00Z,41.24,59.00
2026-04-10T07:28:00Z,41.24,57.29
2026-04-10T07:51:00Z,42.00,57.29
2026-04-10T07:57:00Z,42.00,59.49
2026-04-10T08:08:00Z,42.00,59.00
2026-04-10T08:12:00Z,42.00,59.00
2026-04-10T08:22:00Z,42.00,59.00
