# event_ticker=KXATPCHALLENGERMATCH-26JUN02BAUBAR
# final_score=6-4 6-7(5) 7-5
# score_resolution=6-4 6-7 7-5
# match_winner=Hynek Barton
# fav_player=Hynek Barton
# dog_player=Roberto Bautista Agut
# kalshi_date=2026-06-02
timestamp,Roberto Bautista Agut,Hynek Barton
2026-06-02T02:40:00Z,52.00,
2026-06-02T02:58:00Z,52.00,48.00
2026-06-02T02:59:00Z,52.00,50.00
2026-06-02T03:11:00Z,52.00,50.00
2026-06-02T04:10:00Z,50.00,50.00
2026-06-02T04:15:00Z,50.00,50.00
2026-06-02T04:22:00Z,50.00,50.00
2026-06-02T04:52:00Z,52.00,50.00
2026-06-02T05:01:00Z,52.00,50.00
2026-06-02T05:02:00Z,52.00,50.00
2026-06-02T05:10:00Z,53.00,50.00
2026-06-02T05:48:00Z,53.00,50.00
2026-06-02T06:20:00Z,53.00,48.00
2026-06-02T06:43:00Z,53.00,48.00
2026-06-02T06:47:00Z,52.00,48.00
2026-06-02T06:50:00Z,53.00,48.00
2026-06-02T07:06:00Z,53.00,48.00
2026-06-02T07:08:00Z,53.00,48.00
2026-06-02T07:27:00Z,53.00,50.00
2026-06-02T08:31:00Z,53.00,50.00
2026-06-02T09:03:00Z,53.00,50.34
2026-06-02T10:31:00Z,53.00,50.34
2026-06-02T10:55:00Z,53.00,50.34
2026-06-02T10:57:00Z,53.00,50.34
2026-06-02T11:13:00Z,53.00,50.34
2026-06-02T11:27:00Z,53.00,50.34
2026-06-02T11:28:00Z,53.00,50.34
2026-06-02T11:34:00Z,53.00,49.86
2026-06-02T11:43:00Z,53.00,48.00
2026-06-02T11:55:00Z,53.40,48.00
2026-06-02T11:59:00Z,54.73,48.00
2026-06-02T12:12:00Z,54.00,48.00
2026-06-02T12:26:00Z,55.00,48.00
2026-06-02T12:27:00Z,55.00,48.00
2026-06-02T12:37:00Z,55.00,48.00
2026-06-02T12:43:00Z,55.00,48.00
2026-06-02T12:45:00Z,55.00,48.00
2026-06-02T12:49:00Z,54.96,48.96
2026-06-02T12:53:00Z,54.96,48.50
2026-06-02T13:03:00Z,55.00,48.50
2026-06-02T13:04:00Z,55.00,48.50
2026-06-02T13:05:00Z,55.00,48.50
2026-06-02T13:10:00Z,54.12,48.50
2026-06-02T13:19:00Z,55.00,48.50
2026-06-02T13:21:00Z,55.00,47.00
2026-06-02T13:28:00Z,55.00,47.00
2026-06-02T13:32:00Z,55.00,48.95
2026-06-02T13:33:00Z,55.00,48.90
2026-06-02T13:35:00Z,55.00,48.90
2026-06-02T13:47:00Z,55.00,48.00
2026-06-02T13:56:00Z,54.00,48.00
2026-06-02T13:57:00Z,54.00,48.00
2026-06-02T13:58:00Z,54.00,48.00
2026-06-02T14:04:00Z,55.00,48.00
2026-06-02T14:07:00Z,55.00,48.00
2026-06-02T14:09:00Z,55.53,48.00
2026-06-02T14:11:00Z,55.00,48.00
2026-06-02T14:12:00Z,55.84,48.00
2026-06-02T14:14:00Z,55.52,44.66
2026-06-02T14:15:00Z,55.00,44.66
2026-06-02T14:19:00Z,55.98,47.00
2026-06-02T14:20:00Z,55.00,47.00
2026-06-02T14:21:00Z,55.00,47.00
2026-06-02T14:22:00Z,55.00,47.00
2026-06-02T14:23:00Z,53.75,47.00
2026-06-02T14:24:00Z,53.02,50.75
2026-06-02T14:25:00Z,55.08,45.00
2026-06-02T14:26:00Z,57.09,43.54
2026-06-02T14:27:00Z,57.00,43.54
2026-06-02T14:28:00Z,56.25,44.20
2026-06-02T14:29:00Z,55.22,45.00
2026-06-02T14:30:00Z,52.26,48.00
2026-06-02T14:31:00Z,52.17,51.57
2026-06-02T14:32:00Z,44.06,55.92
2026-06-02T14:33:00Z,49.40,50.00
2026-06-02T14:34:00Z,51.86,48.60
2026-06-02T14:35:00Z,54.67,48.00
2026-06-02T14:36:00Z,54.91,46.99
2026-06-02T14:37:00Z,51.24,50.81
2026-06-02T14:38:00Z,47.69,53.00
2026-06-02T14:39:00Z,47.51,53.54
2026-06-02T14:40:00Z,46.36,53.00
2026-06-02T14:41:00Z,47.87,54.00
2026-06-02T14:42:00Z,47.23,53.30
2026-06-02T14:43:00Z,48.87,53.10
2026-06-02T14:44:00Z,46.29,54.03
2026-06-02T14:45:00Z,43.51,56.99
2026-06-02T14:46:00Z,44.55,56.64
2026-06-02T14:47:00Z,49.76,55.00
2026-06-02T14:48:00Z,46.81,53.55
2026-06-02T14:49:00Z,47.99,51.37
2026-06-02T14:50:00Z,44.96,56.75
2026-06-02T14:51:00Z,44.13,59.00
2026-06-02T14:52:00Z,40.33,61.60
2026-06-02T14:53:00Z,35.74,63.85
2026-06-02T14:54:00Z,29.16,70.05
2026-06-02T14:55:00Z,28.00,73.00
2026-06-02T14:56:00Z,27.21,74.54
2026-06-02T14:57:00Z,23.75,76.80
2026-06-02T14:58:00Z,23.20,76.00
2026-06-02T14:59:00Z,23.17,76.01
2026-06-02T15:00:00Z,22.06,77.00
