# event_ticker=KXATPCHALLENGERMATCH-26APR01DUCRUB
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=James Duckworth
# fav_player=Alan Fernando Rubio Fierros
# dog_player=James Duckworth
# kalshi_date=2026-04-01
timestamp,Alan Fernando Rubio Fierros,James Duckworth
2026-04-02T04:41:00Z,,99.00
2026-04-02T04:52:00Z,1.00,99.00
2026-04-02T04:56:00Z,1.00,99.00
2026-04-02T04:59:00Z,1.00,99.00
2026-04-02T05:06:00Z,1.00,99.00
2026-04-02T05:22:00Z,1.00,99.00
2026-04-02T06:15:00Z,1.00,99.00
2026-04-02T09:11:00Z,1.00,99.00
2026-04-02T09:35:00Z,1.00,99.00
2026-04-02T09:36:00Z,1.00,99.00
2026-04-02T09:56:00Z,1.00,99.00
2026-04-02T10:19:00Z,1.00,99.00
2026-04-02T11:20:00Z,1.00,99.00
2026-04-02T11:28:00Z,1.00,99.00
2026-04-02T11:50:00Z,1.00,99.00
2026-04-02T13:47:00Z,1.00,99.00
2026-04-02T13:50:00Z,1.00,99.00
2026-04-02T14:11:00Z,1.00,99.00
2026-04-02T15:21:00Z,1.96,99.00
2026-04-02T15:25:00Z,1.00,99.00
2026-04-02T15:31:00Z,1.08,99.00
2026-04-02T15:34:00Z,1.00,99.00
2026-04-02T15:35:00Z,1.00,99.00
2026-04-02T15:36:00Z,1.08,99.00
2026-04-02T15:37:00Z,1.00,99.00
2026-04-02T15:38:00Z,1.00,99.00
2026-04-02T15:39:00Z,1.00,99.00
2026-04-02T15:40:00Z,1.00,99.00
2026-04-02T15:41:00Z,1.00,99.00
2026-04-02T15:42:00Z,1.00,99.00
2026-04-02T15:43:00Z,1.00,99.00
2026-04-02T15:44:00Z,1.00,99.00
2026-04-02T15:45:00Z,1.00,99.00
2026-04-02T15:46:00Z,1.00,99.00
2026-04-02T15:47:00Z,1.00,99.00
2026-04-02T15:48:00Z,1.00,99.00
2026-04-02T15:49:00Z,1.00,99.00
2026-04-02T15:50:00Z,1.00,99.00
2026-04-02T15:51:00Z,1.00,99.00
2026-04-02T15:52:00Z,1.00,99.00
2026-04-02T15:53:00Z,1.00,99.00
2026-04-02T15:54:00Z,1.00,99.00
2026-04-02T15:55:00Z,1.00,99.00
2026-04-02T15:56:00Z,1.00,99.00
2026-04-02T15:57:00Z,1.00,99.00
2026-04-02T15:58:00Z,1.00,99.00
2026-04-02T15:59:00Z,1.00,99.00
2026-04-02T16:00:00Z,1.00,99.00
2026-04-02T16:01:00Z,1.00,99.00
2026-04-02T16:02:00Z,1.00,99.00
2026-04-02T16:03:00Z,1.00,99.00
2026-04-02T16:05:00Z,1.00,99.00
2026-04-02T16:06:00Z,1.00,99.00
2026-04-02T16:08:00Z,1.00,99.00
2026-04-02T16:13:00Z,1.00,99.00
2026-04-02T16:16:00Z,1.00,99.00
2026-04-02T16:17:00Z,1.00,99.00
2026-04-02T16:18:00Z,1.00,99.00
2026-04-02T16:22:00Z,1.00,99.00
2026-04-02T16:25:00Z,1.00,99.00
2026-04-02T16:33:00Z,1.00,99.00
2026-04-02T16:34:00Z,1.00,99.00
2026-04-02T16:35:00Z,1.00,99.00
2026-04-02T16:36:00Z,1.00,99.00
2026-04-02T16:38:00Z,1.00,99.00
2026-04-02T16:39:00Z,1.92,99.00
2026-04-02T16:42:00Z,1.00,99.00
2026-04-02T16:46:00Z,1.00,99.00
2026-04-02T16:47:00Z,2.00,99.00
2026-04-02T16:49:00Z,2.00,99.00
2026-04-02T16:55:00Z,2.00,99.00
2026-04-02T17:02:00Z,3.01,99.00
2026-04-02T17:03:00Z,3.01,99.00
2026-04-02T17:04:00Z,3.00,99.00
2026-04-02T17:05:00Z,1.00,99.00
2026-04-02T17:12:00Z,1.00,99.00
2026-04-02T17:14:00Z,1.00,99.00
2026-04-02T17:15:00Z,1.00,99.00
2026-04-02T17:18:00Z,1.00,99.00
2026-04-02T17:20:00Z,1.00,99.00
2026-04-02T17:22:00Z,1.00,99.00
2026-04-02T17:27:00Z,1.00,99.00
2026-04-02T17:33:00Z,1.00,99.00
2026-04-02T17:37:00Z,1.00,99.00
2026-04-02T17:42:00Z,1.00,99.00
