# event_ticker=KXATPCHALLENGERMATCH-26APR07BLAROC
# final_score=6-1 6-4
# match_winner=Oriol Roca Batalla
# fav_player=Oriol Roca Batalla
# dog_player=Ugo Blanchet
# kalshi_date=2026-04-07
timestamp,Oriol Roca Batalla,Ugo Blanchet
2026-04-07T03:58:00Z,38.00,78.00
2026-04-07T03:59:00Z,38.00,75.00
2026-04-07T04:08:00Z,43.00,75.00
2026-04-07T04:09:00Z,38.00,75.00
2026-04-07T04:29:00Z,38.00,80.00
2026-04-07T04:31:00Z,38.00,80.00
2026-04-07T04:37:00Z,38.00,65.00
2026-04-07T04:40:00Z,38.00,61.00
2026-04-07T04:52:00Z,38.06,61.00
2026-04-07T07:25:00Z,38.06,61.00
2026-04-07T07:28:00Z,38.06,59.13
2026-04-07T08:28:00Z,38.06,60.00
2026-04-07T08:32:00Z,38.06,60.00
2026-04-07T08:54:00Z,43.00,60.00
2026-04-07T08:56:00Z,43.00,60.00
2026-04-07T09:53:00Z,34.57,64.89
2026-04-07T10:02:00Z,38.00,65.00
2026-04-07T10:06:00Z,41.25,65.00
2026-04-07T10:14:00Z,38.42,61.17
2026-04-07T10:15:00Z,38.42,63.33
2026-04-07T10:18:00Z,42.27,57.64
2026-04-07T10:19:00Z,46.37,57.00
2026-04-07T10:20:00Z,46.37,62.75
2026-04-07T10:21:00Z,44.00,57.00
2026-04-07T10:22:00Z,46.00,55.63
2026-04-07T10:23:00Z,53.50,55.63
2026-04-07T10:24:00Z,53.50,40.92
2026-04-07T10:25:00Z,56.03,42.88
2026-04-07T10:26:00Z,49.00,46.00
2026-04-07T10:27:00Z,50.78,46.00
2026-04-07T10:28:00Z,58.25,43.74
2026-04-07T10:29:00Z,51.81,43.74
2026-04-07T10:30:00Z,55.92,43.74
2026-04-07T10:31:00Z,53.00,50.82
2026-04-07T10:32:00Z,51.95,50.82
2026-04-07T10:36:00Z,54.00,50.82
2026-04-07T10:37:00Z,54.00,45.00
2026-04-07T10:38:00Z,54.00,48.00
2026-04-07T10:40:00Z,61.74,46.21
2026-04-07T10:44:00Z,70.32,34.00
2026-04-07T10:46:00Z,71.00,34.00
2026-04-07T10:47:00Z,71.00,30.00
2026-04-07T10:48:00Z,71.00,28.00
2026-04-07T10:49:00Z,72.00,26.00
2026-04-07T10:50:00Z,72.00,26.97
2026-04-07T10:51:00Z,72.00,27.00
2026-04-07T10:52:00Z,74.00,27.00
2026-04-07T10:53:00Z,74.00,27.00
2026-04-07T10:54:00Z,72.00,27.00
2026-04-07T10:55:00Z,73.00,27.00
2026-04-07T10:56:00Z,73.00,27.00
2026-04-07T10:57:00Z,73.00,27.82
2026-04-07T10:58:00Z,83.84,22.00
2026-04-07T10:59:00Z,92.00,20.38
2026-04-07T11:00:00Z,92.00,17.41
2026-04-07T11:01:00Z,86.00,15.20
2026-04-07T11:02:00Z,87.57,14.68
2026-04-07T11:03:00Z,87.57,20.15
2026-04-07T11:04:00Z,87.26,12.35
2026-04-07T11:05:00Z,87.26,15.94
2026-04-07T11:06:00Z,84.62,14.57
2026-04-07T11:07:00Z,84.62,17.05
2026-04-07T11:08:00Z,79.15,21.05
2026-04-07T11:09:00Z,82.60,18.38
2026-04-07T11:10:00Z,79.94,23.33
2026-04-07T11:11:00Z,90.63,10.01
2026-04-07T11:12:00Z,90.63,8.37
2026-04-07T11:13:00Z,89.00,12.52
2026-04-07T11:14:00Z,89.00,13.00
2026-04-07T11:15:00Z,89.00,13.85
2026-04-07T11:16:00Z,89.13,13.20
2026-04-07T11:17:00Z,89.12,6.09
2026-04-07T11:18:00Z,94.90,9.00
2026-04-07T11:19:00Z,94.00,9.00
2026-04-07T11:20:00Z,96.29,2.99
2026-04-07T11:21:00Z,98.49,1.46
2026-04-07T11:22:00Z,97.98,1.00
2026-04-07T11:23:00Z,98.67,3.99
2026-04-07T11:24:00Z,91.95,9.11
2026-04-07T11:25:00Z,99.00,1.10
2026-04-07T11:26:00Z,99.00,1.51
2026-04-07T11:27:00Z,99.00,4.52
2026-04-07T11:28:00Z,99.00,5.43
2026-04-07T11:29:00Z,94.01,5.99
2026-04-07T11:30:00Z,95.00,6.97
2026-04-07T11:31:00Z,95.52,7.29
2026-04-07T11:32:00Z,97.72,2.18
2026-04-07T11:33:00Z,98.93,1.08
2026-04-07T11:34:00Z,99.00,1.08
