# event_ticker=KXATPMATCH-26MAY17MAJUGO
# final_score=1-6 6-2 6-3
# match_winner=Camilo Ugo Carabelli
# fav_player=Camilo Ugo Carabelli
# dog_player=Kamil Majchrzak
# kalshi_date=2026-05-17
timestamp,Kamil Majchrzak,Camilo Ugo Carabelli
2026-05-17T23:08:00Z,,64.00
2026-05-17T23:23:00Z,37.00,64.00
2026-05-17T23:57:00Z,37.00,64.00
2026-05-17T23:58:00Z,37.00,64.00
2026-05-18T00:07:00Z,37.00,64.00
2026-05-18T00:38:00Z,37.00,64.00
2026-05-18T01:28:00Z,37.00,64.00
2026-05-18T01:45:00Z,37.00,64.00
2026-05-18T02:16:00Z,37.00,64.00
2026-05-18T02:52:00Z,37.00,64.00
2026-05-18T02:54:00Z,37.00,64.00
2026-05-18T03:06:00Z,37.00,64.00
2026-05-18T03:07:00Z,37.00,64.00
2026-05-18T03:14:00Z,37.00,64.00
2026-05-18T03:18:00Z,37.00,65.00
2026-05-18T03:23:00Z,37.00,65.00
2026-05-18T03:24:00Z,37.00,65.00
2026-05-18T03:28:00Z,36.00,65.00
2026-05-18T03:30:00Z,35.00,65.00
2026-05-18T03:32:00Z,35.00,65.00
2026-05-18T03:51:00Z,35.00,65.00
2026-05-18T03:55:00Z,35.00,65.00
2026-05-18T03:56:00Z,35.00,65.00
2026-05-18T04:02:00Z,35.00,65.00
2026-05-18T04:10:00Z,35.00,65.00
2026-05-18T04:12:00Z,36.00,65.00
2026-05-18T04:28:00Z,36.00,65.00
2026-05-18T04:29:00Z,36.00,65.00
2026-05-18T04:41:00Z,36.00,65.00
2026-05-18T04:54:00Z,36.00,65.00
2026-05-18T04:55:00Z,36.00,65.00
2026-05-18T04:56:00Z,36.00,65.00
2026-05-18T05:07:00Z,36.00,65.00
2026-05-18T05:17:00Z,36.00,66.00
2026-05-18T05:21:00Z,36.00,66.00
2026-05-18T05:23:00Z,36.00,66.00
2026-05-18T05:24:00Z,36.00,66.00
2026-05-18T05:27:00Z,36.00,66.00
2026-05-18T05:33:00Z,36.00,66.00
2026-05-18T05:34:00Z,36.00,66.00
2026-05-18T05:36:00Z,36.00,66.00
2026-05-18T05:39:00Z,36.00,66.00
2026-05-18T05:43:00Z,36.00,66.00
2026-05-18T05:48:00Z,36.00,66.00
2026-05-18T06:11:00Z,36.00,66.00
2026-05-18T06:28:00Z,36.00,66.00
2026-05-18T06:29:00Z,36.00,66.00
2026-05-18T06:50:00Z,36.00,66.00
2026-05-18T07:10:00Z,36.00,66.00
2026-05-18T07:23:00Z,35.00,66.00
2026-05-18T07:25:00Z,34.00,66.00
2026-05-18T07:29:00Z,34.00,66.00
2026-05-18T08:12:00Z,35.00,66.00
2026-05-18T08:26:00Z,35.00,66.00
2026-05-18T08:33:00Z,35.00,66.69
2026-05-18T09:49:00Z,35.00,67.00
2026-05-18T10:02:00Z,35.00,67.00
