# event_ticker=KXATPCHALLENGERMATCH-26APR28ORLPOL
# final_score=6-2 2-6 6-4
# score_resolution=2-6 6-2 4-6
# match_winner=Mili Poljicak
# fav_player=Vladyslav Orlov
# dog_player=Mili Poljicak
# kalshi_date=2026-04-28
timestamp,Vladyslav Orlov,Mili Poljicak
2026-04-27T19:21:00Z,25.00,
2026-04-27T20:04:00Z,17.00,
2026-04-27T20:06:00Z,17.00,
2026-04-27T21:10:00Z,16.00,
2026-04-27T21:31:00Z,16.00,83.00
2026-04-27T21:38:00Z,16.00,84.00
2026-04-27T23:14:00Z,16.00,82.00
2026-04-28T00:37:00Z,19.00,82.00
2026-04-28T00:47:00Z,19.00,82.00
2026-04-28T00:55:00Z,19.00,82.00
2026-04-28T02:08:00Z,19.00,82.00
2026-04-28T02:29:00Z,18.00,82.00
2026-04-28T03:12:00Z,18.00,82.00
2026-04-28T03:43:00Z,18.00,82.00
2026-04-28T04:01:00Z,18.00,83.00
2026-04-28T04:19:00Z,19.00,83.00
2026-04-28T04:58:00Z,19.00,83.00
2026-04-28T05:06:00Z,19.00,82.00
2026-04-28T05:15:00Z,19.00,80.00
2026-04-28T05:28:00Z,19.00,82.00
2026-04-28T05:40:00Z,19.00,82.00
2026-04-28T05:43:00Z,19.00,81.00
2026-04-28T05:45:00Z,19.00,81.00
2026-04-28T05:49:00Z,19.00,82.00
2026-04-28T05:50:00Z,19.00,82.00
2026-04-28T05:51:00Z,19.22,82.00
2026-04-28T05:52:00Z,19.22,82.00
2026-04-28T05:53:00Z,20.00,82.00
2026-04-28T05:54:00Z,20.00,82.00
2026-04-28T05:56:00Z,21.19,82.00
2026-04-28T05:57:00Z,21.19,82.00
2026-04-28T05:59:00Z,21.00,82.00
2026-04-28T06:00:00Z,23.02,82.00
2026-04-28T06:01:00Z,21.00,82.00
2026-04-28T06:02:00Z,21.00,80.00
2026-04-28T06:03:00Z,21.00,80.00
2026-04-28T06:04:00Z,21.94,79.00
2026-04-28T06:05:00Z,21.00,80.00
2026-04-28T06:07:00Z,21.00,81.32
2026-04-28T06:08:00Z,18.80,83.46
2026-04-28T06:09:00Z,15.63,85.12
2026-04-28T06:10:00Z,16.52,85.29
2026-04-28T06:11:00Z,17.82,84.00
2026-04-28T06:12:00Z,16.92,84.00
2026-04-28T06:13:00Z,18.02,85.87
2026-04-28T06:14:00Z,20.56,79.92
2026-04-28T06:15:00Z,23.00,78.73
2026-04-28T06:16:00Z,22.00,78.73
2026-04-28T06:19:00Z,23.67,78.73
2026-04-28T06:20:00Z,15.68,84.10
2026-04-28T06:21:00Z,10.87,87.27
2026-04-28T06:22:00Z,15.62,84.67
2026-04-28T06:23:00Z,12.40,88.12
2026-04-28T06:24:00Z,11.95,90.62
2026-04-28T06:25:00Z,10.23,90.62
2026-04-28T06:26:00Z,10.97,89.93
2026-04-28T06:27:00Z,11.33,89.93
2026-04-28T06:28:00Z,12.00,91.00
2026-04-28T06:29:00Z,9.31,92.00
2026-04-28T06:30:00Z,10.00,92.00
2026-04-28T06:31:00Z,10.00,92.95
2026-04-28T06:32:00Z,9.63,93.00
2026-04-28T06:33:00Z,9.49,91.11
2026-04-28T06:34:00Z,9.87,91.64
2026-04-28T06:35:00Z,12.01,88.63
2026-04-28T06:36:00Z,13.00,89.68
2026-04-28T06:37:00Z,14.17,87.00
2026-04-28T06:38:00Z,11.39,88.13
2026-04-28T06:39:00Z,12.12,93.33
2026-04-28T06:40:00Z,13.00,89.00
2026-04-28T06:41:00Z,11.26,90.34
2026-04-28T06:42:00Z,7.14,91.87
2026-04-28T06:43:00Z,7.43,91.87
2026-04-28T06:44:00Z,9.27,93.00
2026-04-28T06:45:00Z,8.09,93.00
2026-04-28T06:46:00Z,9.00,92.69
2026-04-28T06:47:00Z,9.52,93.00
2026-04-28T06:48:00Z,9.00,93.00
2026-04-28T06:49:00Z,9.00,93.00
2026-04-28T06:50:00Z,7.41,93.00
2026-04-28T06:51:00Z,10.10,92.00
2026-04-28T06:52:00Z,10.39,90.85
2026-04-28T06:53:00Z,12.90,88.58
2026-04-28T06:54:00Z,15.13,87.23
2026-04-28T06:55:00Z,12.91,88.91
2026-04-28T06:56:00Z,12.12,89.04
2026-04-28T06:57:00Z,13.18,89.03
2026-04-28T06:58:00Z,11.75,88.12
2026-04-28T06:59:00Z,8.71,91.72
2026-04-28T07:00:00Z,7.92,92.51
2026-04-28T07:01:00Z,7.46,93.70
2026-04-28T07:02:00Z,7.26,95.27
2026-04-28T07:03:00Z,6.75,95.00
2026-04-28T07:04:00Z,8.10,93.38
2026-04-28T07:05:00Z,9.10,92.99
2026-04-28T07:06:00Z,11.58,90.00
2026-04-28T07:07:00Z,15.52,85.25
2026-04-28T07:08:00Z,19.92,83.25
2026-04-28T07:09:00Z,20.95,81.11
2026-04-28T07:10:00Z,21.30,81.94
2026-04-28T07:11:00Z,23.23,80.14
2026-04-28T07:12:00Z,25.65,75.08
2026-04-28T07:13:00Z,26.74,73.83
2026-04-28T07:14:00Z,26.80,73.34
2026-04-28T07:15:00Z,28.98,72.53
2026-04-28T07:16:00Z,31.63,69.05
2026-04-28T07:17:00Z,33.37,67.84
2026-04-28T07:18:00Z,34.01,66.78
2026-04-28T07:19:00Z,33.11,70.40
2026-04-28T07:20:00Z,31.75,69.59
2026-04-28T07:21:00Z,29.41,71.00
2026-04-28T07:22:00Z,34.07,69.05
2026-04-28T07:23:00Z,34.22,66.01
2026-04-28T07:24:00Z,37.91,60.44
2026-04-28T07:25:00Z,35.54,65.99
2026-04-28T07:26:00Z,33.19,66.99
2026-04-28T07:27:00Z,33.92,67.54
2026-04-28T07:28:00Z,36.70,68.21
2026-04-28T07:29:00Z,39.11,62.57
2026-04-28T07:30:00Z,43.52,61.27
2026-04-28T07:31:00Z,35.42,66.81
2026-04-28T07:32:00Z,27.68,73.94
2026-04-28T07:33:00Z,29.35,73.25
2026-04-28T07:34:00Z,30.26,71.05
2026-04-28T07:35:00Z,31.72,69.80
2026-04-28T07:36:00Z,31.23,70.83
2026-04-28T07:37:00Z,40.10,65.95
2026-04-28T07:38:00Z,48.95,45.41
2026-04-28T07:39:00Z,68.31,30.19
2026-04-28T07:40:00Z,70.37,30.84
2026-04-28T07:41:00Z,67.13,33.56
2026-04-28T07:42:00Z,59.13,40.00
2026-04-28T07:43:00Z,47.68,52.35
2026-04-28T07:44:00Z,44.18,59.06
