# event_ticker=KXATPMATCH-26APR01BENHAN
# final_score=6-4 6-7(3) 6-2
# score_resolution=6-4 6-7 6-2
# match_winner=Yannick Hanfmann
# fav_player=Yannick Hanfmann
# dog_player=Karim Bennani
# kalshi_date=2026-04-01
timestamp,Yannick Hanfmann,Karim Bennani
2026-04-01T03:54:00Z,,9.00
2026-04-01T03:57:00Z,,12.00
2026-04-01T04:08:00Z,92.00,12.00
2026-04-01T04:22:00Z,92.00,12.00
2026-04-01T04:36:00Z,92.00,11.00
2026-04-01T04:41:00Z,92.00,11.00
2026-04-01T04:47:00Z,92.00,11.00
2026-04-01T04:55:00Z,92.00,11.00
2026-04-01T04:58:00Z,92.00,11.00
2026-04-01T05:03:00Z,92.00,11.00
2026-04-01T05:07:00Z,91.03,10.00
2026-04-01T05:13:00Z,91.00,10.00
2026-04-01T05:18:00Z,91.00,10.00
2026-04-01T05:31:00Z,92.00,10.00
2026-04-01T05:35:00Z,92.00,10.60
2026-04-01T05:38:00Z,92.00,10.00
2026-04-01T05:45:00Z,92.00,10.00
2026-04-01T05:47:00Z,92.00,10.00
2026-04-01T06:01:00Z,92.00,10.00
2026-04-01T06:07:00Z,92.00,10.00
2026-04-01T06:12:00Z,92.00,10.00
2026-04-01T06:14:00Z,92.00,10.00
2026-04-01T06:25:00Z,92.00,10.00
2026-04-01T06:26:00Z,92.00,10.00
2026-04-01T06:33:00Z,92.00,10.00
2026-04-01T06:46:00Z,92.00,10.00
2026-04-01T06:47:00Z,92.00,10.00
2026-04-01T07:21:00Z,92.00,10.00
2026-04-01T07:22:00Z,92.00,10.00
2026-04-01T07:24:00Z,92.00,10.00
2026-04-01T07:27:00Z,92.00,10.00
2026-04-01T07:47:00Z,92.00,10.00
2026-04-01T07:58:00Z,92.00,10.00
2026-04-01T09:28:00Z,91.73,8.42
2026-04-01T09:33:00Z,92.00,8.42
2026-04-01T09:39:00Z,92.00,8.42
2026-04-01T09:59:00Z,92.00,8.00
2026-04-01T10:33:00Z,92.00,8.00
2026-04-01T10:39:00Z,92.00,8.00
2026-04-01T11:04:00Z,91.00,8.00
2026-04-01T11:07:00Z,91.00,8.00
2026-04-01T11:28:00Z,91.00,8.00
2026-04-01T11:45:00Z,91.00,8.00
2026-04-01T11:50:00Z,92.00,8.00
2026-04-01T11:53:00Z,92.00,8.00
2026-04-01T11:54:00Z,92.00,9.00
2026-04-01T11:56:00Z,92.00,9.12
2026-04-01T11:57:00Z,92.00,9.00
2026-04-01T12:00:00Z,92.00,9.00
2026-04-01T12:03:00Z,92.00,9.00
2026-04-01T12:04:00Z,92.00,9.00
2026-04-01T12:06:00Z,92.00,9.00
2026-04-01T12:11:00Z,92.00,9.00
2026-04-01T12:17:00Z,92.00,9.00
2026-04-01T12:26:00Z,92.00,9.00
2026-04-01T12:28:00Z,92.00,9.00
2026-04-01T12:29:00Z,92.00,9.00
2026-04-01T12:30:00Z,92.00,8.00
2026-04-01T12:35:00Z,92.00,9.00
2026-04-01T12:39:00Z,92.00,9.00
2026-04-01T12:42:00Z,92.00,8.00
2026-04-01T12:43:00Z,92.00,8.00
2026-04-01T12:44:00Z,92.00,8.00
2026-04-01T12:45:00Z,92.00,8.97
2026-04-01T12:49:00Z,93.00,8.00
2026-04-01T12:50:00Z,93.00,8.00
