# event_ticker=KXATPMATCH-25JUL17FICKOV
# final_score=6-3 6-1
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Juan Pablo Ficovich
# kalshi_date=2025-07-17
timestamp,Aleksandar Kovacevic,Juan Pablo Ficovich
2025-07-17T18:22:00Z,,34.00
2025-07-17T18:36:00Z,67.00,34.00
2025-07-17T18:43:00Z,67.00,34.00
2025-07-17T18:50:00Z,68.00,34.00
2025-07-17T19:31:00Z,68.22,33.00
2025-07-17T19:39:00Z,68.00,33.00
2025-07-17T19:40:00Z,68.00,33.00
2025-07-17T19:47:00Z,68.00,33.00
2025-07-17T19:50:00Z,68.68,33.00
2025-07-17T19:55:00Z,68.68,33.00
2025-07-17T20:01:00Z,69.00,33.00
2025-07-17T20:07:00Z,69.00,33.00
2025-07-17T20:23:00Z,69.00,33.00
2025-07-17T20:28:00Z,69.00,33.00
2025-07-17T20:31:00Z,66.00,33.00
2025-07-17T20:32:00Z,69.00,33.00
2025-07-17T20:35:00Z,69.00,33.00
2025-07-17T20:46:00Z,69.00,33.00
2025-07-17T20:49:00Z,69.00,33.00
2025-07-17T20:58:00Z,66.00,33.00
2025-07-17T21:04:00Z,69.00,33.00
2025-07-17T21:08:00Z,69.00,33.00
2025-07-17T21:20:00Z,69.00,33.00
2025-07-17T21:30:00Z,69.00,33.00
2025-07-17T21:34:00Z,69.00,33.00
2025-07-17T21:37:00Z,69.00,33.00
2025-07-17T21:41:00Z,69.00,33.00
2025-07-17T21:43:00Z,69.00,32.00
2025-07-17T21:54:00Z,69.86,32.00
2025-07-17T21:55:00Z,69.86,32.00
2025-07-17T21:58:00Z,70.00,32.00
2025-07-17T22:10:00Z,70.00,32.00
2025-07-17T22:11:00Z,70.00,32.00
2025-07-17T22:24:00Z,70.00,32.00
2025-07-17T22:31:00Z,70.00,32.00
2025-07-17T22:32:00Z,69.00,32.00
2025-07-17T22:43:00Z,69.00,32.00
2025-07-17T22:46:00Z,69.00,32.00
2025-07-17T23:08:00Z,70.00,32.00
2025-07-17T23:09:00Z,70.00,32.00
2025-07-17T23:19:00Z,69.00,32.00
2025-07-17T23:42:00Z,69.00,33.00
