# event_ticker=KXATPCHALLENGERMATCH-26MAY05SANWON
# final_score=6-4 6-2
# match_winner=Akira Santillan
# fav_player=Akira Santillan
# dog_player=Coleman Wong
# kalshi_date=2026-05-05
timestamp,Akira Santillan,Coleman Wong
2026-05-04T23:19:00Z,,85.00
2026-05-04T23:20:00Z,,83.00
2026-05-04T23:28:00Z,,83.00
2026-05-04T23:36:00Z,,84.95
2026-05-05T00:17:00Z,18.00,84.95
2026-05-05T00:18:00Z,18.00,84.95
2026-05-05T00:37:00Z,18.00,84.95
2026-05-05T01:31:00Z,18.00,85.00
2026-05-05T03:17:00Z,18.00,83.03
2026-05-05T03:35:00Z,18.00,84.00
2026-05-05T04:18:00Z,18.00,85.00
2026-05-05T04:19:00Z,18.00,85.00
2026-05-05T04:34:00Z,18.00,83.75
2026-05-05T04:35:00Z,17.00,83.75
2026-05-05T04:39:00Z,17.00,83.00
2026-05-05T04:40:00Z,17.00,85.00
2026-05-05T04:44:00Z,17.00,83.00
2026-05-05T04:55:00Z,16.00,83.00
2026-05-05T05:00:00Z,17.00,83.00
2026-05-05T05:06:00Z,17.00,83.00
2026-05-05T05:15:00Z,17.00,83.00
2026-05-05T05:16:00Z,17.00,83.00
2026-05-05T06:02:00Z,17.00,85.00
2026-05-05T06:10:00Z,17.00,85.00
2026-05-05T06:25:00Z,17.00,85.00
2026-05-05T06:46:00Z,17.00,85.00
2026-05-05T06:57:00Z,17.00,85.00
2026-05-05T07:10:00Z,17.00,85.00
2026-05-05T07:32:00Z,17.00,85.00
2026-05-05T07:45:00Z,17.00,85.00
2026-05-05T08:06:00Z,17.00,85.00
2026-05-05T08:12:00Z,17.00,84.00
2026-05-05T09:28:00Z,17.00,85.97
2026-05-05T09:37:00Z,17.00,85.78
2026-05-05T09:42:00Z,17.00,84.00
2026-05-05T10:00:00Z,16.00,84.00
2026-05-05T10:03:00Z,15.00,84.00
2026-05-05T10:04:00Z,15.00,84.00
2026-05-05T10:08:00Z,15.00,88.11
2026-05-05T10:09:00Z,15.00,88.11
2026-05-05T10:10:00Z,15.00,89.00
2026-05-05T10:12:00Z,13.48,89.00
2026-05-05T10:13:00Z,14.34,87.00
2026-05-05T10:15:00Z,14.00,88.00
2026-05-05T10:17:00Z,17.00,83.87
2026-05-05T10:18:00Z,23.02,76.42
2026-05-05T10:19:00Z,26.91,73.00
2026-05-05T10:20:00Z,28.59,73.22
2026-05-05T10:21:00Z,32.00,67.00
2026-05-05T10:22:00Z,32.00,68.92
2026-05-05T10:23:00Z,31.00,70.00
2026-05-05T10:24:00Z,31.00,71.00
2026-05-05T10:25:00Z,32.41,71.00
2026-05-05T10:26:00Z,31.61,68.25
2026-05-05T10:28:00Z,34.18,68.25
2026-05-05T10:29:00Z,35.00,67.00
2026-05-05T10:30:00Z,34.78,67.98
2026-05-05T10:31:00Z,33.00,68.07
2026-05-05T10:32:00Z,29.00,69.00
2026-05-05T10:33:00Z,30.14,71.00
2026-05-05T10:34:00Z,38.00,64.74
2026-05-05T10:35:00Z,38.00,62.00
2026-05-05T10:36:00Z,37.24,62.00
2026-05-05T10:37:00Z,38.00,62.00
2026-05-05T10:38:00Z,39.52,61.26
2026-05-05T10:39:00Z,40.33,58.69
2026-05-05T10:40:00Z,44.45,56.00
2026-05-05T10:41:00Z,45.00,56.00
2026-05-05T10:42:00Z,45.18,53.39
2026-05-05T10:43:00Z,49.19,53.00
2026-05-05T10:44:00Z,53.65,48.75
2026-05-05T10:45:00Z,54.43,46.33
2026-05-05T10:46:00Z,62.51,39.89
2026-05-05T10:47:00Z,62.23,37.45
2026-05-05T10:48:00Z,62.95,37.21
2026-05-05T10:49:00Z,64.10,41.59
2026-05-05T10:50:00Z,66.01,36.83
2026-05-05T10:51:00Z,61.42,41.51
2026-05-05T10:52:00Z,60.57,40.79
2026-05-05T10:53:00Z,70.97,30.00
2026-05-05T10:54:00Z,66.98,31.93
2026-05-05T10:55:00Z,66.95,34.00
2026-05-05T10:56:00Z,69.15,34.00
2026-05-05T10:57:00Z,72.39,29.00
2026-05-05T10:58:00Z,75.37,24.72
2026-05-05T10:59:00Z,74.05,26.90
2026-05-05T11:00:00Z,75.70,24.06
2026-05-05T11:01:00Z,80.42,20.17
2026-05-05T11:02:00Z,88.16,11.92
2026-05-05T11:03:00Z,91.05,9.56
2026-05-05T11:04:00Z,94.27,6.27
2026-05-05T11:05:00Z,95.84,5.62
2026-05-05T11:06:00Z,92.43,8.56
2026-05-05T11:07:00Z,89.01,9.00
2026-05-05T11:08:00Z,92.54,5.62
2026-05-05T11:09:00Z,97.74,3.84
2026-05-05T11:10:00Z,97.04,2.00
2026-05-05T11:11:00Z,99.00,2.00
2026-05-05T11:12:00Z,98.88,2.80
2026-05-05T11:13:00Z,98.00,3.00
2026-05-05T11:14:00Z,98.55,1.18
2026-05-05T11:15:00Z,98.60,2.00
2026-05-05T11:16:00Z,99.00,2.00
2026-05-05T11:17:00Z,98.38,2.01
2026-05-05T11:18:00Z,97.81,1.00
2026-05-05T11:19:00Z,99.00,1.00
2026-05-05T11:20:00Z,99.00,1.00
