# event_ticker=KXATPCHALLENGERMATCH-26APR09SCHSAF
# final_score=6-3 6-4
# match_winner=Joel Schwaerzler
# fav_player=Joel Schwaerzler
# dog_player=Roman Safiullin
# kalshi_date=2026-04-09
timestamp,Joel Schwaerzler,Roman Safiullin
2026-04-09T04:08:00Z,43.00,
2026-04-09T04:36:00Z,44.00,
2026-04-09T04:41:00Z,44.00,
2026-04-09T05:24:00Z,44.00,
2026-04-09T05:31:00Z,44.00,
2026-04-09T05:34:00Z,44.00,
2026-04-09T05:46:00Z,44.00,
2026-04-09T05:57:00Z,44.00,59.00
2026-04-09T09:02:00Z,43.00,59.00
2026-04-09T09:22:00Z,42.00,59.00
2026-04-09T09:25:00Z,42.00,59.00
2026-04-09T10:04:00Z,42.00,59.00
2026-04-09T10:15:00Z,42.00,59.00
2026-04-09T10:16:00Z,42.00,59.00
2026-04-09T10:33:00Z,42.00,59.00
2026-04-09T10:36:00Z,42.00,59.00
2026-04-09T10:43:00Z,42.00,59.00
2026-04-09T11:34:00Z,42.00,59.00
2026-04-09T11:37:00Z,42.00,59.00
2026-04-09T11:41:00Z,42.00,59.00
2026-04-09T12:04:00Z,42.00,59.00
2026-04-09T12:09:00Z,42.00,61.00
2026-04-09T12:18:00Z,42.00,61.00
2026-04-09T12:26:00Z,42.00,61.00
2026-04-09T12:32:00Z,42.00,61.00
2026-04-09T12:33:00Z,41.00,61.00
2026-04-09T12:57:00Z,41.00,61.00
2026-04-09T12:58:00Z,41.00,61.00
2026-04-09T13:02:00Z,41.00,61.00
2026-04-09T13:03:00Z,41.00,61.00
2026-04-09T13:14:00Z,38.93,61.00
2026-04-09T13:16:00Z,38.93,61.00
2026-04-09T13:19:00Z,38.93,61.00
2026-04-09T13:29:00Z,40.00,61.00
2026-04-09T13:37:00Z,40.00,61.00
2026-04-09T13:51:00Z,40.00,61.00
2026-04-09T13:53:00Z,40.00,61.00
2026-04-09T13:58:00Z,40.00,61.00
2026-04-09T13:59:00Z,40.00,61.00
2026-04-09T14:00:00Z,40.00,61.00
2026-04-09T14:02:00Z,40.00,61.00
2026-04-09T14:05:00Z,40.00,61.00
2026-04-09T14:14:00Z,40.00,61.00
2026-04-09T14:15:00Z,41.26,61.00
2026-04-09T14:16:00Z,41.26,61.00
2026-04-09T14:17:00Z,41.95,61.00
2026-04-09T14:19:00Z,41.95,61.00
2026-04-09T14:21:00Z,42.00,61.00
