# event_ticker=KXATPCHALLENGERMATCH-26MAY12DJEHEI
# final_score=6-2 6-2
# match_winner=Laslo Djere
# fav_player=Laslo Djere
# dog_player=Gustavo Heide
# kalshi_date=2026-05-12
timestamp,Laslo Djere,Gustavo Heide
2026-05-12T03:10:00Z,63.00,
2026-05-12T03:58:00Z,58.00,
2026-05-12T04:39:00Z,57.00,
2026-05-12T05:22:00Z,59.00,
2026-05-12T05:37:00Z,58.00,
2026-05-12T06:04:00Z,58.00,43.00
2026-05-12T07:48:00Z,58.00,44.00
2026-05-12T07:50:00Z,57.00,44.00
2026-05-12T09:36:00Z,57.00,44.00
2026-05-12T11:31:00Z,55.00,45.00
2026-05-12T11:46:00Z,55.00,46.00
2026-05-12T11:59:00Z,55.00,46.00
2026-05-12T12:07:00Z,55.00,46.00
2026-05-12T12:15:00Z,55.00,46.00
2026-05-12T12:55:00Z,55.00,47.67
2026-05-12T12:56:00Z,55.00,47.67
2026-05-12T12:59:00Z,55.00,47.00
2026-05-12T13:06:00Z,55.00,47.83
2026-05-12T13:21:00Z,54.00,49.00
2026-05-12T13:22:00Z,51.10,46.00
2026-05-12T13:32:00Z,53.00,46.00
2026-05-12T13:43:00Z,53.00,46.00
2026-05-12T13:45:00Z,51.00,46.00
2026-05-12T13:48:00Z,53.00,46.00
2026-05-12T13:49:00Z,53.00,49.00
2026-05-12T13:53:00Z,54.00,49.00
2026-05-12T13:54:00Z,54.00,49.00
2026-05-12T13:55:00Z,54.00,49.00
2026-05-12T14:02:00Z,53.00,49.00
2026-05-12T14:09:00Z,53.00,50.00
2026-05-12T14:11:00Z,53.00,50.00
2026-05-12T14:12:00Z,54.00,50.00
2026-05-12T14:13:00Z,53.00,50.00
2026-05-12T14:16:00Z,53.95,50.00
2026-05-12T14:20:00Z,53.95,50.00
2026-05-12T14:21:00Z,53.00,50.00
2026-05-12T14:22:00Z,53.00,50.00
2026-05-12T14:24:00Z,53.00,50.00
2026-05-12T14:25:00Z,53.09,50.00
2026-05-12T14:26:00Z,53.57,46.11
2026-05-12T14:27:00Z,53.57,48.91
2026-05-12T14:28:00Z,52.00,47.02
2026-05-12T14:29:00Z,57.58,43.97
2026-05-12T14:30:00Z,54.33,48.52
2026-05-12T14:31:00Z,53.68,45.00
2026-05-12T14:32:00Z,51.33,49.84
2026-05-12T14:33:00Z,53.00,48.00
2026-05-12T14:34:00Z,55.00,48.34
2026-05-12T14:35:00Z,50.39,51.00
2026-05-12T14:36:00Z,54.69,51.00
2026-05-12T14:37:00Z,55.00,46.30
2026-05-12T14:38:00Z,54.53,46.62
2026-05-12T14:39:00Z,51.01,49.00
2026-05-12T14:40:00Z,50.66,49.00
2026-05-12T14:41:00Z,51.05,50.00
2026-05-12T14:42:00Z,51.00,51.00
2026-05-12T14:43:00Z,53.15,48.95
2026-05-12T14:44:00Z,46.20,52.86
2026-05-12T14:45:00Z,42.20,58.89
2026-05-12T14:46:00Z,46.72,54.00
2026-05-12T14:47:00Z,50.27,49.00
2026-05-12T14:48:00Z,50.06,52.78
2026-05-12T14:49:00Z,54.18,48.05
2026-05-12T14:50:00Z,62.20,41.48
2026-05-12T14:51:00Z,67.17,33.09
2026-05-12T14:52:00Z,69.00,33.00
2026-05-12T14:53:00Z,64.92,33.87
2026-05-12T14:54:00Z,64.32,38.40
2026-05-12T14:55:00Z,58.83,45.64
2026-05-12T14:56:00Z,61.78,40.22
2026-05-12T14:57:00Z,69.68,30.56
2026-05-12T14:58:00Z,72.83,26.73
2026-05-12T14:59:00Z,75.19,25.39
2026-05-12T15:00:00Z,76.33,24.15
2026-05-12T15:01:00Z,77.67,21.59
2026-05-12T15:02:00Z,78.03,22.00
2026-05-12T15:03:00Z,80.01,19.97
2026-05-12T15:04:00Z,79.05,21.00
2026-05-12T15:05:00Z,79.45,22.00
2026-05-12T15:06:00Z,81.00,20.00
2026-05-12T15:07:00Z,80.53,20.00
2026-05-12T15:08:00Z,80.99,20.28
2026-05-12T15:09:00Z,79.79,21.57
2026-05-12T15:10:00Z,81.07,22.12
2026-05-12T15:11:00Z,80.00,21.98
2026-05-12T15:12:00Z,77.00,23.28
2026-05-12T15:13:00Z,77.79,24.00
2026-05-12T15:14:00Z,77.02,22.36
2026-05-12T15:15:00Z,79.95,22.36
2026-05-12T15:16:00Z,81.30,20.49
2026-05-12T15:17:00Z,85.48,14.18
2026-05-12T15:18:00Z,89.28,10.38
2026-05-12T15:19:00Z,91.90,8.77
2026-05-12T15:20:00Z,92.00,8.14
2026-05-12T15:21:00Z,92.63,6.70
2026-05-12T15:22:00Z,93.16,8.59
2026-05-12T15:23:00Z,91.00,9.65
2026-05-12T15:24:00Z,93.58,6.02
2026-05-12T15:25:00Z,93.00,6.13
2026-05-12T15:26:00Z,92.22,8.00
2026-05-12T15:27:00Z,92.00,8.00
2026-05-12T15:28:00Z,92.00,8.68
2026-05-12T15:29:00Z,91.42,8.53
2026-05-12T15:30:00Z,92.93,9.00
2026-05-12T15:31:00Z,93.52,5.58
2026-05-12T15:32:00Z,94.99,6.00
2026-05-12T15:33:00Z,94.00,7.00
2026-05-12T15:34:00Z,93.88,6.14
2026-05-12T15:35:00Z,96.33,4.08
2026-05-12T15:36:00Z,98.84,1.02
2026-05-12T15:37:00Z,99.00,1.02
2026-05-12T15:38:00Z,99.00,1.02
2026-05-12T15:39:00Z,99.00,1.00
2026-05-12T15:40:00Z,99.00,1.00
2026-05-12T15:41:00Z,99.00,1.00
2026-05-12T15:42:00Z,99.00,1.00
