# event_ticker=KXATPMATCH-26JAN15MENMAR
# final_score=7-6(9) 4-6 6-1
# score_resolution=6-7 6-4 1-6
# match_winner=Jakub Mensik
# fav_player=Fabian Marozsan
# dog_player=Jakub Mensik
# kalshi_date=2026-01-15
timestamp,Fabian Marozsan,Jakub Mensik
2026-01-15T23:55:00Z,,75.00
2026-01-15T23:56:00Z,,75.00
2026-01-15T23:59:00Z,,65.29
2026-01-16T00:00:00Z,34.00,67.00
2026-01-16T00:03:00Z,34.00,71.00
2026-01-16T00:05:00Z,34.00,74.00
2026-01-16T00:06:00Z,28.00,74.00
2026-01-16T00:08:00Z,26.00,74.00
2026-01-16T00:09:00Z,26.22,75.00
2026-01-16T00:10:00Z,26.22,77.00
2026-01-16T00:11:00Z,26.71,77.00
2026-01-16T00:12:00Z,26.71,76.55
2026-01-16T00:14:00Z,26.71,73.09
2026-01-16T00:19:00Z,26.71,76.00
2026-01-16T00:20:00Z,26.71,76.00
2026-01-16T00:21:00Z,26.71,76.11
2026-01-16T00:28:00Z,28.35,75.00
2026-01-16T00:29:00Z,27.00,75.00
2026-01-16T00:35:00Z,27.00,75.00
2026-01-16T00:37:00Z,27.00,75.00
2026-01-16T00:42:00Z,27.00,74.00
2026-01-16T00:53:00Z,27.00,74.00
2026-01-16T00:54:00Z,27.00,74.00
2026-01-16T00:56:00Z,27.00,74.00
2026-01-16T01:00:00Z,27.00,75.16
2026-01-16T01:01:00Z,27.00,75.16
2026-01-16T01:04:00Z,28.02,75.16
2026-01-16T01:05:00Z,31.44,75.16
2026-01-16T01:06:00Z,31.44,72.00
2026-01-16T01:07:00Z,30.00,72.00
2026-01-16T01:09:00Z,30.00,72.00
2026-01-16T01:10:00Z,30.00,72.00
2026-01-16T01:11:00Z,30.40,72.00
2026-01-16T01:12:00Z,30.40,72.00
2026-01-16T01:13:00Z,29.00,72.00
2026-01-16T01:14:00Z,29.00,72.00
2026-01-16T01:15:00Z,29.48,72.00
2026-01-16T01:16:00Z,30.00,73.00
2026-01-16T01:17:00Z,30.77,73.00
2026-01-16T01:18:00Z,30.77,74.49
2026-01-16T01:21:00Z,28.00,75.02
2026-01-16T01:22:00Z,28.00,75.40
2026-01-16T01:23:00Z,28.00,75.00
2026-01-16T01:24:00Z,28.76,75.00
2026-01-16T01:25:00Z,32.91,69.51
2026-01-16T01:26:00Z,31.95,69.12
2026-01-16T01:27:00Z,31.28,70.07
2026-01-16T01:28:00Z,29.00,70.67
2026-01-16T01:29:00Z,33.00,69.00
2026-01-16T01:30:00Z,28.11,71.03
2026-01-16T01:31:00Z,28.35,71.93
2026-01-16T01:32:00Z,27.09,70.80
2026-01-16T01:33:00Z,32.31,71.43
2026-01-16T01:34:00Z,32.19,69.12
2026-01-16T01:35:00Z,30.00,70.22
2026-01-16T01:37:00Z,31.67,70.00
2026-01-16T01:38:00Z,32.43,69.00
2026-01-16T01:39:00Z,32.43,72.96
2026-01-16T01:40:00Z,32.00,69.79
2026-01-16T01:41:00Z,32.07,68.99
2026-01-16T01:42:00Z,36.22,68.99
2026-01-16T01:43:00Z,44.95,56.56
2026-01-16T01:44:00Z,43.53,57.99
2026-01-16T01:45:00Z,38.14,60.60
2026-01-16T01:46:00Z,38.00,61.00
2026-01-16T01:48:00Z,31.00,68.00
2026-01-16T01:49:00Z,37.00,64.36
2026-01-16T01:50:00Z,37.00,64.00
2026-01-16T01:51:00Z,37.00,65.00
2026-01-16T01:52:00Z,39.00,68.86
2026-01-16T01:53:00Z,35.00,66.00
2026-01-16T01:54:00Z,35.10,66.58
