# event_ticker=KXATPCHALLENGERMATCH-26FEB24RODSAI
# final_score=6-4 6-2
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Santiago Rodriguez Taverna
# kalshi_date=2026-02-24
timestamp,Nikolas Sanchez Izquierdo,Santiago Rodriguez Taverna
2026-02-24T05:48:00Z,,64.00
2026-02-24T07:51:00Z,67.00,64.00
2026-02-24T08:22:00Z,67.00,63.67
2026-02-24T08:58:00Z,67.00,64.00
2026-02-24T09:28:00Z,67.00,45.00
2026-02-24T11:11:00Z,66.00,45.00
2026-02-24T13:17:00Z,66.00,45.00
2026-02-24T13:31:00Z,64.00,40.00
2026-02-24T13:48:00Z,60.00,40.00
2026-02-24T14:02:00Z,59.00,45.00
2026-02-24T14:04:00Z,57.19,45.00
2026-02-24T14:18:00Z,58.00,45.00
2026-02-24T14:24:00Z,58.00,48.21
2026-02-24T14:36:00Z,58.00,49.37
2026-02-24T14:38:00Z,57.00,49.37
2026-02-24T14:58:00Z,61.21,49.37
2026-02-24T14:59:00Z,53.00,49.37
2026-02-24T15:05:00Z,52.47,51.19
2026-02-24T15:06:00Z,53.78,51.83
2026-02-24T15:07:00Z,54.63,56.65
2026-02-24T15:08:00Z,55.21,59.88
2026-02-24T15:09:00Z,55.72,45.09
2026-02-24T15:10:00Z,66.00,41.06
2026-02-24T15:11:00Z,69.04,35.32
2026-02-24T15:12:00Z,68.00,35.10
2026-02-24T15:13:00Z,68.29,35.95
2026-02-24T15:14:00Z,70.18,32.65
2026-02-24T15:15:00Z,71.00,31.74
2026-02-24T15:16:00Z,71.00,28.99
2026-02-24T15:17:00Z,72.27,30.99
2026-02-24T15:18:00Z,72.13,31.59
2026-02-24T15:19:00Z,68.32,34.00
2026-02-24T15:20:00Z,68.32,34.00
2026-02-24T15:21:00Z,71.00,33.13
2026-02-24T15:22:00Z,62.59,41.68
2026-02-24T15:23:00Z,62.59,36.75
2026-02-24T15:24:00Z,62.59,29.74
2026-02-24T15:25:00Z,70.00,29.42
2026-02-24T15:26:00Z,75.33,27.19
2026-02-24T15:27:00Z,72.00,29.68
2026-02-24T15:28:00Z,69.00,29.68
2026-02-24T15:30:00Z,69.00,41.33
2026-02-24T15:31:00Z,70.17,29.60
2026-02-24T15:32:00Z,71.33,33.86
2026-02-24T15:33:00Z,69.68,33.67
2026-02-24T15:34:00Z,71.00,30.55
2026-02-24T15:35:00Z,70.30,31.09
2026-02-24T15:36:00Z,75.15,26.65
2026-02-24T15:37:00Z,75.52,23.94
2026-02-24T15:38:00Z,76.86,32.43
2026-02-24T15:39:00Z,75.61,28.27
2026-02-24T15:40:00Z,76.00,30.00
2026-02-24T15:41:00Z,73.72,32.25
2026-02-24T15:42:00Z,76.08,30.71
2026-02-24T15:43:00Z,70.54,32.87
2026-02-24T15:44:00Z,70.00,34.82
2026-02-24T15:45:00Z,73.75,31.40
2026-02-24T15:46:00Z,70.67,30.02
2026-02-24T15:47:00Z,75.00,28.79
2026-02-24T15:48:00Z,76.91,27.14
2026-02-24T15:49:00Z,72.77,30.96
2026-02-24T15:50:00Z,70.99,31.22
2026-02-24T15:51:00Z,69.59,33.29
2026-02-24T15:52:00Z,73.96,32.41
2026-02-24T15:53:00Z,79.49,27.64
2026-02-24T15:54:00Z,79.49,24.09
2026-02-24T15:55:00Z,77.38,25.87
2026-02-24T15:56:00Z,81.58,22.28
2026-02-24T15:57:00Z,80.99,23.52
2026-02-24T15:58:00Z,75.42,26.38
2026-02-24T15:59:00Z,75.40,26.89
2026-02-24T16:00:00Z,77.48,23.42
2026-02-24T16:01:00Z,73.64,25.99
2026-02-24T16:02:00Z,71.00,30.94
2026-02-24T16:03:00Z,78.00,29.65
2026-02-24T16:04:00Z,85.85,19.43
2026-02-24T16:05:00Z,88.00,12.40
2026-02-24T16:06:00Z,91.75,9.82
2026-02-24T16:07:00Z,88.83,14.40
2026-02-24T16:08:00Z,91.29,13.22
2026-02-24T16:09:00Z,93.55,10.22
2026-02-24T16:10:00Z,91.92,11.69
2026-02-24T16:11:00Z,90.00,12.00
2026-02-24T16:12:00Z,88.73,12.00
2026-02-24T16:13:00Z,86.00,14.67
2026-02-24T16:14:00Z,86.00,14.69
2026-02-24T16:15:00Z,90.76,11.45
2026-02-24T16:16:00Z,93.00,8.24
2026-02-24T16:17:00Z,97.11,6.72
2026-02-24T16:18:00Z,95.89,4.00
2026-02-24T16:19:00Z,96.92,6.47
2026-02-24T16:20:00Z,96.52,2.56
2026-02-24T16:21:00Z,98.99,2.94
2026-02-24T16:22:00Z,98.37,1.27
2026-02-24T16:23:00Z,97.00,1.18
2026-02-24T16:24:00Z,98.88,1.63
2026-02-24T16:25:00Z,99.00,1.00
2026-02-24T16:26:00Z,99.00,1.00
2026-02-24T16:27:00Z,99.00,1.00
2026-02-24T16:28:00Z,99.00,1.00
2026-02-24T16:31:00Z,99.00,1.00
2026-02-24T16:32:00Z,99.00,1.00
2026-02-24T16:33:00Z,99.00,1.00
2026-02-24T16:36:00Z,99.00,1.00
2026-02-24T16:37:00Z,99.00,1.00
2026-02-24T16:38:00Z,99.00,1.00
2026-02-24T16:39:00Z,99.00,1.00
2026-02-24T16:40:00Z,99.00,1.00
2026-02-24T16:41:00Z,99.00,1.00
