# event_ticker=KXATPCHALLENGERMATCH-26APR18REIKEN
# final_score=6-2 2-6 6-4
# score_resolution=2-6 6-2 4-6
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Jack Kennedy
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-04-18
timestamp,Joao Lucas Reis Da Silva,Jack Kennedy
2026-04-18T06:22:00Z,,51.00
2026-04-18T06:23:00Z,65.00,51.00
2026-04-18T06:45:00Z,64.00,51.00
2026-04-18T07:00:00Z,64.00,84.00
2026-04-18T07:09:00Z,64.00,39.00
2026-04-18T07:14:00Z,64.00,39.00
2026-04-18T07:16:00Z,64.00,38.00
2026-04-18T07:22:00Z,58.00,43.00
2026-04-18T07:24:00Z,62.00,43.00
2026-04-18T07:49:00Z,62.00,49.00
2026-04-18T08:02:00Z,62.00,49.00
2026-04-18T08:06:00Z,62.00,49.00
2026-04-18T08:17:00Z,61.00,49.00
2026-04-18T08:40:00Z,62.00,49.00
2026-04-18T09:13:00Z,62.00,39.00
2026-04-18T09:35:00Z,62.00,39.00
2026-04-18T09:36:00Z,63.00,39.00
2026-04-18T10:18:00Z,63.00,39.00
2026-04-18T10:24:00Z,63.00,39.00
2026-04-18T10:30:00Z,63.00,39.00
2026-04-18T10:52:00Z,63.00,39.00
2026-04-18T10:55:00Z,63.00,39.00
2026-04-18T10:57:00Z,63.00,39.00
2026-04-18T11:47:00Z,63.00,39.00
2026-04-18T12:03:00Z,63.00,39.00
2026-04-18T12:05:00Z,63.00,39.00
2026-04-18T12:20:00Z,63.00,39.00
2026-04-18T12:26:00Z,63.00,39.00
2026-04-18T12:28:00Z,63.00,39.00
2026-04-18T12:38:00Z,63.00,39.00
2026-04-18T12:48:00Z,63.00,39.00
2026-04-18T12:59:00Z,63.00,39.00
2026-04-18T13:24:00Z,63.00,39.00
2026-04-18T13:29:00Z,63.00,39.00
2026-04-18T13:54:00Z,63.00,39.00
2026-04-18T14:03:00Z,63.00,39.00
2026-04-18T14:07:00Z,63.00,39.00
2026-04-18T14:10:00Z,63.00,39.00
2026-04-18T14:18:00Z,63.00,39.00
2026-04-18T14:19:00Z,63.00,39.00
2026-04-18T14:22:00Z,63.00,39.00
2026-04-18T14:23:00Z,63.00,39.00
2026-04-18T14:24:00Z,63.00,39.00
2026-04-18T14:25:00Z,63.00,39.00
2026-04-18T14:33:00Z,63.00,39.00
2026-04-18T14:34:00Z,63.00,39.00
2026-04-18T14:35:00Z,63.00,39.00
2026-04-18T14:55:00Z,63.00,37.05
2026-04-18T15:07:00Z,63.00,37.05
2026-04-18T15:12:00Z,63.00,39.00
2026-04-18T15:14:00Z,63.00,39.00
2026-04-18T15:15:00Z,63.00,39.32
2026-04-18T15:16:00Z,63.00,39.32
2026-04-18T15:17:00Z,63.00,39.00
2026-04-18T15:20:00Z,63.00,40.00
2026-04-18T15:25:00Z,63.00,40.00
2026-04-18T15:26:00Z,63.00,40.00
2026-04-18T15:29:00Z,63.00,39.00
2026-04-18T15:34:00Z,63.00,39.00
2026-04-18T15:37:00Z,63.00,39.00
2026-04-18T15:40:00Z,63.00,39.00
2026-04-18T15:44:00Z,63.00,39.00
2026-04-18T15:45:00Z,63.00,39.00
2026-04-18T15:47:00Z,63.00,39.00
2026-04-18T15:49:00Z,63.00,39.00
2026-04-18T15:51:00Z,63.00,39.00
2026-04-18T15:55:00Z,63.00,39.00
2026-04-18T15:56:00Z,63.67,39.00
2026-04-18T15:57:00Z,63.67,39.00
2026-04-18T15:58:00Z,64.00,39.00
2026-04-18T15:59:00Z,64.00,39.00
2026-04-18T16:00:00Z,64.00,39.00
2026-04-18T16:01:00Z,64.00,39.00
2026-04-18T16:02:00Z,64.00,39.00
2026-04-18T16:03:00Z,64.00,39.22
2026-04-18T16:04:00Z,64.00,39.99
2026-04-18T16:05:00Z,64.00,39.00
2026-04-18T16:06:00Z,64.00,39.00
2026-04-18T16:07:00Z,64.00,39.00
2026-04-18T16:08:00Z,61.60,39.00
2026-04-18T16:09:00Z,64.00,39.00
2026-04-18T16:10:00Z,64.30,39.00
2026-04-18T16:11:00Z,65.00,39.00
2026-04-18T16:12:00Z,64.00,39.00
2026-04-18T16:15:00Z,63.49,39.00
2026-04-18T16:16:00Z,64.00,39.00
2026-04-18T16:18:00Z,64.00,39.00
2026-04-18T16:19:00Z,64.93,39.00
2026-04-18T16:20:00Z,64.00,39.00
2026-04-18T16:21:00Z,64.00,39.00
