# event_ticker=KXATPCHALLENGERMATCH-26MAY02BUTGAD
# final_score=6-4 3-6 6-3
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Edas Butvilas
# kalshi_date=2026-05-02
timestamp,Edas Butvilas,Buvaysar Gadamauri
2026-05-01T22:01:00Z,54.00,
2026-05-02T00:00:00Z,54.00,
2026-05-02T00:02:00Z,54.00,
2026-05-02T00:06:00Z,54.00,
2026-05-02T01:08:00Z,52.00,
2026-05-02T01:27:00Z,54.00,
2026-05-02T02:07:00Z,54.00,48.00
2026-05-02T02:44:00Z,54.00,47.00
2026-05-02T02:54:00Z,54.00,47.00
2026-05-02T03:15:00Z,54.00,47.00
2026-05-02T04:06:00Z,54.00,47.00
2026-05-02T04:08:00Z,54.00,47.00
2026-05-02T04:09:00Z,54.00,47.00
2026-05-02T04:11:00Z,53.00,47.00
2026-05-02T04:14:00Z,53.00,48.00
2026-05-02T04:15:00Z,53.00,48.00
2026-05-02T04:25:00Z,53.00,48.00
2026-05-02T04:26:00Z,53.00,48.00
2026-05-02T04:30:00Z,53.00,47.09
2026-05-02T04:39:00Z,53.00,47.09
2026-05-02T04:43:00Z,53.00,48.00
2026-05-02T04:45:00Z,53.00,48.00
2026-05-02T04:46:00Z,53.00,48.00
2026-05-02T04:49:00Z,53.71,48.00
2026-05-02T04:51:00Z,54.50,48.00
2026-05-02T04:56:00Z,54.00,48.00
2026-05-02T04:57:00Z,54.88,48.00
2026-05-02T05:07:00Z,54.88,46.33
2026-05-02T05:09:00Z,54.00,46.00
2026-05-02T05:10:00Z,54.00,46.00
2026-05-02T05:17:00Z,52.78,48.00
2026-05-02T05:18:00Z,52.78,48.00
2026-05-02T05:19:00Z,54.81,48.00
2026-05-02T05:20:00Z,55.00,48.00
2026-05-02T05:21:00Z,54.00,48.00
2026-05-02T05:23:00Z,54.00,48.00
2026-05-02T05:24:00Z,54.00,48.00
2026-05-02T05:26:00Z,54.59,48.00
2026-05-02T05:28:00Z,54.59,48.00
2026-05-02T05:29:00Z,54.59,48.00
2026-05-02T05:31:00Z,54.59,46.00
2026-05-02T05:32:00Z,54.59,48.00
