# event_ticker=KXATPCHALLENGERMATCH-26MAY15COLDRO
# final_score=6-2 7-6(6)
# score_resolution=2-6 6-7
# match_winner=Raphael Collignon
# fav_player=Titouan Droguet
# dog_player=Raphael Collignon
# kalshi_date=2026-05-15
timestamp,Raphael Collignon,Titouan Droguet
2026-05-15T06:35:00Z,67.00,
2026-05-15T06:54:00Z,68.00,
2026-05-15T07:07:00Z,68.00,35.00
2026-05-15T08:02:00Z,67.00,35.00
2026-05-15T09:02:00Z,67.00,35.00
2026-05-15T09:13:00Z,67.00,35.00
2026-05-15T09:20:00Z,67.00,35.00
2026-05-15T09:26:00Z,67.00,35.00
2026-05-15T09:52:00Z,67.00,35.00
2026-05-15T10:45:00Z,67.00,35.00
2026-05-15T10:52:00Z,67.00,35.00
2026-05-15T11:19:00Z,68.00,35.00
2026-05-15T11:41:00Z,68.00,35.00
2026-05-15T11:49:00Z,68.00,35.00
2026-05-15T11:50:00Z,68.00,35.00
2026-05-15T12:25:00Z,68.00,35.00
2026-05-15T12:29:00Z,68.00,35.00
2026-05-15T12:31:00Z,68.00,35.00
2026-05-15T13:14:00Z,68.00,35.00
2026-05-15T14:06:00Z,68.00,34.00
2026-05-15T14:21:00Z,68.00,34.00
2026-05-15T14:51:00Z,68.00,34.00
2026-05-15T14:52:00Z,68.00,34.00
2026-05-15T14:56:00Z,68.00,33.00
2026-05-15T14:58:00Z,69.00,33.00
2026-05-15T15:01:00Z,69.00,32.00
2026-05-15T15:02:00Z,69.00,32.00
2026-05-15T15:03:00Z,69.00,32.00
2026-05-15T15:19:00Z,69.00,32.00
2026-05-15T15:31:00Z,69.00,32.00
2026-05-15T15:34:00Z,69.00,32.00
2026-05-15T15:37:00Z,69.00,32.00
2026-05-15T15:39:00Z,69.00,32.00
2026-05-15T15:40:00Z,69.00,32.00
2026-05-15T15:41:00Z,69.00,32.00
2026-05-15T15:43:00Z,69.00,32.00
2026-05-15T15:52:00Z,69.00,32.00
2026-05-15T16:01:00Z,69.00,32.00
2026-05-15T16:03:00Z,69.00,32.00
2026-05-15T16:05:00Z,69.00,32.00
2026-05-15T16:11:00Z,69.00,32.00
2026-05-15T16:12:00Z,69.00,32.00
2026-05-15T16:18:00Z,69.00,32.00
2026-05-15T16:20:00Z,69.00,32.00
2026-05-15T16:22:00Z,69.00,32.00
2026-05-15T16:25:00Z,69.00,32.00
2026-05-15T16:29:00Z,69.00,32.00
2026-05-15T16:30:00Z,69.00,32.00
2026-05-15T16:31:00Z,69.00,32.00
2026-05-15T16:35:00Z,69.00,32.00
2026-05-15T16:36:00Z,69.00,32.46
2026-05-15T16:37:00Z,69.00,32.46
2026-05-15T16:41:00Z,69.00,32.46
2026-05-15T16:46:00Z,69.00,32.46
2026-05-15T16:49:00Z,69.00,32.46
2026-05-15T16:50:00Z,69.00,32.46
