# event_ticker=KXATPCHALLENGERMATCH-26MAY05SEGALE
# final_score=6-2 4-6 6-4
# score_resolution=2-6 6-4 4-6
# match_winner=Ryan Seggerman
# fav_player=Yannick Theodor Alexandrescou
# dog_player=Ryan Seggerman
# kalshi_date=2026-05-05
timestamp,Ryan Seggerman,Yannick Theodor Alexandrescou
2026-05-05T04:03:00Z,68.00,32.00
2026-05-05T05:09:00Z,68.00,32.00
2026-05-05T05:59:00Z,68.00,35.21
2026-05-05T07:18:00Z,68.00,35.00
2026-05-05T11:18:00Z,67.00,35.00
2026-05-05T11:50:00Z,67.00,35.00
2026-05-05T12:05:00Z,67.00,35.00
2026-05-05T12:11:00Z,67.00,35.00
2026-05-05T12:13:00Z,67.00,35.00
2026-05-05T12:16:00Z,67.00,35.00
2026-05-05T12:17:00Z,67.00,35.63
2026-05-05T12:20:00Z,65.51,36.00
2026-05-05T12:21:00Z,62.85,36.87
2026-05-05T12:22:00Z,56.85,41.01
2026-05-05T12:25:00Z,56.85,54.00
2026-05-05T12:26:00Z,56.85,49.00
2026-05-05T12:27:00Z,49.74,49.00
2026-05-05T12:28:00Z,49.00,49.00
2026-05-05T12:29:00Z,48.00,49.00
2026-05-05T12:32:00Z,53.37,49.00
2026-05-05T12:34:00Z,56.26,49.00
2026-05-05T12:35:00Z,63.00,34.00
2026-05-05T12:36:00Z,66.99,37.18
2026-05-05T12:37:00Z,63.31,38.12
2026-05-05T12:38:00Z,63.31,31.00
2026-05-05T12:39:00Z,63.31,28.00
2026-05-05T12:40:00Z,75.09,24.02
2026-05-05T12:41:00Z,75.09,22.00
2026-05-05T12:43:00Z,85.05,14.16
2026-05-05T12:44:00Z,85.05,14.15
2026-05-05T12:45:00Z,82.55,16.00
2026-05-05T12:46:00Z,82.55,16.00
2026-05-05T12:47:00Z,86.00,16.00
2026-05-05T12:48:00Z,86.00,16.00
2026-05-05T12:49:00Z,87.00,16.00
2026-05-05T12:51:00Z,87.59,16.00
2026-05-05T12:52:00Z,85.38,17.35
2026-05-05T12:54:00Z,85.23,16.00
2026-05-05T12:55:00Z,88.00,16.00
2026-05-05T12:56:00Z,91.00,11.00
2026-05-05T12:57:00Z,91.00,10.24
2026-05-05T12:58:00Z,91.00,10.00
2026-05-05T12:59:00Z,91.00,11.00
2026-05-05T13:00:00Z,91.00,10.00
2026-05-05T13:01:00Z,91.00,11.00
2026-05-05T13:02:00Z,87.33,13.71
2026-05-05T13:03:00Z,87.33,16.18
2026-05-05T13:04:00Z,87.33,18.92
2026-05-05T13:05:00Z,83.00,17.04
2026-05-05T13:06:00Z,84.00,16.07
2026-05-05T13:07:00Z,80.67,17.90
2026-05-05T13:08:00Z,78.00,22.71
2026-05-05T13:09:00Z,77.48,22.00
2026-05-05T13:10:00Z,80.00,21.00
2026-05-05T13:11:00Z,80.00,21.00
2026-05-05T13:12:00Z,80.00,21.00
2026-05-05T13:13:00Z,82.19,18.71
2026-05-05T13:14:00Z,82.00,16.23
2026-05-05T13:15:00Z,82.00,20.68
2026-05-05T13:16:00Z,76.46,23.93
2026-05-05T13:17:00Z,74.00,26.76
2026-05-05T13:18:00Z,78.00,23.57
2026-05-05T13:19:00Z,78.00,23.00
2026-05-05T13:20:00Z,78.00,23.00
2026-05-05T13:21:00Z,80.11,18.16
2026-05-05T13:22:00Z,80.11,16.02
2026-05-05T13:23:00Z,80.00,20.00
2026-05-05T13:24:00Z,79.37,19.73
2026-05-05T13:25:00Z,76.03,23.14
2026-05-05T13:26:00Z,76.30,23.00
2026-05-05T13:27:00Z,75.69,25.41
2026-05-05T13:28:00Z,73.49,27.00
2026-05-05T13:29:00Z,74.50,25.73
2026-05-05T13:30:00Z,74.50,27.18
2026-05-05T13:31:00Z,75.00,27.00
2026-05-05T13:32:00Z,71.01,28.71
2026-05-05T13:33:00Z,68.91,32.09
2026-05-05T13:34:00Z,68.00,33.00
2026-05-05T13:35:00Z,70.00,30.00
2026-05-05T13:36:00Z,70.00,30.00
2026-05-05T13:37:00Z,71.28,28.76
2026-05-05T13:38:00Z,71.28,31.05
2026-05-05T13:39:00Z,67.50,31.80
2026-05-05T13:40:00Z,66.30,34.17
2026-05-05T13:41:00Z,63.04,34.89
2026-05-05T13:42:00Z,65.00,35.00
2026-05-05T13:43:00Z,65.00,35.00
2026-05-05T13:45:00Z,65.00,36.00
2026-05-05T13:46:00Z,65.00,36.00
2026-05-05T13:47:00Z,65.00,36.00
2026-05-05T13:48:00Z,66.25,35.00
2026-05-05T13:49:00Z,69.00,31.00
2026-05-05T13:50:00Z,72.66,26.46
2026-05-05T13:51:00Z,69.19,29.86
2026-05-05T13:52:00Z,76.57,24.23
2026-05-05T13:53:00Z,80.54,22.91
2026-05-05T13:54:00Z,64.29,36.33
2026-05-05T13:55:00Z,62.88,35.92
2026-05-05T13:56:00Z,67.89,31.99
2026-05-05T13:57:00Z,68.82,32.93
2026-05-05T13:58:00Z,69.24,31.00
2026-05-05T13:59:00Z,76.22,22.14
2026-05-05T14:00:00Z,77.12,20.78
2026-05-05T14:01:00Z,73.03,27.87
2026-05-05T14:02:00Z,70.82,29.04
2026-05-05T14:03:00Z,67.97,33.91
2026-05-05T14:04:00Z,66.95,35.47
2026-05-05T14:05:00Z,64.88,35.11
2026-05-05T14:06:00Z,70.64,30.62
2026-05-05T14:07:00Z,71.00,30.00
2026-05-05T14:08:00Z,76.01,20.34
2026-05-05T14:09:00Z,84.42,21.40
2026-05-05T14:10:00Z,81.06,19.13
2026-05-05T14:11:00Z,81.55,20.59
2026-05-05T14:12:00Z,90.13,9.32
2026-05-05T14:13:00Z,85.26,12.46
2026-05-05T14:14:00Z,77.21,23.09
2026-05-05T14:15:00Z,81.29,18.37
2026-05-05T14:16:00Z,86.54,10.74
2026-05-05T14:17:00Z,79.03,26.45
2026-05-05T14:18:00Z,70.97,29.48
2026-05-05T14:19:00Z,70.26,30.14
2026-05-05T14:20:00Z,74.77,28.76
2026-05-05T14:21:00Z,72.87,30.73
2026-05-05T14:22:00Z,74.26,30.06
2026-05-05T14:23:00Z,75.49,26.15
2026-05-05T14:24:00Z,71.60,29.50
2026-05-05T14:25:00Z,69.54,29.99
2026-05-05T14:26:00Z,69.52,29.95
2026-05-05T14:27:00Z,68.72,29.24
2026-05-05T14:28:00Z,69.51,32.14
