# event_ticker=KXATPMATCH-26MAY06SVRKEC
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Miomir Kecmanovic
# fav_player=Dalibor Svrcina
# dog_player=Miomir Kecmanovic
# kalshi_date=2026-05-06
timestamp,Dalibor Svrcina,Miomir Kecmanovic
2026-05-06T21:41:00Z,,53.00
2026-05-06T21:46:00Z,49.00,53.00
2026-05-06T21:49:00Z,49.00,54.00
2026-05-06T21:53:00Z,47.00,54.00
2026-05-06T22:01:00Z,47.00,54.00
2026-05-06T22:03:00Z,48.00,54.00
2026-05-06T22:13:00Z,48.00,54.00
2026-05-06T22:15:00Z,48.00,54.00
2026-05-06T22:19:00Z,48.00,54.00
2026-05-06T22:23:00Z,47.78,54.00
2026-05-06T22:29:00Z,47.78,54.00
2026-05-06T22:38:00Z,47.78,54.00
2026-05-06T22:39:00Z,47.78,54.00
2026-05-06T22:43:00Z,47.78,54.00
2026-05-06T22:50:00Z,48.00,54.00
2026-05-06T23:05:00Z,48.00,54.00
2026-05-06T23:07:00Z,48.00,54.00
2026-05-06T23:10:00Z,46.00,54.00
2026-05-06T23:15:00Z,47.00,54.00
2026-05-06T23:17:00Z,47.00,54.00
2026-05-06T23:19:00Z,47.00,54.00
2026-05-06T23:36:00Z,47.00,54.00
2026-05-06T23:41:00Z,47.00,54.00
2026-05-06T23:53:00Z,47.00,54.00
2026-05-06T23:54:00Z,47.00,54.00
2026-05-06T23:59:00Z,47.00,54.00
2026-05-07T00:08:00Z,47.00,54.00
2026-05-07T00:09:00Z,47.00,54.00
2026-05-07T00:10:00Z,47.00,54.00
2026-05-07T00:14:00Z,47.00,54.00
2026-05-07T00:16:00Z,47.00,54.00
2026-05-07T00:17:00Z,47.00,54.00
2026-05-07T00:21:00Z,47.00,54.00
2026-05-07T00:25:00Z,47.00,54.00
2026-05-07T00:33:00Z,47.00,54.00
2026-05-07T00:40:00Z,47.00,54.00
2026-05-07T00:51:00Z,47.00,54.00
2026-05-07T00:54:00Z,47.00,54.00
2026-05-07T00:58:00Z,47.00,54.00
2026-05-07T01:01:00Z,47.00,54.00
2026-05-07T01:08:00Z,47.00,54.00
2026-05-07T01:31:00Z,47.00,54.00
2026-05-07T01:32:00Z,47.00,54.00
2026-05-07T01:35:00Z,47.00,54.00
2026-05-07T01:54:00Z,47.00,54.00
2026-05-07T02:00:00Z,47.00,54.00
2026-05-07T02:01:00Z,47.00,54.00
2026-05-07T02:02:00Z,47.00,54.00
2026-05-07T02:10:00Z,47.00,54.00
2026-05-07T02:12:00Z,47.00,54.00
2026-05-07T02:14:00Z,47.00,54.00
2026-05-07T02:23:00Z,47.00,54.00
2026-05-07T02:24:00Z,47.00,54.00
2026-05-07T02:29:00Z,47.00,54.00
2026-05-07T02:31:00Z,47.00,54.00
2026-05-07T02:33:00Z,47.00,54.00
2026-05-07T02:34:00Z,47.00,54.00
2026-05-07T02:36:00Z,47.00,54.00
2026-05-07T02:42:00Z,47.00,54.00
2026-05-07T02:44:00Z,47.00,54.00
2026-05-07T02:45:00Z,47.00,54.00
2026-05-07T02:46:00Z,47.00,54.00
2026-05-07T02:48:00Z,47.00,54.00
2026-05-07T02:50:00Z,47.00,54.00
2026-05-07T02:51:00Z,47.00,54.00
2026-05-07T02:53:00Z,47.00,54.00
2026-05-07T02:55:00Z,47.00,54.00
2026-05-07T02:56:00Z,47.00,54.00
2026-05-07T02:57:00Z,47.00,54.00
2026-05-07T02:58:00Z,47.00,54.00
2026-05-07T03:00:00Z,47.00,54.00
