# event_ticker=KXATPCHALLENGERMATCH-26APR07FOMBOU
# final_score=6-4 1-6 7-6(3)
# score_resolution=6-4 1-6 7-6
# match_winner=Sergey Fomin
# fav_player=Sergey Fomin
# dog_player=Moerani Bouzige
# kalshi_date=2026-04-07
timestamp,Sergey Fomin,Moerani Bouzige
2026-04-06T20:00:00Z,,36.00
2026-04-06T23:27:00Z,,39.00
2026-04-07T00:40:00Z,,39.00
2026-04-07T03:06:00Z,64.00,39.00
2026-04-07T03:47:00Z,64.00,38.00
2026-04-07T04:00:00Z,64.00,38.00
2026-04-07T04:08:00Z,64.00,38.00
2026-04-07T04:11:00Z,64.00,38.00
2026-04-07T04:15:00Z,64.00,38.00
2026-04-07T04:16:00Z,64.00,37.00
2026-04-07T04:19:00Z,63.00,37.00
2026-04-07T04:33:00Z,64.00,37.00
2026-04-07T04:40:00Z,64.00,38.00
2026-04-07T04:46:00Z,64.00,38.00
2026-04-07T05:00:00Z,64.00,38.00
2026-04-07T05:03:00Z,63.00,38.00
2026-04-07T05:17:00Z,63.00,38.00
2026-04-07T05:18:00Z,63.19,38.00
2026-04-07T05:29:00Z,64.00,38.00
2026-04-07T05:33:00Z,64.00,38.00
2026-04-07T05:34:00Z,63.00,38.00
2026-04-07T05:39:00Z,63.00,38.00
2026-04-07T05:44:00Z,64.00,38.00
2026-04-07T05:55:00Z,64.00,38.00
2026-04-07T06:01:00Z,63.88,38.00
2026-04-07T06:06:00Z,63.00,38.00
2026-04-07T06:11:00Z,63.00,38.00
2026-04-07T06:21:00Z,63.00,38.88
2026-04-07T06:37:00Z,63.00,39.00
2026-04-07T06:39:00Z,62.67,39.00
2026-04-07T06:42:00Z,62.00,39.00
2026-04-07T06:55:00Z,63.00,39.00
2026-04-07T07:05:00Z,64.00,39.00
2026-04-07T07:12:00Z,64.00,39.00
2026-04-07T07:22:00Z,64.00,39.00
2026-04-07T07:25:00Z,64.00,39.00
2026-04-07T07:29:00Z,64.00,39.00
2026-04-07T07:30:00Z,64.53,38.74
2026-04-07T07:31:00Z,64.00,38.04
2026-04-07T07:32:00Z,64.00,39.30
2026-04-07T07:33:00Z,64.00,39.74
2026-04-07T07:34:00Z,64.00,40.00
2026-04-07T07:35:00Z,62.00,41.44
2026-04-07T07:36:00Z,62.00,43.52
2026-04-07T07:37:00Z,62.00,42.94
2026-04-07T07:38:00Z,62.00,38.04
2026-04-07T07:39:00Z,69.68,31.06
2026-04-07T07:40:00Z,72.24,31.06
2026-04-07T07:41:00Z,81.20,21.70
2026-04-07T07:42:00Z,80.75,20.71
2026-04-07T07:43:00Z,79.00,25.25
2026-04-07T07:44:00Z,74.61,27.14
2026-04-07T07:45:00Z,72.74,30.73
2026-04-07T07:46:00Z,73.54,33.05
2026-04-07T07:47:00Z,77.27,24.89
2026-04-07T07:48:00Z,77.89,24.91
2026-04-07T07:49:00Z,74.97,31.30
2026-04-07T07:50:00Z,71.94,30.15
2026-04-07T07:51:00Z,76.11,25.27
2026-04-07T07:52:00Z,75.25,27.10
2026-04-07T07:53:00Z,79.15,25.64
2026-04-07T07:54:00Z,75.17,27.23
2026-04-07T07:55:00Z,73.99,27.78
2026-04-07T07:56:00Z,73.61,29.15
2026-04-07T07:57:00Z,77.93,26.42
2026-04-07T07:58:00Z,77.81,23.19
2026-04-07T07:59:00Z,77.10,25.45
2026-04-07T08:00:00Z,79.92,23.25
2026-04-07T08:01:00Z,80.77,22.40
2026-04-07T08:02:00Z,82.22,20.01
2026-04-07T08:03:00Z,80.32,20.87
2026-04-07T08:04:00Z,79.10,22.25
2026-04-07T08:05:00Z,77.16,36.38
2026-04-07T08:06:00Z,80.35,27.60
2026-04-07T08:07:00Z,80.22,22.39
2026-04-07T08:08:00Z,78.35,23.57
2026-04-07T08:09:00Z,75.85,26.24
2026-04-07T08:10:00Z,75.59,27.02
