# event_ticker=KXATPCHALLENGERMATCH-26APR29ARNARN2
# final_score=6-7(3) 6-4 6-2
# score_resolution=7-6 4-6 2-6
# match_winner=Matteo Arnaldi
# fav_player=Federico Arnaboldi
# dog_player=Matteo Arnaldi
# kalshi_date=2026-04-29
timestamp,Federico Arnaboldi,Matteo Arnaldi
2026-04-29T00:53:00Z,,68.00
2026-04-29T01:05:00Z,,68.00
2026-04-29T01:31:00Z,,68.00
2026-04-29T01:44:00Z,,68.00
2026-04-29T02:24:00Z,,68.00
2026-04-29T02:35:00Z,34.00,68.00
2026-04-29T02:56:00Z,34.00,68.00
2026-04-29T03:35:00Z,33.00,68.00
2026-04-29T03:44:00Z,33.00,68.00
2026-04-29T04:05:00Z,33.00,68.00
2026-04-29T04:25:00Z,33.00,68.00
2026-04-29T04:31:00Z,33.00,68.00
2026-04-29T05:01:00Z,33.00,68.00
2026-04-29T05:12:00Z,33.00,67.00
2026-04-29T05:25:00Z,33.00,68.00
2026-04-29T05:46:00Z,33.00,68.45
2026-04-29T05:52:00Z,33.00,69.00
2026-04-29T05:54:00Z,33.00,69.00
2026-04-29T05:56:00Z,33.00,69.00
2026-04-29T07:19:00Z,33.00,69.00
2026-04-29T07:28:00Z,33.00,69.00
2026-04-29T07:51:00Z,33.00,69.00
2026-04-29T08:23:00Z,33.00,72.00
2026-04-29T08:35:00Z,33.00,72.00
2026-04-29T09:49:00Z,33.00,71.00
2026-04-29T09:57:00Z,33.00,71.00
2026-04-29T10:41:00Z,33.00,71.00
2026-04-29T10:45:00Z,33.00,71.00
2026-04-29T11:07:00Z,33.00,72.00
2026-04-29T11:28:00Z,30.00,72.00
2026-04-29T11:29:00Z,30.00,72.00
2026-04-29T11:30:00Z,30.00,72.00
2026-04-29T11:52:00Z,30.00,72.00
2026-04-29T11:54:00Z,30.84,72.00
2026-04-29T12:02:00Z,30.84,72.00
2026-04-29T12:05:00Z,30.84,72.00
2026-04-29T12:07:00Z,30.00,72.00
2026-04-29T12:11:00Z,30.00,72.00
2026-04-29T12:15:00Z,30.00,72.00
2026-04-29T12:19:00Z,30.89,72.00
2026-04-29T12:20:00Z,30.99,72.00
2026-04-29T12:21:00Z,30.99,72.00
2026-04-29T12:22:00Z,28.00,72.00
2026-04-29T12:25:00Z,28.00,72.00
2026-04-29T12:28:00Z,31.00,72.00
2026-04-29T12:29:00Z,31.00,72.00
2026-04-29T12:31:00Z,31.00,72.00
2026-04-29T12:34:00Z,31.00,72.00
2026-04-29T12:36:00Z,31.00,72.00
2026-04-29T12:37:00Z,31.00,72.00
2026-04-29T12:38:00Z,30.84,72.00
2026-04-29T12:39:00Z,30.84,70.09
2026-04-29T12:40:00Z,33.48,68.00
2026-04-29T12:41:00Z,32.72,68.33
2026-04-29T12:42:00Z,28.00,74.00
2026-04-29T12:43:00Z,27.53,71.52
2026-04-29T12:44:00Z,29.00,71.52
2026-04-29T12:45:00Z,32.00,71.52
2026-04-29T12:46:00Z,31.00,71.52
2026-04-29T12:47:00Z,30.35,68.27
2026-04-29T12:48:00Z,31.00,72.00
2026-04-29T12:50:00Z,29.00,73.60
2026-04-29T12:51:00Z,27.03,75.00
2026-04-29T12:52:00Z,29.88,71.00
2026-04-29T12:53:00Z,31.91,69.00
2026-04-29T12:54:00Z,32.98,68.00
2026-04-29T12:55:00Z,32.00,68.00
2026-04-29T12:56:00Z,31.73,68.00
2026-04-29T12:57:00Z,38.09,66.98
2026-04-29T12:58:00Z,44.70,55.49
2026-04-29T12:59:00Z,47.62,55.49
2026-04-29T13:00:00Z,51.73,49.18
2026-04-29T13:01:00Z,53.38,47.00
2026-04-29T13:02:00Z,51.97,48.55
2026-04-29T13:03:00Z,45.57,53.58
2026-04-29T13:04:00Z,52.01,47.85
2026-04-29T13:05:00Z,53.83,49.00
2026-04-29T13:06:00Z,49.48,51.25
2026-04-29T13:07:00Z,49.00,52.25
2026-04-29T13:08:00Z,49.14,50.27
2026-04-29T13:09:00Z,52.76,47.05
2026-04-29T13:10:00Z,48.60,51.78
2026-04-29T13:11:00Z,49.47,49.55
2026-04-29T13:12:00Z,44.19,55.64
2026-04-29T13:13:00Z,42.58,55.08
2026-04-29T13:14:00Z,51.03,51.07
2026-04-29T13:15:00Z,55.28,45.13
2026-04-29T13:16:00Z,55.24,46.24
2026-04-29T13:17:00Z,52.07,48.29
2026-04-29T13:18:00Z,52.12,49.08
2026-04-29T13:19:00Z,53.18,49.88
2026-04-29T13:20:00Z,53.14,56.06
2026-04-29T13:21:00Z,45.22,63.94
2026-04-29T13:22:00Z,29.87,69.97
2026-04-29T13:23:00Z,33.76,67.50
2026-04-29T13:24:00Z,37.97,63.55
2026-04-29T13:25:00Z,43.63,50.39
2026-04-29T13:26:00Z,52.00,48.94
2026-04-29T13:27:00Z,50.45,52.13
2026-04-29T13:28:00Z,41.75,59.43
2026-04-29T13:29:00Z,39.61,64.32
2026-04-29T13:30:00Z,42.10,58.89
2026-04-29T13:31:00Z,32.81,67.79
2026-04-29T13:32:00Z,29.98,68.93
2026-04-29T13:33:00Z,34.29,64.55
2026-04-29T13:34:00Z,36.82,62.02
2026-04-29T13:35:00Z,40.70,57.42
2026-04-29T13:36:00Z,47.28,52.25
2026-04-29T13:37:00Z,52.70,48.54
2026-04-29T13:38:00Z,59.04,40.73
2026-04-29T13:39:00Z,59.20,42.82
2026-04-29T13:40:00Z,60.83,39.44
2026-04-29T13:41:00Z,61.67,38.52
2026-04-29T13:42:00Z,62.00,39.78
2026-04-29T13:43:00Z,61.02,40.00
2026-04-29T13:44:00Z,60.00,42.66
2026-04-29T13:45:00Z,58.16,41.83
2026-04-29T13:46:00Z,65.49,37.00
2026-04-29T13:47:00Z,64.94,34.13
2026-04-29T13:48:00Z,65.88,34.31
2026-04-29T13:49:00Z,64.38,36.62
2026-04-29T13:50:00Z,63.03,38.02
2026-04-29T13:51:00Z,62.00,38.72
