# event_ticker=KXATPCHALLENGERMATCH-26MAR25HONBRO
# final_score=6-1 6-1
# match_winner=Liam Broady
# fav_player=Liam Broady
# dog_player=Naoya Honda
# kalshi_date=2026-03-25
timestamp,Liam Broady,Naoya Honda
2026-03-25T14:34:00Z,,16.00
2026-03-25T16:37:00Z,85.00,16.00
2026-03-25T16:46:00Z,83.00,16.00
2026-03-25T16:51:00Z,83.00,17.00
2026-03-25T16:52:00Z,83.00,17.00
2026-03-25T17:14:00Z,83.00,17.00
2026-03-25T17:18:00Z,84.00,17.00
2026-03-25T17:29:00Z,84.00,17.00
2026-03-25T17:45:00Z,84.00,17.00
2026-03-25T17:50:00Z,84.00,17.00
2026-03-25T17:51:00Z,84.00,17.00
2026-03-25T18:03:00Z,84.00,17.00
2026-03-25T18:04:00Z,83.00,17.00
2026-03-25T18:27:00Z,83.00,17.00
2026-03-25T18:29:00Z,84.00,16.00
2026-03-25T18:44:00Z,84.00,17.00
2026-03-25T19:05:00Z,84.00,16.00
2026-03-25T19:08:00Z,83.00,16.00
2026-03-25T19:23:00Z,83.00,17.00
2026-03-25T19:41:00Z,83.00,17.00
2026-03-25T20:10:00Z,83.00,17.00
2026-03-25T20:22:00Z,83.00,17.00
2026-03-25T20:52:00Z,83.00,17.00
2026-03-25T21:17:00Z,83.00,17.00
2026-03-25T21:22:00Z,83.00,16.50
2026-03-25T21:38:00Z,83.00,17.00
2026-03-25T21:48:00Z,83.00,17.00
2026-03-25T22:06:00Z,83.00,17.00
2026-03-25T22:18:00Z,83.00,17.00
2026-03-25T22:20:00Z,83.00,17.00
2026-03-25T22:35:00Z,83.00,17.00
2026-03-25T22:40:00Z,83.00,17.00
2026-03-25T22:41:00Z,83.00,17.00
2026-03-25T22:46:00Z,83.00,17.00
2026-03-25T22:48:00Z,83.00,17.00
2026-03-25T22:49:00Z,83.00,17.00
2026-03-25T22:54:00Z,83.00,18.00
2026-03-25T22:55:00Z,83.00,18.00
2026-03-25T23:06:00Z,83.00,18.00
2026-03-25T23:25:00Z,83.00,18.00
2026-03-25T23:27:00Z,83.00,18.00
2026-03-25T23:35:00Z,83.00,18.00
2026-03-25T23:57:00Z,83.00,18.00
2026-03-25T23:59:00Z,83.00,18.00
2026-03-26T00:01:00Z,83.00,18.00
2026-03-26T00:02:00Z,83.00,18.00
2026-03-26T00:08:00Z,83.00,18.00
2026-03-26T00:14:00Z,83.00,18.00
2026-03-26T00:20:00Z,83.00,18.00
2026-03-26T00:25:00Z,83.00,18.00
2026-03-26T00:29:00Z,83.00,18.00
2026-03-26T00:31:00Z,83.00,18.00
2026-03-26T00:33:00Z,82.00,18.00
2026-03-26T00:41:00Z,82.00,18.00
2026-03-26T00:46:00Z,83.00,18.00
2026-03-26T00:55:00Z,83.00,18.00
2026-03-26T01:02:00Z,83.00,18.00
2026-03-26T01:06:00Z,83.00,18.00
2026-03-26T01:10:00Z,83.00,18.00
2026-03-26T01:12:00Z,83.00,17.00
2026-03-26T01:15:00Z,83.00,18.00
2026-03-26T01:18:00Z,83.00,18.00
2026-03-26T01:22:00Z,83.00,18.00
2026-03-26T01:26:00Z,83.00,18.00
2026-03-26T01:36:00Z,83.00,18.00
2026-03-26T01:37:00Z,83.00,18.00
2026-03-26T01:38:00Z,83.00,18.00
2026-03-26T01:39:00Z,83.00,18.00
2026-03-26T01:49:00Z,84.34,18.00
2026-03-26T01:50:00Z,85.00,18.00
2026-03-26T01:53:00Z,85.00,18.52
2026-03-26T01:54:00Z,85.00,16.00
