# event_ticker=KXATPMATCH-25AUG17VANWAL
# final_score=2-6 7-5 6-3
# score_resolution=6-2 5-7 3-6
# match_winner=Botic van de Zandschulp
# fav_player=Adam Walton
# dog_player=Botic Van de Zandschulp
# kalshi_date=2025-08-17
timestamp,Adam Walton,Botic Van de Zandschulp
2025-08-17T08:39:00Z,55.00,50.91
2025-08-17T08:42:00Z,60.00,50.91
2025-08-17T12:17:00Z,56.00,46.00
2025-08-17T12:58:00Z,57.00,46.00
2025-08-17T13:23:00Z,57.00,45.00
2025-08-17T13:32:00Z,57.00,45.00
2025-08-17T14:21:00Z,57.00,47.00
2025-08-17T15:53:00Z,55.00,47.00
2025-08-17T16:05:00Z,55.00,46.00
2025-08-17T16:27:00Z,55.00,46.00
2025-08-17T16:32:00Z,55.00,46.00
2025-08-17T17:11:00Z,55.00,46.00
2025-08-17T17:27:00Z,55.00,46.00
2025-08-17T17:31:00Z,55.00,46.00
2025-08-17T18:09:00Z,55.00,46.00
2025-08-17T18:10:00Z,55.00,46.00
2025-08-17T18:23:00Z,57.00,46.00
2025-08-17T18:35:00Z,58.38,46.00
2025-08-17T18:46:00Z,62.00,46.00
2025-08-17T18:48:00Z,62.00,46.00
2025-08-17T19:02:00Z,62.00,45.00
2025-08-17T19:15:00Z,58.00,45.00
2025-08-17T19:36:00Z,57.00,45.00
2025-08-17T19:37:00Z,57.00,42.21
2025-08-17T19:38:00Z,57.00,40.00
2025-08-17T19:39:00Z,70.00,47.00
2025-08-17T19:42:00Z,74.16,47.00
2025-08-17T19:43:00Z,75.00,47.00
2025-08-17T19:47:00Z,75.00,37.00
2025-08-17T19:48:00Z,62.50,37.00
2025-08-17T19:49:00Z,65.00,37.00
2025-08-17T19:51:00Z,70.00,33.00
2025-08-17T19:52:00Z,67.00,33.00
2025-08-17T19:53:00Z,67.00,34.00
2025-08-17T19:55:00Z,71.00,34.00
2025-08-17T19:57:00Z,67.89,34.00
2025-08-17T20:05:00Z,72.00,34.00
2025-08-17T20:06:00Z,77.00,34.00
2025-08-17T20:09:00Z,77.00,34.00
2025-08-17T20:10:00Z,77.00,34.00
2025-08-17T20:13:00Z,77.00,34.00
2025-08-17T20:14:00Z,79.00,34.00
2025-08-17T20:15:00Z,79.00,34.00
2025-08-17T20:17:00Z,79.67,34.00
2025-08-17T20:18:00Z,79.67,21.00
2025-08-17T20:19:00Z,81.96,21.00
2025-08-17T20:21:00Z,80.08,21.00
2025-08-17T20:24:00Z,78.00,23.00
2025-08-17T20:27:00Z,78.00,20.00
2025-08-17T20:28:00Z,80.50,20.00
2025-08-17T20:29:00Z,82.05,20.00
2025-08-17T20:33:00Z,84.74,20.00
2025-08-17T20:35:00Z,83.00,16.50
2025-08-17T20:37:00Z,83.00,25.00
2025-08-17T20:38:00Z,83.00,23.00
2025-08-17T20:41:00Z,76.00,34.38
