# event_ticker=KXATPMATCH-25SEP24HUMBRO
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Jenson Brooksby
# fav_player=Jenson Brooksby
# dog_player=Ugo Humbert
# kalshi_date=2025-09-24
timestamp,Jenson Brooksby,Ugo Humbert
2025-09-24T17:36:00Z,43.00,
2025-09-24T18:56:00Z,43.00,
2025-09-24T18:58:00Z,43.00,58.00
2025-09-24T18:59:00Z,43.00,57.00
2025-09-24T19:27:00Z,45.00,57.00
2025-09-24T19:35:00Z,45.00,56.00
2025-09-24T19:42:00Z,44.00,56.00
2025-09-24T19:54:00Z,44.00,57.00
2025-09-24T20:14:00Z,42.00,57.00
2025-09-24T20:40:00Z,41.00,57.00
2025-09-24T21:11:00Z,41.00,60.00
2025-09-24T21:35:00Z,41.00,60.00
2025-09-24T21:38:00Z,41.00,60.00
2025-09-24T21:49:00Z,41.00,60.00
2025-09-24T22:13:00Z,41.00,60.00
2025-09-24T22:17:00Z,41.00,59.00
2025-09-24T22:30:00Z,41.00,60.00
2025-09-24T22:41:00Z,41.00,60.00
2025-09-24T22:55:00Z,41.00,60.00
2025-09-24T23:00:00Z,41.67,60.00
2025-09-24T23:42:00Z,41.00,60.00
2025-09-24T23:46:00Z,41.00,60.00
2025-09-25T00:01:00Z,41.00,60.00
2025-09-25T00:14:00Z,41.00,60.00
2025-09-25T00:17:00Z,41.00,60.00
2025-09-25T00:27:00Z,41.00,60.00
2025-09-25T00:43:00Z,41.00,59.00
2025-09-25T00:47:00Z,41.00,59.00
2025-09-25T00:48:00Z,41.00,59.00
2025-09-25T00:53:00Z,41.00,60.00
2025-09-25T01:03:00Z,41.00,61.00
2025-09-25T01:06:00Z,41.00,61.00
2025-09-25T01:17:00Z,41.00,61.00
2025-09-25T01:24:00Z,41.00,60.00
2025-09-25T01:26:00Z,41.00,60.27
2025-09-25T01:29:00Z,40.00,61.00
2025-09-25T01:32:00Z,40.00,61.00
2025-09-25T01:33:00Z,40.00,61.00
2025-09-25T01:38:00Z,40.00,61.00
2025-09-25T01:43:00Z,40.00,61.00
2025-09-25T01:46:00Z,40.00,61.00
2025-09-25T01:52:00Z,40.28,61.00
2025-09-25T01:53:00Z,40.28,61.00
2025-09-25T01:54:00Z,40.91,61.00
2025-09-25T01:58:00Z,41.00,61.00
2025-09-25T01:59:00Z,41.00,61.00
2025-09-25T02:00:00Z,41.00,61.00
2025-09-25T02:04:00Z,41.00,61.00
2025-09-25T02:05:00Z,41.00,61.00
2025-09-25T02:07:00Z,40.00,61.00
2025-09-25T02:09:00Z,40.84,61.00
2025-09-25T02:11:00Z,40.00,61.00
2025-09-25T02:12:00Z,40.00,60.90
2025-09-25T02:16:00Z,34.00,63.53
2025-09-25T02:17:00Z,37.75,64.75
2025-09-25T02:18:00Z,41.10,64.75
2025-09-25T02:19:00Z,42.44,58.08
2025-09-25T02:20:00Z,42.44,61.89
2025-09-25T02:21:00Z,39.00,62.82
2025-09-25T02:22:00Z,39.00,65.14
2025-09-25T02:23:00Z,36.00,68.28
2025-09-25T02:24:00Z,38.50,63.34
2025-09-25T02:25:00Z,34.11,69.77
2025-09-25T02:26:00Z,24.00,76.72
2025-09-25T02:27:00Z,23.02,80.00
2025-09-25T02:28:00Z,23.22,78.00
2025-09-25T02:29:00Z,23.22,81.00
2025-09-25T02:30:00Z,23.22,81.00
2025-09-25T02:31:00Z,19.54,80.02
2025-09-25T02:32:00Z,23.00,80.92
2025-09-25T02:33:00Z,21.82,79.86
2025-09-25T02:34:00Z,23.00,77.49
2025-09-25T02:35:00Z,23.40,75.57
2025-09-25T02:36:00Z,28.87,71.00
2025-09-25T02:37:00Z,36.04,66.52
2025-09-25T02:38:00Z,37.00,64.00
2025-09-25T02:39:00Z,39.68,62.58
2025-09-25T02:40:00Z,39.48,59.00
2025-09-25T02:41:00Z,42.27,60.00
2025-09-25T02:42:00Z,45.88,56.08
2025-09-25T02:43:00Z,51.74,49.24
2025-09-25T02:44:00Z,46.00,55.00
2025-09-25T02:45:00Z,50.97,52.11
2025-09-25T02:46:00Z,49.48,51.64
2025-09-25T02:47:00Z,40.00,61.82
2025-09-25T02:48:00Z,40.00,62.22
2025-09-25T02:49:00Z,47.00,65.99
2025-09-25T02:51:00Z,45.00,57.75
2025-09-25T02:52:00Z,43.00,56.95
2025-09-25T02:53:00Z,50.01,52.97
2025-09-25T02:54:00Z,58.74,40.92
2025-09-25T02:55:00Z,59.72,38.95
2025-09-25T02:56:00Z,64.96,35.12
2025-09-25T02:57:00Z,64.56,38.55
2025-09-25T02:58:00Z,60.00,39.78
2025-09-25T02:59:00Z,63.00,39.78
2025-09-25T03:00:00Z,60.08,42.24
2025-09-25T03:01:00Z,48.34,54.28
2025-09-25T03:02:00Z,44.75,55.04
2025-09-25T03:03:00Z,56.00,47.00
2025-09-25T03:04:00Z,58.00,46.00
2025-09-25T03:05:00Z,58.00,60.00
2025-09-25T03:06:00Z,42.00,58.00
2025-09-25T03:07:00Z,46.09,54.17
2025-09-25T03:08:00Z,51.50,56.25
2025-09-25T03:09:00Z,63.15,32.54
2025-09-25T03:10:00Z,68.53,32.41
2025-09-25T03:11:00Z,70.00,35.30
2025-09-25T03:12:00Z,68.52,35.30
2025-09-25T03:13:00Z,70.00,31.23
2025-09-25T03:14:00Z,71.00,30.67
2025-09-25T03:15:00Z,71.39,29.76
2025-09-25T03:16:00Z,73.00,25.25
2025-09-25T03:17:00Z,74.00,24.60
2025-09-25T03:18:00Z,75.43,25.00
2025-09-25T03:19:00Z,75.43,27.67
2025-09-25T03:20:00Z,73.00,30.09
2025-09-25T03:21:00Z,74.89,26.32
2025-09-25T03:22:00Z,74.89,28.00
2025-09-25T03:23:00Z,72.00,28.00
2025-09-25T03:24:00Z,71.00,30.01
2025-09-25T03:25:00Z,76.96,23.07
2025-09-25T03:26:00Z,77.00,24.78
2025-09-25T03:27:00Z,76.72,24.80
2025-09-25T03:28:00Z,76.72,28.49
2025-09-25T03:29:00Z,71.00,30.32
2025-09-25T03:30:00Z,67.03,33.32
2025-09-25T03:31:00Z,67.03,29.69
2025-09-25T03:32:00Z,63.00,35.39
2025-09-25T03:33:00Z,61.00,38.34
2025-09-25T03:34:00Z,59.00,38.34
2025-09-25T03:35:00Z,59.00,36.23
2025-09-25T03:36:00Z,64.44,41.43
2025-09-25T03:37:00Z,68.00,37.12
2025-09-25T03:38:00Z,68.00,30.00
2025-09-25T03:39:00Z,72.00,27.10
2025-09-25T03:40:00Z,76.54,24.30
2025-09-25T03:41:00Z,74.00,27.39
2025-09-25T03:42:00Z,76.00,26.38
2025-09-25T03:43:00Z,76.00,26.18
2025-09-25T03:44:00Z,83.84,20.29
2025-09-25T03:45:00Z,92.41,7.11
2025-09-25T03:46:00Z,96.04,5.05
2025-09-25T03:47:00Z,96.33,2.00
2025-09-25T03:48:00Z,96.33,2.06
2025-09-25T03:49:00Z,97.00,2.04
2025-09-25T03:50:00Z,95.40,3.96
2025-09-25T03:51:00Z,95.40,2.70
2025-09-25T03:52:00Z,94.54,5.00
2025-09-25T03:53:00Z,97.22,4.00
2025-09-25T03:54:00Z,97.89,1.01
2025-09-25T03:55:00Z,99.00,1.54
2025-09-25T03:56:00Z,99.00,1.54
2025-09-25T03:58:00Z,99.00,1.54
2025-09-25T04:00:00Z,99.00,1.54
