# event_ticker=KXATPMATCH-25JUL30CARFRI
# final_score=7-5 7-6(1)
# score_resolution=5-7 6-7
# match_winner=Taylor Fritz
# fav_player=Roberto Carballes Baena
# dog_player=Taylor Fritz
# kalshi_date=2025-07-30
timestamp,Roberto Carballes Baena,Taylor Fritz
2025-07-30T15:40:00Z,8.73,
2025-07-30T16:01:00Z,9.00,
2025-07-30T18:56:00Z,9.00,
2025-07-30T19:14:00Z,9.00,73.00
2025-07-30T19:30:00Z,9.00,73.00
2025-07-30T19:32:00Z,9.00,73.00
2025-07-30T19:57:00Z,10.17,73.00
2025-07-30T20:08:00Z,8.00,73.00
2025-07-30T20:38:00Z,8.00,73.00
2025-07-30T21:06:00Z,8.00,73.00
2025-07-30T21:54:00Z,8.00,73.00
2025-07-30T22:15:00Z,8.00,73.00
2025-07-30T22:20:00Z,8.00,93.00
2025-07-30T22:25:00Z,8.69,93.00
2025-07-30T22:31:00Z,9.00,93.00
2025-07-30T22:37:00Z,9.00,93.00
2025-07-30T22:38:00Z,9.00,93.00
2025-07-30T22:41:00Z,9.00,93.00
2025-07-30T23:05:00Z,9.00,93.00
2025-07-30T23:13:00Z,9.00,93.00
2025-07-30T23:23:00Z,9.00,93.00
2025-07-30T23:24:00Z,9.00,93.00
2025-07-30T23:53:00Z,9.00,93.00
2025-07-30T23:56:00Z,9.00,92.00
2025-07-30T23:58:00Z,9.00,92.00
2025-07-31T00:01:00Z,9.00,92.00
2025-07-31T00:03:00Z,9.00,93.02
2025-07-31T00:05:00Z,9.00,94.00
2025-07-31T00:06:00Z,8.00,94.00
2025-07-31T00:07:00Z,8.00,94.00
2025-07-31T00:11:00Z,8.00,94.00
2025-07-31T00:15:00Z,8.00,94.00
2025-07-31T00:17:00Z,8.00,92.00
2025-07-31T00:19:00Z,8.00,92.00
2025-07-31T00:23:00Z,8.00,92.00
2025-07-31T00:28:00Z,8.00,92.00
2025-07-31T00:29:00Z,8.00,92.00
2025-07-31T00:30:00Z,8.00,92.00
2025-07-31T00:33:00Z,8.00,92.00
2025-07-31T00:39:00Z,8.00,92.00
2025-07-31T00:41:00Z,8.00,92.00
2025-07-31T00:42:00Z,8.00,92.00
2025-07-31T00:48:00Z,8.00,94.00
2025-07-31T00:50:00Z,7.00,94.00
2025-07-31T00:52:00Z,7.00,94.00
2025-07-31T00:56:00Z,7.00,94.00
2025-07-31T00:57:00Z,7.00,94.00
2025-07-31T00:59:00Z,7.35,94.00
2025-07-31T01:00:00Z,8.00,94.00
2025-07-31T01:03:00Z,8.00,92.00
2025-07-31T01:05:00Z,8.00,92.00
2025-07-31T01:06:00Z,8.00,93.00
2025-07-31T01:07:00Z,8.00,94.00
2025-07-31T01:08:00Z,8.00,94.00
2025-07-31T01:09:00Z,8.00,94.00
2025-07-31T01:10:00Z,8.00,94.00
2025-07-31T01:11:00Z,7.00,94.00
2025-07-31T01:12:00Z,7.00,94.00
2025-07-31T01:14:00Z,8.00,94.00
2025-07-31T01:15:00Z,6.00,94.00
2025-07-31T01:16:00Z,6.15,93.00
2025-07-31T01:17:00Z,6.35,93.00
2025-07-31T01:24:00Z,8.00,95.00
2025-07-31T01:25:00Z,8.78,93.00
2025-07-31T01:26:00Z,10.00,90.00
2025-07-31T01:27:00Z,13.22,88.00
