# event_ticker=KXATPMATCH-25JUL21HANNEU
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Yannick Hanfmann
# fav_player=Lukas Neumayer
# dog_player=Yannick Hanfmann
# kalshi_date=2025-07-21
timestamp,Lukas Neumayer,Yannick Hanfmann
2025-07-21T23:16:00Z,,46.25
2025-07-21T23:17:00Z,34.00,46.25
2025-07-21T23:51:00Z,34.00,65.00
2025-07-22T00:43:00Z,34.00,65.00
2025-07-22T00:59:00Z,34.00,65.00
2025-07-22T01:18:00Z,34.00,65.00
2025-07-22T01:23:00Z,34.00,65.00
2025-07-22T01:24:00Z,34.00,65.00
2025-07-22T01:29:00Z,34.00,64.00
2025-07-22T01:38:00Z,34.00,65.00
2025-07-22T01:40:00Z,34.00,65.00
2025-07-22T01:59:00Z,23.20,65.00
2025-07-22T02:08:00Z,23.20,67.00
2025-07-22T02:17:00Z,23.20,67.00
2025-07-22T02:26:00Z,23.20,67.00
2025-07-22T02:34:00Z,34.00,67.00
2025-07-22T02:47:00Z,34.00,68.00
2025-07-22T02:48:00Z,34.00,68.00
2025-07-22T02:51:00Z,34.00,68.00
2025-07-22T02:54:00Z,34.00,68.00
2025-07-22T02:55:00Z,34.00,68.00
2025-07-22T03:17:00Z,34.00,68.00
2025-07-22T03:28:00Z,34.00,68.00
2025-07-22T03:32:00Z,34.00,68.00
2025-07-22T03:38:00Z,34.00,68.00
2025-07-22T03:44:00Z,34.00,68.00
2025-07-22T03:48:00Z,34.10,68.00
2025-07-22T04:01:00Z,35.00,67.70
2025-07-22T04:03:00Z,34.00,67.70
2025-07-22T04:07:00Z,34.00,68.00
2025-07-22T04:09:00Z,34.00,68.00
2025-07-22T04:11:00Z,34.00,68.00
2025-07-22T04:20:00Z,34.00,68.00
2025-07-22T04:23:00Z,34.00,67.00
2025-07-22T04:26:00Z,34.00,67.00
2025-07-22T04:31:00Z,34.00,67.00
2025-07-22T04:34:00Z,34.00,67.00
2025-07-22T04:35:00Z,34.00,67.00
2025-07-22T04:36:00Z,34.00,67.00
2025-07-22T04:37:00Z,34.00,67.00
2025-07-22T04:38:00Z,34.00,67.00
2025-07-22T04:43:00Z,34.00,67.00
2025-07-22T04:45:00Z,34.00,67.00
2025-07-22T04:49:00Z,34.00,67.00
2025-07-22T04:50:00Z,35.00,67.00
2025-07-22T04:51:00Z,35.00,67.00
2025-07-22T04:52:00Z,35.00,67.00
2025-07-22T04:53:00Z,35.00,67.07
2025-07-22T05:00:00Z,35.00,67.47
2025-07-22T05:01:00Z,35.00,67.00
2025-07-22T05:10:00Z,34.00,67.00
2025-07-22T05:14:00Z,34.00,67.00
2025-07-22T05:15:00Z,34.00,67.00
2025-07-22T05:17:00Z,34.00,67.97
2025-07-22T05:20:00Z,34.00,68.00
2025-07-22T05:28:00Z,34.00,69.45
2025-07-22T05:34:00Z,31.00,70.00
2025-07-22T05:39:00Z,31.00,70.00
2025-07-22T05:46:00Z,31.00,70.00
2025-07-22T05:50:00Z,31.37,70.00
2025-07-22T05:52:00Z,32.00,70.00
2025-07-22T06:02:00Z,32.00,70.00
2025-07-22T06:06:00Z,32.00,70.00
2025-07-22T06:14:00Z,32.00,70.00
2025-07-22T06:18:00Z,32.00,70.00
2025-07-22T06:19:00Z,32.00,70.00
2025-07-22T06:33:00Z,32.00,70.00
2025-07-22T06:34:00Z,32.00,70.00
2025-07-22T06:47:00Z,32.00,70.00
2025-07-22T06:55:00Z,32.00,70.00
2025-07-22T06:56:00Z,32.00,70.00
2025-07-22T07:00:00Z,32.00,70.00
2025-07-22T12:01:00Z,1.00,87.68
