# event_ticker=KXATPCHALLENGERMATCH-26FEB15COLBON
# final_score=7-6(5) 6-1
# score_resolution=6-7 1-6
# match_winner=Raphael Collignon
# fav_player=Benjamin Bonzi
# dog_player=Raphael Collignon
# kalshi_date=2026-02-15
timestamp,Benjamin Bonzi,Raphael Collignon
2026-02-15T02:46:00Z,,61.00
2026-02-15T02:48:00Z,,61.00
2026-02-15T02:51:00Z,,62.00
2026-02-15T03:04:00Z,41.00,62.00
2026-02-15T03:08:00Z,41.00,60.50
2026-02-15T04:05:00Z,41.00,62.00
2026-02-15T04:16:00Z,41.00,62.00
2026-02-15T04:18:00Z,41.00,60.00
2026-02-15T04:19:00Z,41.00,59.00
2026-02-15T04:50:00Z,41.00,62.00
2026-02-15T05:05:00Z,41.00,62.00
2026-02-15T05:09:00Z,41.00,62.00
2026-02-15T05:19:00Z,41.00,62.00
2026-02-15T05:20:00Z,41.00,62.00
2026-02-15T05:31:00Z,41.00,62.00
2026-02-15T05:36:00Z,41.00,62.00
2026-02-15T05:52:00Z,41.00,62.00
2026-02-15T06:05:00Z,41.00,62.00
2026-02-15T06:06:00Z,41.00,62.00
2026-02-15T06:10:00Z,41.00,62.00
2026-02-15T06:11:00Z,41.00,62.00
2026-02-15T06:13:00Z,41.00,62.00
2026-02-15T06:28:00Z,41.00,62.00
2026-02-15T06:36:00Z,41.00,62.00
2026-02-15T06:38:00Z,41.00,62.00
2026-02-15T06:45:00Z,41.00,60.00
2026-02-15T07:06:00Z,38.00,60.00
2026-02-15T07:18:00Z,38.00,63.00
2026-02-15T07:20:00Z,38.00,63.00
2026-02-15T07:22:00Z,38.00,63.00
2026-02-15T07:27:00Z,38.00,63.00
2026-02-15T07:38:00Z,38.00,63.00
2026-02-15T07:43:00Z,38.00,63.00
2026-02-15T07:48:00Z,38.00,63.00
2026-02-15T08:00:00Z,38.00,63.00
2026-02-15T08:09:00Z,38.00,63.00
2026-02-15T08:27:00Z,38.00,65.00
2026-02-15T08:33:00Z,38.00,65.00
2026-02-15T08:45:00Z,38.00,65.00
2026-02-15T08:50:00Z,38.00,65.00
2026-02-15T08:53:00Z,38.00,65.00
2026-02-15T09:18:00Z,38.00,65.00
2026-02-15T10:04:00Z,38.00,65.00
2026-02-15T10:07:00Z,38.00,65.00
2026-02-15T10:11:00Z,38.00,65.00
2026-02-15T10:24:00Z,37.00,65.00
2026-02-15T10:54:00Z,37.00,65.00
2026-02-15T11:12:00Z,36.00,65.00
2026-02-15T11:27:00Z,36.00,68.00
2026-02-15T11:49:00Z,36.00,69.00
2026-02-15T12:05:00Z,36.00,69.00
2026-02-15T12:14:00Z,36.00,69.00
2026-02-15T12:23:00Z,36.00,69.00
2026-02-15T12:24:00Z,34.00,69.00
2026-02-15T12:28:00Z,34.00,69.00
2026-02-15T12:37:00Z,34.00,69.00
2026-02-15T12:47:00Z,34.00,69.00
2026-02-15T12:53:00Z,34.00,69.00
2026-02-15T12:59:00Z,34.00,69.00
2026-02-15T13:01:00Z,34.00,70.00
2026-02-15T13:11:00Z,34.00,70.00
2026-02-15T13:14:00Z,34.00,70.00
2026-02-15T13:18:00Z,34.00,70.00
2026-02-15T13:23:00Z,34.00,70.00
2026-02-15T13:30:00Z,34.00,70.00
2026-02-15T13:34:00Z,34.00,70.00
2026-02-15T13:39:00Z,34.00,70.00
2026-02-15T13:43:00Z,34.00,70.00
2026-02-15T13:45:00Z,34.00,70.00
2026-02-15T13:47:00Z,34.00,70.00
2026-02-15T13:49:00Z,34.00,70.00
2026-02-15T13:50:00Z,34.00,68.11
2026-02-15T13:53:00Z,34.00,70.00
2026-02-15T14:01:00Z,30.00,70.00
2026-02-15T14:02:00Z,30.00,72.00
2026-02-15T14:03:00Z,30.00,72.00
2026-02-15T14:05:00Z,30.00,71.00
2026-02-15T14:06:00Z,30.00,71.00
2026-02-15T14:07:00Z,30.07,71.00
2026-02-15T14:08:00Z,30.07,72.00
2026-02-15T14:09:00Z,30.00,72.00
2026-02-15T14:10:00Z,30.00,72.00
2026-02-15T14:12:00Z,30.00,72.00
2026-02-15T14:13:00Z,30.00,72.00
2026-02-15T14:15:00Z,30.16,72.00
2026-02-15T14:16:00Z,33.00,69.62
2026-02-15T14:17:00Z,35.43,69.62
2026-02-15T14:18:00Z,33.10,68.36
2026-02-15T14:19:00Z,36.48,65.47
2026-02-15T14:20:00Z,39.76,62.09
