# event_ticker=KXATPCHALLENGERMATCH-26MAY13DAMDIM
# final_score=7-6(3) 7-6(7)
# score_resolution=7-6 7-6
# match_winner=Martin Damm
# fav_player=Martin Damm Jr
# dog_player=Grigor Dimitrov
# kalshi_date=2026-05-13
timestamp,Martin Damm Jr,Grigor Dimitrov
2026-05-13T03:58:00Z,,65.75
2026-05-13T04:12:00Z,,65.00
2026-05-13T04:45:00Z,42.00,65.00
2026-05-13T04:52:00Z,42.00,65.00
2026-05-13T04:54:00Z,42.00,65.00
2026-05-13T04:55:00Z,42.00,65.00
2026-05-13T05:01:00Z,41.00,65.00
2026-05-13T05:24:00Z,41.88,61.38
2026-05-13T05:25:00Z,42.00,61.38
2026-05-13T05:26:00Z,42.00,61.38
2026-05-13T05:30:00Z,42.00,64.00
2026-05-13T05:36:00Z,42.00,64.00
2026-05-13T05:57:00Z,42.00,64.00
2026-05-13T05:58:00Z,43.00,64.00
2026-05-13T06:02:00Z,36.74,64.00
2026-05-13T06:10:00Z,36.74,58.00
2026-05-13T06:17:00Z,36.74,64.30
2026-05-13T07:23:00Z,41.00,64.30
2026-05-13T07:40:00Z,41.00,64.00
2026-05-13T07:47:00Z,37.00,64.00
2026-05-13T07:48:00Z,36.00,64.00
2026-05-13T08:01:00Z,40.00,64.00
2026-05-13T08:11:00Z,40.00,64.00
2026-05-13T08:45:00Z,39.00,64.00
2026-05-13T08:56:00Z,40.00,64.00
2026-05-13T08:59:00Z,40.00,64.00
2026-05-13T10:04:00Z,40.00,59.00
2026-05-13T10:18:00Z,40.00,59.00
2026-05-13T12:25:00Z,42.21,59.00
2026-05-13T12:34:00Z,42.00,59.00
2026-05-13T12:37:00Z,42.05,59.00
2026-05-13T12:38:00Z,43.00,59.00
2026-05-13T12:39:00Z,43.00,59.00
2026-05-13T12:41:00Z,43.00,59.00
2026-05-13T12:50:00Z,42.00,59.00
2026-05-13T12:51:00Z,42.00,60.00
2026-05-13T12:54:00Z,42.00,60.00
2026-05-13T12:56:00Z,43.00,60.00
2026-05-13T12:58:00Z,43.00,57.00
2026-05-13T13:00:00Z,43.00,62.27
2026-05-13T13:02:00Z,43.00,62.27
2026-05-13T13:03:00Z,39.00,62.27
2026-05-13T13:06:00Z,42.65,62.27
2026-05-13T13:09:00Z,43.00,62.27
2026-05-13T13:16:00Z,43.00,62.27
2026-05-13T13:19:00Z,42.00,60.00
2026-05-13T13:21:00Z,42.00,60.00
2026-05-13T13:31:00Z,42.00,60.00
2026-05-13T13:37:00Z,42.00,60.00
2026-05-13T13:41:00Z,41.00,60.00
2026-05-13T13:44:00Z,41.00,60.00
2026-05-13T13:46:00Z,41.00,60.00
2026-05-13T13:49:00Z,41.00,60.00
2026-05-13T13:52:00Z,41.00,61.00
2026-05-13T13:53:00Z,41.00,61.00
2026-05-13T13:55:00Z,41.00,61.00
2026-05-13T13:58:00Z,41.00,60.00
2026-05-13T14:00:00Z,41.00,60.00
2026-05-13T14:04:00Z,41.00,60.00
2026-05-13T14:06:00Z,42.00,60.00
2026-05-13T14:07:00Z,42.00,61.00
2026-05-13T14:08:00Z,42.00,61.00
2026-05-13T14:11:00Z,42.00,61.00
2026-05-13T14:15:00Z,41.56,61.00
2026-05-13T14:17:00Z,42.00,61.00
2026-05-13T14:22:00Z,42.00,61.00
2026-05-13T14:23:00Z,42.00,61.00
2026-05-13T14:24:00Z,42.00,61.00
2026-05-13T14:29:00Z,41.00,61.00
