# event_ticker=KXATPCHALLENGERMATCH-26APR21KOTKUK
# final_score=1-6 6-2 6-3
# match_winner=Mikhail Kukushkin
# fav_player=Mikhail Kukushkin
# dog_player=Pavel Kotov
# kalshi_date=2026-04-21
timestamp,Pavel Kotov,Mikhail Kukushkin
2026-04-20T18:37:00Z,59.00,
2026-04-20T19:01:00Z,59.00,
2026-04-20T20:35:00Z,59.64,
2026-04-20T21:05:00Z,60.00,
2026-04-20T21:27:00Z,60.00,
2026-04-20T21:34:00Z,60.00,
2026-04-20T22:06:00Z,60.00,42.00
2026-04-20T23:09:00Z,60.00,42.00
2026-04-20T23:41:00Z,60.98,42.00
2026-04-21T00:18:00Z,60.74,42.00
2026-04-21T00:22:00Z,61.00,42.00
2026-04-21T00:53:00Z,61.00,42.00
2026-04-21T01:12:00Z,61.00,42.00
2026-04-21T01:13:00Z,61.00,42.00
2026-04-21T01:15:00Z,61.00,42.00
2026-04-21T01:20:00Z,61.00,42.00
2026-04-21T01:29:00Z,61.00,42.00
2026-04-21T01:32:00Z,61.00,42.00
2026-04-21T01:37:00Z,61.00,42.00
2026-04-21T01:42:00Z,61.00,42.00
2026-04-21T01:50:00Z,61.00,42.00
2026-04-21T01:59:00Z,61.00,42.00
2026-04-21T02:16:00Z,61.00,42.00
2026-04-21T03:01:00Z,61.00,42.00
2026-04-21T03:08:00Z,61.00,42.00
2026-04-21T03:13:00Z,60.00,42.00
2026-04-21T03:17:00Z,61.00,42.00
2026-04-21T03:33:00Z,61.00,42.00
2026-04-21T03:41:00Z,61.00,42.00
2026-04-21T03:49:00Z,61.00,42.00
2026-04-21T03:51:00Z,61.00,42.00
2026-04-21T03:55:00Z,61.00,42.00
2026-04-21T04:06:00Z,60.50,41.00
2026-04-21T04:10:00Z,60.00,41.00
2026-04-21T04:14:00Z,61.00,41.00
2026-04-21T04:23:00Z,61.00,41.00
2026-04-21T04:24:00Z,61.00,41.00
2026-04-21T04:27:00Z,61.00,39.00
2026-04-21T04:30:00Z,61.00,39.00
2026-04-21T04:31:00Z,61.00,39.00
2026-04-21T04:37:00Z,61.00,39.00
2026-04-21T04:39:00Z,61.00,39.00
2026-04-21T04:40:00Z,61.00,39.00
2026-04-21T04:45:00Z,61.00,39.00
2026-04-21T04:49:00Z,61.00,39.00
