# event_ticker=KXATPCHALLENGERMATCH-26APR22KENNIS
# final_score=6-3 6-7(3) 6-0
# score_resolution=3-6 7-6 0-6
# match_winner=Jack Kennedy
# fav_player=Kei Nishikori
# dog_player=Jack Kennedy
# kalshi_date=2026-04-22
timestamp,Jack Kennedy,Kei Nishikori
2026-04-22T05:07:00Z,,69.00
2026-04-22T05:22:00Z,,70.00
2026-04-22T05:24:00Z,,69.00
2026-04-22T05:27:00Z,36.00,69.00
2026-04-22T06:00:00Z,35.00,67.00
2026-04-22T06:25:00Z,36.14,67.00
2026-04-22T06:49:00Z,36.14,67.99
2026-04-22T07:16:00Z,38.00,67.99
2026-04-22T07:17:00Z,38.00,67.99
2026-04-22T07:24:00Z,38.00,67.99
2026-04-22T07:27:00Z,32.00,67.99
2026-04-22T07:29:00Z,35.00,67.99
2026-04-22T07:57:00Z,36.00,67.99
2026-04-22T08:16:00Z,36.00,67.99
2026-04-22T08:35:00Z,38.00,67.99
2026-04-22T08:37:00Z,38.00,67.99
2026-04-22T08:41:00Z,33.00,67.99
2026-04-22T09:18:00Z,33.00,69.00
2026-04-22T09:32:00Z,33.00,69.00
2026-04-22T09:39:00Z,34.00,69.00
2026-04-22T09:40:00Z,34.86,69.00
2026-04-22T09:48:00Z,34.00,69.00
2026-04-22T09:58:00Z,34.00,67.00
2026-04-22T10:38:00Z,32.42,67.00
2026-04-22T10:52:00Z,31.00,67.00
2026-04-22T11:04:00Z,31.00,67.00
2026-04-22T11:25:00Z,31.33,67.00
2026-04-22T11:28:00Z,31.59,67.00
2026-04-22T11:31:00Z,32.00,67.00
2026-04-22T11:43:00Z,32.00,71.00
2026-04-22T12:02:00Z,31.00,71.00
2026-04-22T12:10:00Z,31.00,71.00
2026-04-22T12:12:00Z,31.00,71.00
2026-04-22T12:16:00Z,31.00,71.00
2026-04-22T12:34:00Z,31.00,71.00
2026-04-22T12:39:00Z,31.00,71.00
2026-04-22T12:41:00Z,31.00,71.00
2026-04-22T12:42:00Z,31.00,71.00
2026-04-22T13:13:00Z,30.90,71.00
2026-04-22T13:20:00Z,31.00,71.00
