# event_ticker=KXATPMATCH-26APR02MOUTRU
# final_score=4-6 6-3 6-4
# score_resolution=6-4 3-6 4-6
# match_winner=Marco Trungelliti
# fav_player=Corentin Moutet
# dog_player=Marco Trungelliti
# kalshi_date=2026-04-02
timestamp,Corentin Moutet,Marco Trungelliti
2026-04-02T23:47:00Z,70.00,
2026-04-03T00:01:00Z,69.00,
2026-04-03T00:26:00Z,69.00,
2026-04-03T02:38:00Z,70.00,
2026-04-03T02:40:00Z,70.00,
2026-04-03T02:52:00Z,70.00,
2026-04-03T02:58:00Z,70.00,
2026-04-03T03:25:00Z,70.00,31.00
2026-04-03T04:27:00Z,70.00,31.00
2026-04-03T04:36:00Z,68.00,31.00
2026-04-03T04:45:00Z,70.00,31.00
2026-04-03T04:46:00Z,70.00,31.00
2026-04-03T04:48:00Z,70.00,31.00
2026-04-03T04:50:00Z,70.00,31.00
2026-04-03T04:52:00Z,70.00,31.00
2026-04-03T05:05:00Z,70.00,31.00
2026-04-03T05:06:00Z,70.00,31.00
2026-04-03T05:13:00Z,70.00,31.00
2026-04-03T05:18:00Z,70.00,31.00
2026-04-03T05:30:00Z,69.00,31.00
2026-04-03T05:34:00Z,69.00,31.37
2026-04-03T05:52:00Z,69.00,31.37
2026-04-03T05:56:00Z,69.00,31.37
2026-04-03T06:04:00Z,69.78,31.37
2026-04-03T06:06:00Z,69.78,31.00
2026-04-03T06:10:00Z,70.00,31.00
2026-04-03T06:11:00Z,70.00,31.00
2026-04-03T06:13:00Z,70.00,31.00
2026-04-03T06:20:00Z,70.00,31.00
2026-04-03T06:22:00Z,70.00,31.00
2026-04-03T06:24:00Z,70.00,32.00
2026-04-03T06:29:00Z,69.00,32.00
2026-04-03T06:40:00Z,69.00,32.00
2026-04-03T06:57:00Z,69.00,32.00
2026-04-03T07:00:00Z,69.00,32.00
2026-04-03T07:06:00Z,69.00,32.00
2026-04-03T07:08:00Z,69.00,32.00
2026-04-03T07:13:00Z,69.00,32.00
2026-04-03T07:16:00Z,69.00,32.00
2026-04-03T07:25:00Z,69.00,32.00
2026-04-03T07:59:00Z,69.00,32.00
2026-04-03T08:35:00Z,69.00,32.00
2026-04-03T08:37:00Z,69.00,32.00
2026-04-03T08:51:00Z,69.00,32.00
2026-04-03T08:53:00Z,69.00,32.00
2026-04-03T08:55:00Z,69.00,32.00
2026-04-03T09:05:00Z,69.00,32.00
2026-04-03T09:09:00Z,69.11,32.00
2026-04-03T09:15:00Z,70.00,32.00
2026-04-03T09:19:00Z,70.64,32.00
2026-04-03T09:35:00Z,70.00,32.00
2026-04-03T09:36:00Z,70.00,32.00
2026-04-03T09:37:00Z,70.00,32.00
2026-04-03T09:39:00Z,70.00,32.00
2026-04-03T09:42:00Z,69.00,32.00
2026-04-03T09:43:00Z,70.00,32.00
2026-04-03T09:51:00Z,69.00,32.00
2026-04-03T09:52:00Z,67.58,32.00
2026-04-03T09:54:00Z,67.00,32.00
2026-04-03T09:55:00Z,67.00,33.00
2026-04-03T09:58:00Z,67.00,34.00
2026-04-03T09:59:00Z,67.00,34.00
2026-04-03T10:01:00Z,67.00,34.00
