# event_ticker=KXATPMATCH-25JUL16MAJBUS
# final_score=1-6 7-5 6-1
# match_winner=Ignacio Buse
# fav_player=Ignacio Buse
# dog_player=Kamil Majchrzak
# kalshi_date=2025-07-16
timestamp,Ignacio Buse,Kamil Majchrzak
2025-07-15T22:34:00Z,,62.00
2025-07-16T00:32:00Z,39.00,62.00
2025-07-16T01:05:00Z,39.00,62.00
2025-07-16T01:12:00Z,39.00,62.00
2025-07-16T02:14:00Z,39.00,62.00
2025-07-16T02:21:00Z,39.00,62.00
2025-07-16T03:02:00Z,39.00,16.00
2025-07-16T03:07:00Z,39.00,62.00
2025-07-16T03:18:00Z,39.00,62.00
2025-07-16T03:55:00Z,39.00,62.00
2025-07-16T03:59:00Z,39.00,62.07
2025-07-16T04:03:00Z,39.00,63.00
2025-07-16T04:06:00Z,39.00,63.00
2025-07-16T04:07:00Z,39.00,63.00
2025-07-16T04:19:00Z,39.00,63.00
2025-07-16T04:20:00Z,39.00,63.00
2025-07-16T04:27:00Z,39.00,63.00
2025-07-16T04:33:00Z,39.00,63.00
2025-07-16T04:34:00Z,39.00,63.00
2025-07-16T04:36:00Z,39.00,63.00
2025-07-16T04:44:00Z,39.00,63.00
2025-07-16T04:48:00Z,39.00,63.00
2025-07-16T04:50:00Z,39.00,63.00
2025-07-16T04:53:00Z,39.00,63.00
2025-07-16T04:59:00Z,39.00,63.00
2025-07-16T05:01:00Z,39.00,63.00
2025-07-16T05:02:00Z,39.00,63.00
2025-07-16T05:20:00Z,36.00,63.00
2025-07-16T05:31:00Z,36.00,63.00
2025-07-16T05:38:00Z,36.00,63.00
2025-07-16T05:51:00Z,36.00,63.00
2025-07-16T05:57:00Z,36.00,63.00
2025-07-16T06:14:00Z,36.00,63.00
2025-07-16T06:31:00Z,36.00,65.00
2025-07-16T06:37:00Z,36.00,65.00
2025-07-16T06:44:00Z,36.00,65.00
2025-07-16T06:57:00Z,36.00,65.00
2025-07-16T06:58:00Z,36.02,65.00
2025-07-16T06:59:00Z,37.00,65.00
2025-07-16T07:00:00Z,38.00,65.00
2025-07-16T12:01:00Z,41.25,60.00
