# event_ticker=KXATPCHALLENGERMATCH-26MAY13ABOHUE
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Valerio Aboian
# fav_player=Arklon Huertas Del Pino Cordova
# dog_player=Valerio Aboian
# kalshi_date=2026-05-13
timestamp,Valerio Aboian,Arklon Huertas Del Pino Cordova
2026-05-13T04:24:00Z,64.00,
2026-05-13T05:08:00Z,64.00,
2026-05-13T05:35:00Z,64.00,
2026-05-13T06:07:00Z,65.00,
2026-05-13T12:40:00Z,69.00,33.00
2026-05-13T13:53:00Z,63.00,33.00
2026-05-13T14:10:00Z,67.25,33.00
2026-05-13T14:12:00Z,67.00,33.00
2026-05-13T14:20:00Z,67.00,39.00
2026-05-13T14:21:00Z,62.00,39.00
2026-05-13T14:33:00Z,67.00,39.00
2026-05-13T14:49:00Z,67.00,39.00
2026-05-13T14:55:00Z,68.00,39.00
2026-05-13T15:01:00Z,68.00,39.00
2026-05-13T15:08:00Z,68.00,39.00
2026-05-13T15:10:00Z,68.00,36.00
2026-05-13T15:11:00Z,69.98,32.00
2026-05-13T15:16:00Z,69.95,33.96
2026-05-13T15:27:00Z,69.83,32.00
2026-05-13T15:37:00Z,69.97,32.00
2026-05-13T15:54:00Z,70.00,32.00
2026-05-13T15:59:00Z,79.50,22.00
2026-05-13T16:00:00Z,80.78,19.67
2026-05-13T16:01:00Z,89.94,19.67
2026-05-13T16:02:00Z,89.00,19.67
2026-05-13T16:04:00Z,89.00,20.00
2026-05-13T16:05:00Z,78.00,20.00
2026-05-13T16:06:00Z,84.99,24.00
2026-05-13T16:07:00Z,87.42,14.78
2026-05-13T16:08:00Z,91.00,16.00
2026-05-13T16:09:00Z,92.68,9.18
2026-05-13T16:10:00Z,90.96,11.04
2026-05-13T16:11:00Z,93.00,8.06
2026-05-13T16:12:00Z,89.65,11.76
2026-05-13T16:13:00Z,90.51,16.00
2026-05-13T16:14:00Z,91.00,16.00
2026-05-13T16:15:00Z,89.38,16.00
2026-05-13T16:16:00Z,89.38,16.00
2026-05-13T16:17:00Z,94.84,11.00
2026-05-13T16:18:00Z,96.00,11.00
2026-05-13T16:19:00Z,94.92,11.01
2026-05-13T16:20:00Z,94.92,12.00
2026-05-13T16:21:00Z,94.92,12.00
2026-05-13T16:22:00Z,87.81,12.00
2026-05-13T16:23:00Z,92.00,12.00
2026-05-13T16:24:00Z,92.00,12.00
2026-05-13T16:25:00Z,92.00,14.00
2026-05-13T16:26:00Z,92.00,14.00
2026-05-13T16:28:00Z,92.00,14.00
2026-05-13T16:29:00Z,92.00,13.96
2026-05-13T16:30:00Z,89.00,14.00
2026-05-13T16:32:00Z,89.00,14.00
2026-05-13T16:33:00Z,88.22,14.00
2026-05-13T16:34:00Z,89.67,10.57
2026-05-13T16:35:00Z,95.00,5.93
2026-05-13T16:36:00Z,95.00,10.00
2026-05-13T16:37:00Z,95.00,10.00
2026-05-13T16:38:00Z,95.00,10.00
2026-05-13T16:39:00Z,95.00,10.16
2026-05-13T16:40:00Z,94.00,10.16
2026-05-13T16:41:00Z,87.00,10.16
2026-05-13T16:42:00Z,87.00,13.00
2026-05-13T16:43:00Z,92.00,13.06
2026-05-13T16:44:00Z,87.93,14.00
2026-05-13T16:45:00Z,89.00,17.47
2026-05-13T16:46:00Z,90.12,15.69
2026-05-13T16:47:00Z,92.76,10.34
2026-05-13T16:48:00Z,89.04,11.83
2026-05-13T16:49:00Z,89.04,12.00
2026-05-13T16:50:00Z,89.49,12.00
2026-05-13T16:51:00Z,94.00,10.00
2026-05-13T16:52:00Z,93.00,12.00
2026-05-13T16:53:00Z,92.63,12.00
2026-05-13T16:54:00Z,93.00,13.00
2026-05-13T16:55:00Z,93.00,13.00
2026-05-13T16:56:00Z,89.06,11.00
2026-05-13T16:57:00Z,90.48,11.00
2026-05-13T16:58:00Z,91.00,11.00
2026-05-13T16:59:00Z,91.00,7.72
2026-05-13T17:00:00Z,91.00,7.72
2026-05-13T17:01:00Z,91.00,11.43
2026-05-13T17:02:00Z,91.00,12.00
2026-05-13T17:03:00Z,91.00,12.00
2026-05-13T17:04:00Z,90.92,13.17
2026-05-13T17:05:00Z,93.00,13.17
2026-05-13T17:06:00Z,93.00,12.00
2026-05-13T17:07:00Z,92.42,12.00
2026-05-13T17:08:00Z,92.58,10.59
2026-05-13T17:09:00Z,94.08,4.91
2026-05-13T17:10:00Z,95.72,7.00
2026-05-13T17:11:00Z,96.00,4.50
2026-05-13T17:12:00Z,95.83,4.50
2026-05-13T17:13:00Z,95.08,7.98
2026-05-13T17:14:00Z,96.00,7.98
2026-05-13T17:15:00Z,96.00,7.98
2026-05-13T17:16:00Z,96.00,7.98
2026-05-13T17:17:00Z,96.00,4.00
2026-05-13T17:19:00Z,98.37,3.79
2026-05-13T17:21:00Z,98.12,3.00
2026-05-13T17:22:00Z,98.46,4.00
2026-05-13T17:23:00Z,98.46,3.99
2026-05-13T17:24:00Z,98.46,1.63
2026-05-13T17:25:00Z,99.00,1.63
2026-05-13T17:26:00Z,98.16,1.70
2026-05-13T17:27:00Z,99.00,1.70
2026-05-13T17:28:00Z,95.81,8.00
2026-05-13T17:29:00Z,95.81,7.00
2026-05-13T17:30:00Z,95.81,7.00
2026-05-13T17:31:00Z,95.81,6.00
2026-05-13T17:32:00Z,98.67,5.00
2026-05-13T17:33:00Z,99.00,5.00
2026-05-13T17:36:00Z,99.00,5.00
2026-05-13T17:37:00Z,99.00,5.00
