# event_ticker=KXATPCHALLENGERMATCH-26MAR23NEDSEL
# final_score=6-1 6-4
# match_winner=Andrej Nedic
# fav_player=Andrej Nedic
# dog_player=Jelle Sels
# kalshi_date=2026-03-23
timestamp,Andrej Nedic,Jelle Sels
2026-03-23T02:47:00Z,70.00,
2026-03-23T03:56:00Z,72.00,
2026-03-23T03:59:00Z,72.00,30.00
2026-03-23T04:00:00Z,72.00,30.00
2026-03-23T04:09:00Z,72.00,30.00
2026-03-23T04:35:00Z,72.00,30.00
2026-03-23T04:59:00Z,72.00,30.00
2026-03-23T05:02:00Z,72.00,30.00
2026-03-23T05:45:00Z,72.00,30.00
2026-03-23T05:55:00Z,72.00,30.00
2026-03-23T06:31:00Z,72.00,30.00
2026-03-23T06:44:00Z,72.00,30.00
2026-03-23T06:46:00Z,72.45,30.00
2026-03-23T09:36:00Z,72.45,29.00
2026-03-23T10:52:00Z,72.00,29.00
2026-03-23T11:05:00Z,72.00,29.00
2026-03-23T11:14:00Z,72.00,29.00
2026-03-23T11:23:00Z,72.00,28.00
2026-03-23T12:06:00Z,73.00,28.00
2026-03-23T12:11:00Z,73.00,28.00
2026-03-23T12:21:00Z,73.00,28.00
2026-03-23T12:34:00Z,73.00,29.00
2026-03-23T12:38:00Z,72.00,29.00
2026-03-23T12:40:00Z,72.00,29.00
2026-03-23T12:45:00Z,72.00,29.00
2026-03-23T12:47:00Z,72.00,29.00
2026-03-23T12:53:00Z,72.00,29.00
2026-03-23T12:56:00Z,72.00,29.00
2026-03-23T12:57:00Z,72.00,29.00
2026-03-23T13:00:00Z,72.00,29.00
2026-03-23T13:03:00Z,72.00,29.00
2026-03-23T13:08:00Z,72.00,29.00
2026-03-23T13:10:00Z,72.00,29.00
2026-03-23T13:13:00Z,72.00,29.00
2026-03-23T13:14:00Z,72.00,29.00
2026-03-23T13:15:00Z,72.00,29.00
2026-03-23T13:16:00Z,72.00,29.00
2026-03-23T13:17:00Z,72.00,29.00
2026-03-23T13:19:00Z,72.00,29.00
2026-03-23T13:27:00Z,72.00,30.00
2026-03-23T13:29:00Z,72.00,30.00
2026-03-23T13:30:00Z,72.00,30.00
2026-03-23T13:33:00Z,72.00,30.00
2026-03-23T13:38:00Z,72.00,30.00
2026-03-23T13:42:00Z,72.00,30.00
2026-03-23T13:49:00Z,72.00,30.00
2026-03-23T13:51:00Z,72.00,30.00
2026-03-23T13:52:00Z,72.00,30.00
2026-03-23T13:53:00Z,72.00,30.00
2026-03-23T13:54:00Z,72.00,30.00
2026-03-23T13:55:00Z,72.00,30.00
2026-03-23T13:56:00Z,72.00,31.00
2026-03-23T13:57:00Z,72.64,31.00
2026-03-23T13:59:00Z,73.00,31.00
2026-03-23T14:00:00Z,73.00,31.00
2026-03-23T14:01:00Z,73.00,31.00
2026-03-23T14:02:00Z,73.00,31.00
2026-03-23T14:03:00Z,73.00,31.00
2026-03-23T14:05:00Z,73.00,31.00
2026-03-23T14:10:00Z,73.00,31.00
2026-03-23T14:11:00Z,73.00,31.00
2026-03-23T14:12:00Z,73.00,31.00
2026-03-23T14:13:00Z,73.00,31.00
2026-03-23T14:17:00Z,73.00,31.00
2026-03-23T14:18:00Z,73.00,31.00
2026-03-23T14:19:00Z,73.00,28.00
2026-03-23T14:20:00Z,73.00,30.00
2026-03-23T14:26:00Z,72.00,30.00
2026-03-23T14:27:00Z,70.00,30.00
2026-03-23T14:28:00Z,70.00,30.75
2026-03-23T14:29:00Z,72.00,30.99
2026-03-23T14:31:00Z,72.00,28.86
2026-03-23T14:32:00Z,75.00,28.00
2026-03-23T14:33:00Z,75.00,23.91
2026-03-23T14:35:00Z,81.63,19.62
2026-03-23T14:36:00Z,81.63,22.87
2026-03-23T14:37:00Z,84.00,19.22
2026-03-23T14:38:00Z,84.00,17.00
2026-03-23T14:39:00Z,83.85,17.00
2026-03-23T14:40:00Z,85.00,19.00
2026-03-23T14:41:00Z,81.10,18.22
2026-03-23T14:42:00Z,83.00,19.00
2026-03-23T14:43:00Z,82.35,21.00
2026-03-23T14:44:00Z,84.70,17.38
2026-03-23T14:45:00Z,85.00,16.67
2026-03-23T14:46:00Z,85.84,16.00
2026-03-23T14:47:00Z,87.59,13.26
2026-03-23T14:48:00Z,89.97,10.00
2026-03-23T14:51:00Z,90.00,11.00
2026-03-23T14:52:00Z,90.00,11.92
2026-03-23T14:53:00Z,91.00,10.00
2026-03-23T14:54:00Z,90.81,9.00
2026-03-23T14:55:00Z,90.00,11.00
2026-03-23T14:56:00Z,91.00,11.00
2026-03-23T14:57:00Z,91.00,8.60
2026-03-23T14:58:00Z,93.00,9.00
2026-03-23T14:59:00Z,92.91,8.00
2026-03-23T15:00:00Z,92.91,8.00
2026-03-23T15:01:00Z,92.69,7.77
2026-03-23T15:03:00Z,94.87,5.64
2026-03-23T15:04:00Z,95.00,5.00
2026-03-23T15:05:00Z,95.00,5.28
2026-03-23T15:06:00Z,93.82,7.06
2026-03-23T15:07:00Z,93.66,7.78
2026-03-23T15:08:00Z,94.14,7.02
2026-03-23T15:09:00Z,95.00,6.00
2026-03-23T15:10:00Z,94.28,5.40
2026-03-23T15:11:00Z,93.00,8.18
2026-03-23T15:12:00Z,94.00,7.00
2026-03-23T15:13:00Z,94.00,7.00
2026-03-23T15:14:00Z,95.00,7.56
2026-03-23T15:15:00Z,94.78,7.41
2026-03-23T15:16:00Z,95.91,7.00
2026-03-23T15:17:00Z,94.00,7.00
2026-03-23T15:18:00Z,94.51,8.72
2026-03-23T15:19:00Z,89.33,8.71
2026-03-23T15:20:00Z,92.12,8.16
2026-03-23T15:21:00Z,94.00,8.05
2026-03-23T15:22:00Z,94.00,7.00
2026-03-23T15:23:00Z,94.00,7.00
2026-03-23T15:24:00Z,94.33,9.14
2026-03-23T15:25:00Z,95.04,6.00
2026-03-23T15:26:00Z,95.99,4.11
2026-03-23T15:27:00Z,94.28,8.00
2026-03-23T15:28:00Z,91.88,10.98
2026-03-23T15:29:00Z,90.10,10.16
2026-03-23T15:30:00Z,92.00,9.00
2026-03-23T15:31:00Z,92.00,6.57
2026-03-23T15:32:00Z,93.92,7.00
2026-03-23T15:33:00Z,92.00,7.00
2026-03-23T15:34:00Z,92.00,10.69
2026-03-23T15:35:00Z,92.00,8.97
2026-03-23T15:36:00Z,94.05,7.30
2026-03-23T15:37:00Z,96.41,6.89
2026-03-23T15:38:00Z,92.95,8.82
2026-03-23T15:39:00Z,91.03,9.13
2026-03-23T15:40:00Z,91.06,9.80
