# event_ticker=KXATPCHALLENGERMATCH-26MAY19IVACAR
# final_score=7-5 6-1
# match_winner=Lorenzo Carboni
# fav_player=Lorenzo Carboni
# dog_player=Ivan Ivanov
# kalshi_date=2026-05-19
timestamp,Ivan Ivanov,Lorenzo Carboni
2026-05-19T16:00:00Z,,95.90
2026-05-19T16:01:00Z,,96.00
2026-05-19T16:02:00Z,,96.00
2026-05-19T16:05:00Z,,96.00
2026-05-19T16:09:00Z,,96.00
2026-05-19T16:15:00Z,4.00,98.00
2026-05-19T16:28:00Z,4.40,98.00
2026-05-19T16:36:00Z,15.00,98.00
2026-05-19T16:38:00Z,57.96,98.00
2026-05-19T16:40:00Z,7.00,95.00
2026-05-19T16:41:00Z,7.00,97.00
2026-05-19T16:43:00Z,5.00,97.00
2026-05-19T16:44:00Z,6.27,98.00
2026-05-19T16:45:00Z,14.37,89.95
2026-05-19T16:46:00Z,17.46,92.99
2026-05-19T16:47:00Z,7.22,97.06
2026-05-19T16:48:00Z,3.35,98.42
2026-05-19T16:49:00Z,3.35,99.00
2026-05-19T16:52:00Z,2.00,98.00
2026-05-19T16:53:00Z,2.00,95.00
2026-05-19T16:54:00Z,2.00,98.00
2026-05-19T16:57:00Z,11.00,91.00
2026-05-19T16:58:00Z,11.00,98.96
2026-05-19T16:59:00Z,1.00,98.96
2026-05-19T17:01:00Z,1.00,99.00
