# event_ticker=KXATPCHALLENGERMATCH-26MAR30MARHUE
# final_score=7-6(2) 7-6(5)
# score_resolution=7-6 7-6
# match_winner=Dan Martin
# fav_player=Dan Martin
# dog_player=Marc-Andrea Huesler
# kalshi_date=2026-03-30
timestamp,Dan Martin,Marc-Andrea Huesler
2026-03-30T14:07:00Z,,84.00
2026-03-30T14:16:00Z,,84.62
2026-03-30T15:16:00Z,,85.00
2026-03-30T15:43:00Z,,85.00
2026-03-30T15:44:00Z,,85.00
2026-03-30T19:38:00Z,,85.00
2026-03-30T20:05:00Z,16.00,85.00
2026-03-30T20:36:00Z,16.00,85.00
2026-03-30T21:01:00Z,16.00,85.00
2026-03-30T21:07:00Z,16.00,85.00
2026-03-30T22:40:00Z,16.00,85.00
2026-03-30T23:01:00Z,16.00,85.00
2026-03-30T23:27:00Z,16.00,85.00
2026-03-30T23:31:00Z,16.00,85.00
2026-03-30T23:35:00Z,16.00,85.00
2026-03-30T23:41:00Z,16.93,85.00
2026-03-30T23:57:00Z,17.00,85.00
2026-03-31T00:06:00Z,17.00,85.00
2026-03-31T00:33:00Z,17.00,83.00
2026-03-31T00:42:00Z,17.00,83.00
2026-03-31T00:46:00Z,17.00,83.00
2026-03-31T01:01:00Z,16.68,83.00
2026-03-31T01:08:00Z,16.86,83.00
2026-03-31T01:12:00Z,16.75,83.00
2026-03-31T01:15:00Z,17.00,83.00
2026-03-31T01:33:00Z,17.00,83.00
2026-03-31T01:34:00Z,18.00,83.00
2026-03-31T01:35:00Z,18.00,83.00
2026-03-31T01:37:00Z,17.98,84.00
2026-03-31T01:38:00Z,17.76,85.00
2026-03-31T01:39:00Z,17.84,85.00
2026-03-31T01:40:00Z,17.73,85.00
2026-03-31T01:41:00Z,17.00,85.00
2026-03-31T01:42:00Z,18.00,85.00
2026-03-31T01:43:00Z,18.00,85.00
2026-03-31T01:44:00Z,17.85,85.00
2026-03-31T01:45:00Z,18.73,83.00
2026-03-31T01:46:00Z,17.28,85.00
2026-03-31T01:47:00Z,17.76,84.00
2026-03-31T01:48:00Z,17.00,84.00
2026-03-31T01:49:00Z,20.89,84.43
2026-03-31T01:50:00Z,21.05,84.43
2026-03-31T01:51:00Z,18.74,84.43
2026-03-31T01:52:00Z,19.00,84.00
2026-03-31T01:53:00Z,16.95,84.50
2026-03-31T01:54:00Z,19.00,82.00
2026-03-31T01:55:00Z,20.93,81.00
2026-03-31T01:56:00Z,20.38,81.00
2026-03-31T01:57:00Z,19.18,86.21
2026-03-31T01:58:00Z,17.31,86.21
2026-03-31T01:59:00Z,21.16,86.21
2026-03-31T02:00:00Z,19.88,86.21
2026-03-31T02:01:00Z,19.35,83.14
2026-03-31T02:02:00Z,15.52,86.00
2026-03-31T02:03:00Z,15.59,84.91
2026-03-31T02:04:00Z,17.85,84.00
2026-03-31T02:05:00Z,17.23,86.94
2026-03-31T02:06:00Z,15.52,88.00
2026-03-31T02:07:00Z,13.59,88.00
2026-03-31T02:08:00Z,8.05,93.65
2026-03-31T02:09:00Z,7.06,93.00
2026-03-31T02:10:00Z,12.62,90.78
2026-03-31T02:11:00Z,17.74,86.00
2026-03-31T02:12:00Z,19.00,83.00
2026-03-31T02:13:00Z,18.85,82.00
2026-03-31T02:14:00Z,18.77,82.00
2026-03-31T02:15:00Z,21.69,79.94
2026-03-31T02:16:00Z,17.21,83.00
2026-03-31T02:17:00Z,17.98,83.00
2026-03-31T02:18:00Z,21.91,83.59
2026-03-31T02:19:00Z,22.05,83.59
2026-03-31T02:20:00Z,19.86,79.46
2026-03-31T02:21:00Z,19.22,79.46
2026-03-31T02:22:00Z,19.94,79.46
2026-03-31T02:23:00Z,19.78,79.46
2026-03-31T02:24:00Z,21.75,79.60
2026-03-31T02:25:00Z,25.96,77.00
2026-03-31T02:26:00Z,25.10,76.40
2026-03-31T02:27:00Z,21.38,78.47
2026-03-31T02:28:00Z,28.80,71.01
2026-03-31T02:29:00Z,39.19,63.21
2026-03-31T02:30:00Z,43.93,54.11
2026-03-31T02:31:00Z,51.66,48.90
2026-03-31T02:32:00Z,50.00,50.39
2026-03-31T02:33:00Z,49.59,51.00
2026-03-31T02:34:00Z,49.91,51.23
2026-03-31T02:35:00Z,47.54,53.81
2026-03-31T02:36:00Z,46.50,56.11
2026-03-31T02:37:00Z,47.12,54.50
2026-03-31T02:38:00Z,47.28,55.75
2026-03-31T02:39:00Z,46.47,53.57
2026-03-31T02:40:00Z,52.91,52.89
2026-03-31T02:41:00Z,46.07,57.13
2026-03-31T02:42:00Z,39.02,61.84
2026-03-31T02:43:00Z,47.70,54.56
2026-03-31T02:44:00Z,53.82,49.82
2026-03-31T02:45:00Z,55.92,47.69
2026-03-31T02:46:00Z,52.86,49.48
2026-03-31T02:47:00Z,57.30,47.00
2026-03-31T02:48:00Z,71.83,28.28
2026-03-31T02:49:00Z,77.96,24.64
2026-03-31T02:50:00Z,72.29,28.54
2026-03-31T02:51:00Z,61.08,41.57
2026-03-31T02:52:00Z,71.17,33.85
2026-03-31T02:53:00Z,81.42,22.74
2026-03-31T02:54:00Z,81.72,19.92
2026-03-31T02:55:00Z,80.76,21.64
2026-03-31T02:56:00Z,79.31,22.85
2026-03-31T02:57:00Z,79.09,22.37
2026-03-31T02:58:00Z,84.09,19.57
2026-03-31T02:59:00Z,79.94,21.73
2026-03-31T03:00:00Z,81.71,23.25
2026-03-31T03:01:00Z,83.59,18.78
2026-03-31T03:02:00Z,84.86,15.92
2026-03-31T03:03:00Z,87.08,12.50
2026-03-31T03:04:00Z,89.72,10.53
2026-03-31T03:05:00Z,85.42,17.30
2026-03-31T03:06:00Z,86.57,18.52
2026-03-31T03:07:00Z,90.94,9.54
2026-03-31T03:08:00Z,92.50,9.83
2026-03-31T03:09:00Z,92.96,8.49
2026-03-31T03:10:00Z,92.66,8.81
2026-03-31T03:11:00Z,95.71,6.27
2026-03-31T03:12:00Z,94.71,6.98
2026-03-31T03:13:00Z,95.57,5.42
2026-03-31T03:14:00Z,94.75,6.77
