# event_ticker=KXATPCHALLENGERMATCH-26MAY11MCDGLI
# final_score=6-2 7-5
# match_winner=Daniil Glinka
# fav_player=Daniil Glinka
# dog_player=Niels McDonald
# kalshi_date=2026-05-11
timestamp,Niels McDonald,Daniil Glinka
2026-05-11T02:20:00Z,,64.00
2026-05-11T02:41:00Z,,64.00
2026-05-11T03:23:00Z,37.68,64.00
2026-05-11T05:00:00Z,38.00,64.00
2026-05-11T05:32:00Z,38.00,64.00
2026-05-11T06:34:00Z,38.00,64.00
2026-05-11T06:40:00Z,38.00,64.00
2026-05-11T10:34:00Z,38.00,63.00
2026-05-11T12:25:00Z,38.00,63.00
2026-05-11T12:40:00Z,38.00,63.00
2026-05-11T13:39:00Z,38.33,63.00
2026-05-11T13:42:00Z,40.64,63.00
2026-05-11T13:44:00Z,40.64,63.00
2026-05-11T13:48:00Z,40.64,62.00
2026-05-11T13:49:00Z,40.64,63.00
2026-05-11T13:50:00Z,40.64,63.00
2026-05-11T13:51:00Z,32.09,66.04
2026-05-11T13:52:00Z,31.87,73.03
2026-05-11T13:53:00Z,26.70,74.00
2026-05-11T13:54:00Z,25.00,75.00
2026-05-11T13:55:00Z,24.78,75.31
2026-05-11T13:56:00Z,19.82,81.11
2026-05-11T13:57:00Z,19.00,83.00
2026-05-11T13:58:00Z,17.00,85.00
2026-05-11T13:59:00Z,14.32,86.05
2026-05-11T14:00:00Z,11.83,89.98
2026-05-11T14:01:00Z,13.00,88.56
2026-05-11T14:02:00Z,13.00,89.00
2026-05-11T14:03:00Z,14.00,88.70
2026-05-11T14:04:00Z,14.00,88.95
2026-05-11T14:05:00Z,14.00,88.71
2026-05-11T14:06:00Z,14.00,89.00
2026-05-11T14:07:00Z,14.00,89.00
2026-05-11T14:08:00Z,14.00,88.62
2026-05-11T14:09:00Z,14.00,89.00
2026-05-11T14:10:00Z,14.00,89.00
2026-05-11T14:11:00Z,14.00,89.00
2026-05-11T14:12:00Z,14.00,89.00
2026-05-11T14:14:00Z,14.00,88.52
2026-05-11T14:15:00Z,13.00,88.34
2026-05-11T14:16:00Z,10.02,89.00
2026-05-11T14:17:00Z,10.02,89.00
2026-05-11T14:18:00Z,10.02,89.29
2026-05-11T14:19:00Z,12.00,90.00
2026-05-11T14:20:00Z,12.98,89.13
2026-05-11T14:21:00Z,12.06,89.14
2026-05-11T14:22:00Z,12.00,88.01
2026-05-11T14:23:00Z,12.98,88.00
2026-05-11T14:24:00Z,13.08,86.55
2026-05-11T14:25:00Z,16.70,83.76
2026-05-11T14:26:00Z,20.51,79.67
2026-05-11T14:27:00Z,22.68,77.71
2026-05-11T14:28:00Z,26.99,72.93
2026-05-11T14:29:00Z,27.62,74.00
2026-05-11T14:30:00Z,25.71,74.00
2026-05-11T14:31:00Z,26.00,74.00
2026-05-11T14:32:00Z,27.49,74.08
2026-05-11T14:33:00Z,29.83,70.01
2026-05-11T14:34:00Z,29.95,71.35
2026-05-11T14:35:00Z,29.00,74.08
2026-05-11T14:36:00Z,19.63,75.31
2026-05-11T14:37:00Z,15.24,85.28
2026-05-11T14:38:00Z,15.00,86.00
2026-05-11T14:39:00Z,15.00,86.54
2026-05-11T14:40:00Z,14.27,86.48
2026-05-11T14:41:00Z,13.00,89.00
2026-05-11T14:42:00Z,10.13,91.41
2026-05-11T14:43:00Z,11.18,91.74
2026-05-11T14:44:00Z,14.27,86.98
2026-05-11T14:45:00Z,15.98,85.00
2026-05-11T14:46:00Z,15.30,85.72
2026-05-11T14:47:00Z,15.30,86.02
2026-05-11T14:48:00Z,12.76,88.00
2026-05-11T14:49:00Z,12.76,89.17
2026-05-11T14:50:00Z,8.96,92.01
2026-05-11T14:51:00Z,12.81,88.11
2026-05-11T14:52:00Z,12.28,88.02
2026-05-11T14:53:00Z,13.05,85.28
2026-05-11T14:54:00Z,17.00,85.00
2026-05-11T14:55:00Z,17.00,85.99
2026-05-11T14:56:00Z,15.42,86.00
2026-05-11T14:57:00Z,14.16,86.01
2026-05-11T14:58:00Z,14.93,88.00
2026-05-11T14:59:00Z,11.10,89.41
2026-05-11T15:00:00Z,7.70,92.98
2026-05-11T15:01:00Z,8.49,94.75
2026-05-11T15:02:00Z,6.73,97.32
2026-05-11T15:03:00Z,2.79,96.84
2026-05-11T15:04:00Z,1.50,98.86
2026-05-11T15:05:00Z,2.00,98.00
2026-05-11T15:06:00Z,2.00,98.00
2026-05-11T15:07:00Z,2.95,97.26
2026-05-11T15:08:00Z,2.99,98.72
2026-05-11T15:09:00Z,2.99,99.00
2026-05-11T15:10:00Z,2.99,99.00
2026-05-11T15:12:00Z,2.99,99.00
