# event_ticker=KXATPCHALLENGERMATCH-26APR01RODSAR
# final_score=7-5 3-6 7-6(6)
# score_resolution=7-5 3-6 7-6
# match_winner=Paulo Andre Saraiva Dos Santos
# fav_player=Paulo Andre Saraiva Dos Santos
# dog_player=Lorenzo Joaquin Rodriguez
# kalshi_date=2026-04-01
timestamp,Paulo Andre Saraiva Dos Santos,Lorenzo Joaquin Rodriguez
2026-04-01T03:40:00Z,33.00,75.00
2026-04-01T03:52:00Z,37.00,71.00
2026-04-01T03:55:00Z,36.00,71.00
2026-04-01T04:07:00Z,36.00,76.00
2026-04-01T04:20:00Z,37.00,71.00
2026-04-01T04:21:00Z,37.00,71.00
2026-04-01T04:35:00Z,36.00,71.00
2026-04-01T04:37:00Z,29.50,71.00
2026-04-01T04:41:00Z,29.50,77.00
2026-04-01T04:56:00Z,29.50,77.00
2026-04-01T05:08:00Z,30.00,77.00
2026-04-01T05:21:00Z,30.00,77.00
2026-04-01T05:29:00Z,29.00,77.00
2026-04-01T05:48:00Z,29.00,76.00
2026-04-01T05:49:00Z,29.00,77.00
2026-04-01T06:19:00Z,29.00,77.86
2026-04-01T06:45:00Z,29.00,77.86
2026-04-01T06:51:00Z,29.00,82.00
2026-04-01T07:37:00Z,20.00,82.00
2026-04-01T08:11:00Z,20.00,82.00
2026-04-01T08:38:00Z,20.00,82.00
2026-04-01T09:34:00Z,20.00,82.00
2026-04-01T11:55:00Z,19.00,84.00
2026-04-01T12:03:00Z,19.00,84.00
2026-04-01T12:05:00Z,18.00,84.00
2026-04-01T12:11:00Z,18.00,84.00
2026-04-01T12:25:00Z,18.00,83.00
2026-04-01T12:38:00Z,18.00,83.00
2026-04-01T13:35:00Z,18.00,83.00
2026-04-01T13:44:00Z,18.75,83.00
2026-04-01T13:49:00Z,18.00,83.00
2026-04-01T13:56:00Z,18.37,83.00
2026-04-01T14:01:00Z,19.00,83.00
2026-04-01T14:07:00Z,19.53,83.00
2026-04-01T14:08:00Z,19.82,80.73
2026-04-01T14:10:00Z,19.82,82.00
2026-04-01T14:11:00Z,20.00,82.00
2026-04-01T14:14:00Z,20.00,82.00
2026-04-01T14:15:00Z,20.00,82.00
2026-04-01T14:17:00Z,20.00,82.00
2026-04-01T14:18:00Z,20.00,82.00
2026-04-01T14:19:00Z,19.00,82.00
2026-04-01T14:20:00Z,19.00,82.00
2026-04-01T14:22:00Z,19.67,82.00
