# event_ticker=KXATPMATCH-25SEP24NISDAR
# final_score=7-6(9) 6-3
# score_resolution=7-6 6-3
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Yoshihito Nishioka
# kalshi_date=2025-09-24
timestamp,Luciano Darderi,Yoshihito Nishioka
2025-09-24T16:12:00Z,96.00,
2025-09-24T16:21:00Z,59.00,
2025-09-24T16:58:00Z,59.00,42.00
2025-09-24T17:02:00Z,60.37,42.00
2025-09-24T17:10:00Z,62.04,42.00
2025-09-24T17:13:00Z,62.00,42.00
2025-09-24T17:19:00Z,62.00,42.00
2025-09-24T17:21:00Z,62.00,38.00
2025-09-24T17:31:00Z,62.00,38.00
2025-09-24T17:52:00Z,63.70,37.00
2025-09-24T17:58:00Z,63.70,38.00
2025-09-24T18:02:00Z,63.00,38.00
2025-09-24T18:11:00Z,63.00,38.20
2025-09-24T18:13:00Z,63.00,38.00
2025-09-24T18:18:00Z,63.00,38.44
2025-09-24T18:19:00Z,63.00,39.00
2025-09-24T18:30:00Z,63.00,39.00
2025-09-24T18:46:00Z,63.00,39.00
2025-09-24T18:47:00Z,63.00,39.00
2025-09-24T18:48:00Z,63.00,39.00
2025-09-24T18:49:00Z,63.00,39.94
2025-09-24T18:51:00Z,63.00,40.00
2025-09-24T18:56:00Z,63.00,40.00
2025-09-24T19:01:00Z,63.00,40.00
2025-09-24T19:22:00Z,63.00,40.00
2025-09-24T19:25:00Z,63.00,40.00
2025-09-24T19:39:00Z,61.00,40.00
2025-09-24T19:48:00Z,61.00,40.00
2025-09-24T19:54:00Z,61.00,40.00
2025-09-24T20:05:00Z,61.00,40.00
2025-09-24T20:08:00Z,61.00,40.00
2025-09-24T20:12:00Z,59.00,40.00
2025-09-24T21:19:00Z,59.00,41.00
2025-09-24T21:35:00Z,60.00,41.00
2025-09-24T21:36:00Z,60.00,41.00
2025-09-24T21:41:00Z,60.00,41.00
2025-09-24T21:44:00Z,60.00,41.00
2025-09-24T22:15:00Z,60.00,41.00
2025-09-24T22:24:00Z,60.00,41.00
2025-09-24T22:30:00Z,60.00,41.00
2025-09-24T22:40:00Z,60.00,41.00
2025-09-24T23:11:00Z,60.00,41.00
2025-09-24T23:13:00Z,60.00,41.00
2025-09-24T23:15:00Z,60.00,41.00
2025-09-24T23:26:00Z,60.00,41.00
2025-09-24T23:27:00Z,60.00,40.00
2025-09-24T23:35:00Z,60.00,40.00
2025-09-24T23:44:00Z,60.00,40.00
2025-09-24T23:45:00Z,59.00,41.00
2025-09-24T23:46:00Z,60.00,41.00
2025-09-24T23:57:00Z,60.00,41.00
2025-09-25T00:01:00Z,60.00,41.00
2025-09-25T00:05:00Z,60.00,41.00
2025-09-25T00:14:00Z,60.00,41.00
2025-09-25T00:17:00Z,60.00,41.00
2025-09-25T00:19:00Z,60.00,41.00
2025-09-25T00:27:00Z,60.00,41.00
2025-09-25T00:32:00Z,60.00,41.00
2025-09-25T00:35:00Z,60.00,40.00
2025-09-25T00:36:00Z,60.00,40.00
2025-09-25T00:42:00Z,60.00,40.00
2025-09-25T00:50:00Z,60.00,41.00
2025-09-25T00:51:00Z,60.00,41.00
2025-09-25T00:56:00Z,60.00,41.00
2025-09-25T00:59:00Z,60.00,41.00
2025-09-25T01:08:00Z,60.00,41.00
2025-09-25T01:11:00Z,60.00,41.00
2025-09-25T01:16:00Z,60.00,41.00
2025-09-25T01:17:00Z,60.00,41.00
2025-09-25T01:18:00Z,60.00,41.00
2025-09-25T01:19:00Z,60.00,41.00
2025-09-25T01:24:00Z,60.00,41.00
2025-09-25T01:26:00Z,60.00,41.00
2025-09-25T01:27:00Z,60.00,41.00
2025-09-25T01:34:00Z,60.00,41.00
2025-09-25T01:35:00Z,60.00,41.00
2025-09-25T01:36:00Z,60.00,41.00
2025-09-25T01:37:00Z,60.00,41.00
2025-09-25T01:41:00Z,60.00,41.00
2025-09-25T01:43:00Z,60.00,41.00
