# event_ticker=KXATPCHALLENGERMATCH-26MAR09TRUMAR
# final_score=6-4 6-2
# match_winner=Marco Trungelliti
# fav_player=Marco Trungelliti
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-03-09
timestamp,Marco Trungelliti,Pol Martin Tiffon
2026-03-08T23:48:00Z,66.00,
2026-03-09T04:13:00Z,65.00,
2026-03-09T04:31:00Z,66.80,
2026-03-09T04:32:00Z,67.00,
2026-03-09T04:34:00Z,67.00,
2026-03-09T04:56:00Z,67.00,
2026-03-09T05:01:00Z,66.00,
2026-03-09T05:04:00Z,66.00,36.00
2026-03-09T05:10:00Z,66.36,36.00
2026-03-09T05:17:00Z,66.00,36.00
2026-03-09T05:57:00Z,65.00,36.00
2026-03-09T06:01:00Z,65.00,36.00
2026-03-09T06:04:00Z,65.00,36.00
2026-03-09T06:09:00Z,65.00,36.00
2026-03-09T06:34:00Z,65.00,36.00
2026-03-09T06:59:00Z,65.00,36.00
2026-03-09T07:11:00Z,65.00,36.00
2026-03-09T07:14:00Z,65.00,36.00
2026-03-09T07:15:00Z,65.00,36.00
2026-03-09T07:18:00Z,65.00,36.00
2026-03-09T07:19:00Z,65.00,36.00
2026-03-09T07:41:00Z,65.00,35.00
2026-03-09T08:00:00Z,65.00,35.00
2026-03-09T08:11:00Z,65.00,35.00
2026-03-09T09:18:00Z,67.00,35.00
2026-03-09T09:25:00Z,67.00,35.00
2026-03-09T09:29:00Z,67.00,35.00
2026-03-09T09:30:00Z,67.00,35.00
2026-03-09T09:34:00Z,67.00,35.00
2026-03-09T09:36:00Z,67.00,35.00
2026-03-09T09:38:00Z,67.00,34.00
2026-03-09T09:39:00Z,68.00,34.00
2026-03-09T09:40:00Z,68.00,34.00
2026-03-09T09:41:00Z,68.00,34.00
2026-03-09T09:42:00Z,68.00,34.00
2026-03-09T09:43:00Z,68.00,34.00
2026-03-09T09:44:00Z,68.00,34.00
2026-03-09T09:45:00Z,72.38,30.00
2026-03-09T09:46:00Z,72.00,30.00
2026-03-09T09:47:00Z,70.32,30.00
2026-03-09T09:48:00Z,66.00,33.00
2026-03-09T09:49:00Z,69.00,33.62
2026-03-09T09:50:00Z,67.00,32.00
2026-03-09T09:51:00Z,67.00,34.00
2026-03-09T09:52:00Z,66.00,34.00
2026-03-09T09:53:00Z,65.43,35.18
2026-03-09T09:54:00Z,68.20,35.30
2026-03-09T09:55:00Z,67.78,36.00
2026-03-09T09:56:00Z,68.07,33.00
2026-03-09T09:57:00Z,71.00,31.19
2026-03-09T09:58:00Z,70.00,32.48
2026-03-09T09:59:00Z,67.00,35.00
2026-03-09T10:00:00Z,65.00,37.00
2026-03-09T10:02:00Z,69.00,37.00
2026-03-09T10:03:00Z,69.00,31.00
2026-03-09T10:04:00Z,67.00,35.00
2026-03-09T10:05:00Z,70.00,32.82
2026-03-09T10:06:00Z,64.00,37.00
2026-03-09T10:07:00Z,63.00,37.00
2026-03-09T10:08:00Z,63.00,34.00
2026-03-09T10:10:00Z,70.00,32.00
2026-03-09T10:11:00Z,67.00,32.00
2026-03-09T10:12:00Z,65.00,34.87
2026-03-09T10:13:00Z,66.00,34.00
2026-03-09T10:14:00Z,66.00,35.82
2026-03-09T10:15:00Z,66.00,33.00
2026-03-09T10:16:00Z,71.00,33.00
2026-03-09T10:17:00Z,68.33,34.67
2026-03-09T10:18:00Z,68.33,33.13
2026-03-09T10:20:00Z,74.00,30.08
2026-03-09T10:21:00Z,78.71,23.50
2026-03-09T10:22:00Z,86.19,14.00
2026-03-09T10:23:00Z,86.02,14.00
2026-03-09T10:25:00Z,90.29,11.46
2026-03-09T10:26:00Z,88.94,12.17
2026-03-09T10:27:00Z,88.94,11.00
2026-03-09T10:28:00Z,90.00,11.00
2026-03-09T10:29:00Z,89.28,11.00
2026-03-09T10:31:00Z,91.00,11.00
2026-03-09T10:32:00Z,91.00,9.23
2026-03-09T10:33:00Z,91.61,9.23
2026-03-09T10:34:00Z,94.39,5.00
2026-03-09T10:35:00Z,95.00,5.28
2026-03-09T10:36:00Z,95.00,6.00
2026-03-09T10:37:00Z,95.00,5.00
2026-03-09T10:38:00Z,96.00,4.00
2026-03-09T10:39:00Z,94.48,4.00
2026-03-09T10:40:00Z,94.48,5.41
2026-03-09T10:41:00Z,94.48,6.00
2026-03-09T10:42:00Z,97.00,6.00
2026-03-09T10:44:00Z,97.00,2.00
2026-03-09T10:45:00Z,98.96,1.49
2026-03-09T10:46:00Z,97.00,2.17
2026-03-09T10:47:00Z,97.00,1.00
2026-03-09T10:48:00Z,97.00,1.00
2026-03-09T10:49:00Z,99.00,1.00
2026-03-09T10:51:00Z,99.00,1.00
2026-03-09T10:52:00Z,99.00,1.00
2026-03-09T10:53:00Z,99.00,1.00
