# event_ticker=KXATPMATCH-25OCT01THOHOL
# final_score=4-6 6-3 6-4
# score_resolution=6-4 3-6 4-6
# match_winner=Jordan Thompson
# fav_player=August Holmgren
# dog_player=Jordan Thompson
# kalshi_date=2025-10-01
timestamp,August Holmgren,Jordan Thompson
2025-09-30T20:07:00Z,90.00,90.00
2025-09-30T20:51:00Z,31.00,90.00
2025-09-30T20:55:00Z,31.00,90.00
2025-09-30T20:59:00Z,31.00,70.00
2025-09-30T21:09:00Z,31.00,70.00
2025-09-30T21:23:00Z,31.00,70.00
2025-09-30T21:32:00Z,31.00,70.00
2025-09-30T21:42:00Z,31.00,70.00
2025-09-30T21:56:00Z,31.00,70.00
2025-09-30T22:18:00Z,31.00,70.00
2025-09-30T22:26:00Z,31.00,69.00
2025-09-30T22:36:00Z,31.00,69.00
2025-09-30T22:59:00Z,32.00,69.00
2025-09-30T23:06:00Z,32.00,69.00
2025-09-30T23:15:00Z,32.00,70.00
2025-09-30T23:18:00Z,32.00,70.00
2025-09-30T23:24:00Z,32.00,69.00
2025-09-30T23:27:00Z,32.00,70.00
2025-10-01T00:05:00Z,32.00,70.00
2025-10-01T00:09:00Z,32.00,70.00
2025-10-01T00:11:00Z,32.00,69.00
2025-10-01T00:13:00Z,32.00,70.00
2025-10-01T00:24:00Z,32.00,70.00
2025-10-01T00:34:00Z,32.00,70.00
2025-10-01T00:45:00Z,31.00,70.00
2025-10-01T00:46:00Z,31.00,70.00
2025-10-01T01:16:00Z,31.00,70.00
2025-10-01T01:35:00Z,31.00,70.00
2025-10-01T01:37:00Z,31.00,69.00
2025-10-01T02:13:00Z,31.00,70.00
2025-10-01T02:22:00Z,31.00,70.00
2025-10-01T02:25:00Z,31.00,70.00
2025-10-01T02:44:00Z,31.00,70.00
2025-10-01T02:52:00Z,31.00,70.00
2025-10-01T02:53:00Z,31.00,70.00
2025-10-01T03:07:00Z,31.00,70.00
2025-10-01T03:09:00Z,31.00,70.00
2025-10-01T03:11:00Z,31.00,70.00
2025-10-01T03:13:00Z,31.00,70.00
2025-10-01T03:14:00Z,31.00,70.00
2025-10-01T03:18:00Z,31.00,70.00
2025-10-01T03:19:00Z,31.00,70.00
2025-10-01T03:25:00Z,31.00,70.00
2025-10-01T03:27:00Z,31.00,70.00
2025-10-01T03:30:00Z,31.00,70.00
2025-10-01T03:31:00Z,31.00,70.00
2025-10-01T03:36:00Z,31.00,70.00
2025-10-01T03:39:00Z,31.00,69.00
2025-10-01T03:40:00Z,31.00,70.00
2025-10-01T03:49:00Z,31.00,70.00
2025-10-01T03:58:00Z,31.00,70.00
2025-10-01T03:59:00Z,32.00,70.00
2025-10-01T04:01:00Z,32.00,70.00
2025-10-01T04:04:00Z,32.00,70.00
2025-10-01T04:06:00Z,32.00,70.00
2025-10-01T04:08:00Z,32.00,70.00
2025-10-01T04:09:00Z,32.00,70.00
2025-10-01T04:10:00Z,32.00,70.00
2025-10-01T04:12:00Z,32.00,70.00
2025-10-01T04:14:00Z,32.00,70.00
2025-10-01T04:17:00Z,32.00,70.00
2025-10-01T04:20:00Z,32.00,70.00
2025-10-01T04:21:00Z,32.00,70.00
2025-10-01T04:24:00Z,32.00,70.00
2025-10-01T04:25:00Z,32.00,70.00
2025-10-01T04:34:00Z,32.00,70.00
2025-10-01T04:36:00Z,31.00,70.00
